aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of Arkansas,,United States,0,University of Arkansas,131806,601+,6120,public,33.3,570,41.5,619,24.6,572,13.9–22.7,6120,12.8,488,13.0,665,52 : 48,"24,545",6%,20.3,"Medicine & Dentistry,Other Health",/world-university-rankings/university-arkansas
Assiut University,,Egypt,0,Assiut University,624267,601+,6130,master_account,26.8,646,41.5,620,42.5,376,13.9–22.7,6130,7.3,713,13.8,617,45 : 55,"79,183",0%,17.9,"Medicine & Dentistry,Other Health",/world-university-rankings/assiut-university
Autonomous University of Nuevo León,,Mexico,0,Autonomous University of Nuevo León,131435,601+,6140,master_account,24.3,675,41.9,522,29.5,527,13.9–22.7,6140,8.2,688,12.3,691,,"102,466",1%,27.2,"Medicine & Dentistry,Other Health",/world-university-rankings/autonomous-university-nuevo-leon
Autonomous University of San Luis Potosi,,Mexico,0,Autonomous University of San Luis Potosi,623760,601+,6150,master_account,25.8,656,41.6,576,27.1,550,13.9–22.7,6150,7.3,714,13.6,624,50 : 50,"31,102",1%,9.3,"Other Health,Medicine & Dentistry",/world-university-rankings/autonomous-university-san-luis-potosi
Beni-Suef University,,Egypt,0,Beni-Suef University,131552,601+,6160,master_account,33.6,561,41.5,623,40.7,402,13.9–22.7,6160,7.3,715,15.9,522,44 : 56,"66,543",1%,26.1,"Other Health,Medicine & Dentistry",/world-university-rankings/beni-suef-university
University of Castilla-La Mancha,,Spain,6,University of Castilla-La Mancha,131613,601+,6170,master_account,33.8,559,41.7,560,36.3,448,13.9–22.7,6170,8.8,666,14.1,605,56 : 44,"23,309",6%,13.6,"Other Health,Medicine & Dentistry",/world-university-rankings/university-castilla-la-mancha
Ceará State University,,Brazil,0,Ceará State University,639047,601+,6180,master_account,16.3,717,41.4,710,17.4,695,13.9–22.7,6180,8.7,677,12.6,676,56 : 44,"17,934",0%,16.3,"Other Health,Medicine & Dentistry",/world-university-rankings/ceara-state-university
Chungnam National University CNU Chung Nam National University Chung-Nam,,South Korea,6,Chungnam National University,131405,601+,6190,master_account,27.6,637,43.1,371,22.5,608,13.9–22.7,6190,16.9,361,19.6,403,44 : 56,"22,773",4%,21.7,"Medicine & Dentistry,Other Health",/world-university-rankings/chungnam-national-university
University of Colombo,,Sri Lanka,0,University of Colombo,589250,601+,6200,master_account,18.4,711,41.4,711,36.5,446,13.9–22.7,6200,8.2,689,21.8,335,56 : 44,"29,464",0%,29.5,"Medicine & Dentistry,Other Health",/world-university-rankings/university-colombo
Comenius University in Bratislava,,Slovakia,0,Comenius University in Bratislava,131488,601+,6210,master_account,25.3,666,43.3,350,60.7,199,13.9–22.7,6210,8.5,685,13.2,656,67 : 33,"21,376",12%,10.4,"Medicine & Dentistry,Other Health",/world-university-rankings/comenius-university-bratislava
University of Concepción,,Chile,0,University of Concepción,584712,601+,6220,master_account,18.6,709,44.7,271,41.7,391,13.9–22.7,6220,8.1,694,14.4,583,51 : 49,"27,077",1%,17.5,"Medicine & Dentistry,Other Health",/world-university-rankings/university-concepcion
Cukurova University,,Turkey,0,Cukurova University,131372,601+,6230,master_account,20.5,697,81.9,21,17.8,688,13.9–22.7,6230,10.9,570,13.5,631,45 : 55,"41,446",4%,18.7,"Other Health,Medicine & Dentistry",/world-university-rankings/cukurova-university
Del Rosario University,,Colombia,0,Del Rosario University,623337,601+,6240,master_account,25.7,658,41.6,583,42.0,384,13.9–22.7,6240,9.1,653,13.3,649,,"9,568",1%,12.5,"Other Health,Medicine & Dentistry",/world-university-rankings/del-rosario-university
Democritus University of Thrace,,Greece,0,Democritus University of Thrace,623433,601+,6250,master_account,30.3,608,41.9,524,31.5,509,13.9–22.7,6250,7.6,707,12.4,688,54 : 46,"29,386",3%,46.9,Medicine & Dentistry,/world-university-rankings/democritus-university-thrace
