aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of Cape Town UCT,,South Africa,6,University of Cape Town,567,89,890,master_account,72.8,190,97.0,30,82.9,52,53.5,890,47.1,80,34.9,133,53 : 47,"22,137",18%,12.1,"Geography,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/university-cape-town
University of Exeter,,United Kingdom,11,University of Exeter,620,90,900,master_account,94.7,20,36.6,344,75.5,89,53.2,900,37.3,125,33.2,154,54 : 46,"20,286",28%,18.0,"Sociology,Politics & International Studies (incl Development Studies),Geography",/world-university-rankings/university-exeter
Seoul National University,,South Korea,0,Seoul National University,588,=91,910,master_account,44.3,458,46.3,181,55.2,217,52.9,910,48.5,78,63.8,38,,"26,066",12%,12.3,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Sociology,Geography",/world-university-rankings/seoul-national-university
University of York,,United Kingdom,0,University of York,586,=91,920,master_account,81.8,110,33.2,657,70.9,110,52.9,920,46.4,82,34.5,136,56 : 44,"15,194",25%,14.9,"Geography,Sociology,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-york
Erasmus University Rotterdam,,Netherlands,6,Erasmus University Rotterdam,621,93,930,master_account,83.5,91,87.4,48,82.6,54,52.6,930,42.3,104,29.5,190,50 : 50,"22,019",22%,19.6,"Communication & Media Studies,Sociology,Politics & International Studies (incl Development Studies)",/world-university-rankings/erasmus-university-rotterdam
"University of California, Davis",,United States,0,"University of California, Davis",503,94,940,public,83.5,90,38.9,282,46.9,306,52.5,940,42.6,102,40.8,96,57 : 43,"37,847",13%,13.5,"Communication & Media Studies,Geography,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/university-california-davis
Hong Kong Polytechnic University PolyU Poly U HK PolyU,,Hong Kong,11,Hong Kong Polytechnic University,723,95,950,master_account,73.6,181,41.5,233,93.7,12,52.1,950,41.0,108,37.9,115,52 : 48,"21,977",25%,27.8,"Communication & Media Studies,Sociology,Geography",/world-university-rankings/hong-kong-polytechnic-university
University of Freiburg,,Germany,0,University of Freiburg,653,96,960,master_account,90.1,45,100.0,4,56.1,212,52.0,960,37.6,122,32.4,158,55 : 45,"22,005",22%,44.5,"Geography,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/university-freiburg
Copenhagen Business School,,Denmark,0,Copenhagen Business School,131327,=97,970,master_account,97.0,13,42.8,218,92.6,16,51.6,970,35.3,138,24.3,269,48 : 52,"17,003",25%,30.6,"Communication & Media Studies,Sociology,Politics & International Studies (incl Development Studies)",/world-university-rankings/copenhagen-business-school
Syracuse University,,United States,0,Syracuse University,1020,=97,980,private,74.2,173,33.2,642,26.8,522,51.6,980,43.3,98,49.7,68,53 : 47,"20,277",20%,16.0,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Sociology,Geography",/world-university-rankings/syracuse-university
University of Bristol,,United Kingdom,11,University of Bristol,530,=99,990,master_account,70.6,208,36.3,353,74.4,97,51.0,990,40.8,109,42.0,93,53 : 47,"20,570",27%,13.2,"Communication & Media Studies,Geography,Sociology,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-bristol
University of Sydney UniSyd,,Australia,11,University of Sydney,522,=99,1000,master_account,72.5,192,42.7,220,74.5,96,51.0,1000,45.3,85,35.4,128,58 : 42,"43,333",35%,20.5,"Sociology,Communication & Media Studies,Geography,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-sydney
University of Arizona,,United States,0,University of Arizona,561,101–125,1010,public,88.9,51,39.1,276,24.0,557,48.1–50.8,1010,43.4,96,35.1,132,52 : 48,"39,264",9%,13.3,"Geography,Politics & International Studies (incl Development Studies),Sociology,Communication & Media Studies",/world-university-rankings/university-arizona
University of Bern,,Switzerland,0,University of Bern,576,101–125,1020,master_account,84.8,77,92.9,35,81.4,59,48.1–50.8,1020,31.2,167,28.8,197,56 : 44,"10,967",15%,16.7,"Sociology,Geography,Communication & Media Studies,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-bern
Cardiff University,,United Kingdom,0,Cardiff University,671,101–125,1030,master_account,83.2,96,37.5,306,52.1,247,48.1–50.8,1030,38.8,118,38.4,111,58 : 42,"24,245",26%,12.8,"Geography,Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/cardiff-university
University of East Anglia,,United Kingdom,6,University of East Anglia,609,101–125,1040,master_account,95.5,17,33.4,538,87.0,33,48.1–50.8,1040,24.1,222,27.8,209,61 : 39,"13,984",29%,13.6,"Sociology,Politics & International Studies (incl Development Studies),Geography,Communication & Media Studies",/world-university-rankings/university-east-anglia
George Washington University,,United States,0,George Washington University,600,101–125,1050,private,77.4,147,33.2,604,31.5,470,48.1–50.8,1050,40.1,114,44.2,88,58 : 42,"22,844",17%,13.2,"Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology,Geography",/world-university-rankings/george-washington-university
Ghent University,,Belgium,0,Ghent University,570,101–125,1060,master_account,76.8,152,55.8,124,47.4,300,48.1–50.8,1060,40.3,112,34.6,135,54 : 46,"35,835",10%,35.2,"Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies,Geography",/world-university-rankings/ghent-university
University of Glasgow,,United Kingdom,1,University of Glasgow,566,101–125,1070,master_account,69.8,216,33.2,605,72.3,105,48.1–50.8,1070,43.4,97,33.2,155,58 : 42,"24,235",36%,15.3,"Geography,Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/university-glasgow
Hebrew University of Jerusalem,,Israel,0,Hebrew University of Jerusalem,585,101–125,1080,master_account,67.9,234,38.2,293,43.2,342,48.1–50.8,1080,44.0,91,40.3,97,56 : 44,"16,492",5%,11.5,"Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies,Geography",/world-university-rankings/hebrew-university-jerusalem
University of Leeds,,United Kingdom,0,University of Leeds,597,101–125,1090,master_account,76.0,158,36.7,338,67.9,131,48.1–50.8,1090,37.5,124,37.1,118,60 : 40,"28,677",28%,14.1,"Sociology,Politics & International Studies (incl Development Studies),Communication & Media Studies,Geography",/world-university-rankings/university-leeds
Loughborough University,,United Kingdom,0,Loughborough University,837,101–125,1100,master_account,78.9,132,33.3,559,78.8,75,48.1–50.8,1100,35.1,139,31.5,164,39 : 61,"14,225",24%,14.7,"Politics & International Studies (incl Development Studies),Communication & Media Studies,Sociology,Geography",/world-university-rankings/loughborough-university
Université Catholique de Louvain,,Belgium,0,Université Catholique de Louvain,633,101–125,1110,master_account,81.5,112,45.8,187,78.2,77,48.1–50.8,1110,35.8,136,28.4,202,54 : 46,"25,952",21%,39.6,"Communication & Media Studies,Politics & International Studies (incl Development Studies),Geography,Sociology",/world-university-rankings/universite-catholique-de-louvain
