Metric,Value,Year,Institution,Numeric Value,Rank,Decile,UKPRN,Consistent Name,RG Rank
Research quality (%),29.9,2014,University of Aberdeen,29.9,41.0,7.0,10007783,University of Aberdeen,
Research quality (%),37.7,2014,Newcastle University,37.7,19.0,9.0,10007799,University of Newcastle Upon Tyne,17.0
Research quality (%),31.5,2014,University of Liverpool,31.5,38.0,8.0,10006842,University of Liverpool,22.0
Research quality (%),44.0,2014,King's College London,44.0,7.0,10.0,10003645,King's College London,7.0
Research quality (%),33.7,2014,Swansea University,33.7,33.0,8.0,10007855,Swansea University,
Research quality (%),29.7,2014,University of Surrey,29.7,42.0,7.0,10007160,University of Surrey,
Research quality (%),36.7,2014,Heriot-Watt University,36.7,26.0,8.0,10007764,Heriot-Watt University,
Research quality (%),35.0,2014,Cardiff University,35.0,32.0,8.0,10007814,Cardiff University,21.0
Research quality (%),39.7,2014,"Queen's University, Belfast",39.7,12.0,10.0,10005343,The Queen's University of Belfast,11.0
Research quality (%),37.7,2014,University of Strathclyde,37.7,19.0,9.0,10007805,University of Strathclyde,
Research quality (%),37.2,2014,University of Essex,37.2,23.0,9.0,10007791,University of Essex,
Research quality (%),36.5,2014,University of Reading,36.5,27.0,8.0,10007802,University of Reading,
Research quality (%),31.8,2014,University of Sussex,31.8,35.0,8.0,10007806,University of Sussex,
Research quality (%),6.5,2014,Nottingham Trent University,6.5,78.0,4.0,10004797,Nottingham Trent University,
Research quality (%),31.8,2014,University of Leicester,31.8,35.0,8.0,10007796,University of Leicester,
Research quality (%),3.4,2014,University for the Creative Arts,3.4,110.0,2.0,10006427,University for the Creative Arts,
Research quality (%),2.4,2014,Arts University Bournemouth,2.4,116.0,1.0,10000385,The Arts University College at Bournemouth,
Research quality (%),27.9,2014,SOAS University of London,27.9,44.0,7.0,10007780,School of Oriental and African Studies,
Research quality (%),28.1,2014,Aberystwyth University,28.1,43.0,7.0,10007856,Prifysgol Aberystwyth,
Research quality (%),22.1,2014,Keele University,22.1,51.0,6.0,10007767,University of Keele,
Research quality (%),30.5,2014,University of Stirling,30.5,40.0,7.0,10007804,University of Stirling,
Research quality (%),25.8,2014,Aston University,25.8,46.0,7.0,10007759,Aston University,
Research quality (%),37.9,2014,"Queen Mary, University of London",37.9,17.0,9.0,10007775,"Queen Mary and Westfield College, University of London",15.0
Research quality (%),3.8,2014,Coventry University,3.8,106.0,2.0,10001726,Coventry University,
Research quality (%),10.3,2014,University of Lincoln,10.3,56.0,6.0,10007151,University of Lincoln,
Research quality (%),1.6,2014,University of West London,1.6,120.0,1.0,10006566,The University of West London,
Research quality (%),16.5,2014,Staffordshire University,16.5,53.0,6.0,10006299,Staffordshire University,
Research quality (%),35.2,2014,University of Kent,35.2,31.0,8.0,10007150,University of Kent,
Research quality (%),4.9,2014,Edge Hill University,4.9,91.0,3.0,10007823,Edge Hill University,
Research quality (%),8.6,2014,University of Portsmouth,8.6,68.0,5.0,10007155,University of Portsmouth,
Research quality (%),31.8,2014,Ulster University,31.8,35.0,8.0,10007807,University of Ulster,
Research quality (%),8.8,2014,University of the West of England,8.8,67.0,5.0,10007164,"University of the West of England, Bristol",
Research quality (%),9.2,2014,Liverpool Hope University,9.2,60.0,6.0,10003956,Liverpool Hope University,
Research quality (%),9.4,2014,University of Huddersfield,9.4,59.0,6.0,10007148,University of Huddersfield,
Research quality (%),7.5,2014,Manchester Metropolitan University,7.5,73.0,5.0,10004180,The Manchester Metropolitan University,
Research quality (%),5.6,2014,Norwich University of the Arts,5.6,84.0,4.0,10004775,Norwich University College of the Arts,
Research quality (%),11.4,2014,Oxford Brookes University,11.4,55.0,6.0,10004930,Oxford Brookes University,
Research quality (%),9.0,2014,Northumbria University,9.0,62.0,5.0,10001282,University of Northumbria at Newcastle,
Research quality (%),5.4,2014,Sheffield Hallam University,5.4,87.0,3.0,10005790,Sheffield Hallam University,
Research quality (%),22.2,2014,"St George's, University of London",22.2,50.0,7.0,10007782,St George's Hospital Medical School,
Research quality (%),33.4,2014,"Goldsmiths, University of London",33.4,34.0,8.0,10002718,Goldsmiths' College,
Research quality (%),24.5,2014,University of Roehampton,24.5,48.0,7.0,10007776,Roehampton University,
Research quality (%),27.2,2014,Bangor University,27.2,45.0,7.0,10007857,Bangor University,
Research quality (%),6.4,2014,University of Chichester,6.4,79.0,4.0,10007137,The University of Chichester,
Research quality (%),4.6,2014,Falmouth University,4.6,93.0,3.0,10008640,University College Falmouth,
Research quality (%),22.6,2014,"City, University of London",22.6,49.0,7.0,10001478,The City University,
Research quality (%),8.9,2014,De Montfort University,8.9,65.0,5.0,10001883,De Montfort University,
Research quality (%),5.6,2014,University of Central Lancashire,5.6,84.0,4.0,10007141,University of Central Lancashire,
Research quality (%),15.9,2014,Plymouth University,15.9,54.0,6.0,10007801,University of Plymouth,
Research quality (%),16.7,2014,University of Hull,16.7,52.0,6.0,10007149,University of Hull,
Research quality (%),8.9,2014,Liverpool John Moores University,8.9,65.0,5.0,10003957,Liverpool John Moores University,
