aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
University of Toronto,Canada,0,University of Toronto,483,17,17,master_account,77.9,40,62.3,15,69.6,17,82.4,17,88.2,5,87.4,5,"Medicine & Dentistry,Other Health",/world-university-rankings/university-toronto
"University of California, Berkeley",United States,0,"University of California, Berkeley",474,18,18,public,95.3,15,39.6,42,46.7,33,82.3,18,82.7,14,79.1,19,Other Health,/world-university-rankings/university-california-berkeley
University of Washington,United States,0,University of Washington,489,19,19,public,95.8,13,38.0,44,39.5,40,82.2,19,82.5,17,80.4,18,"Other Health,Medicine & Dentistry",/world-university-rankings/university-washington
Karolinska Institute,Sweden,0,Karolinska Institute,496,20,20,master_account,76.6,42,58.6,18,69.7,16,81.3,20,90.0,3,83.7,10,"Medicine & Dentistry,Other Health",/world-university-rankings/karolinska-institute
University of North Carolina at Chapel Hill,United States,0,University of North Carolina at Chapel Hill,507,20,20,public,96.4,11,41.6,35,26.3,48,81.3,21,79.7,20,82.3,15,"Medicine & Dentistry,Other Health",/world-university-rankings/university-north-carolina-chapel-hill
King’s College London,United Kingdom,11,King’s College London,520,22,22,master_account,86.6,29,43.0,32,88.7,3,79.6,22,75.9,25,75.3,23,"Other Health,Medicine & Dentistry",/world-university-rankings/kings-college-london
University of Pittsburgh-Pittsburgh campus,United States,0,University of Pittsburgh-Pittsburgh campus,524,23,23,public,94.5,20,40.8,38,33.3,45,79.4,23,77.3,22,78.2,22,"Medicine & Dentistry,Other Health",/world-university-rankings/university-pittsburgh-pittsburgh-campus
University of Sydney UniSyd,Australia,11,University of Sydney,522,24,24,master_account,79.7,35,90.4,7,84.8,8,78.8,24,78.6,21,75.2,24,"Medicine & Dentistry,Other Health",/world-university-rankings/university-sydney
University of Edinburgh,United Kingdom,0,University of Edinburgh,500,25,25,master_account,96.1,12,46.6,27,66.4,18,76.7,25,63.3,35,70.8,29,"Other Health,Medicine & Dentistry",/world-university-rankings/university-edinburgh
University of Chicago,United States,11,University of Chicago,473,26,26,private,93.4,22,-,48,53.7,31,75.5,27,61.5,38,74.9,25,"Medicine & Dentistry,Other Health",/world-university-rankings/university-chicago
Boston University,United States,0,Boston University,518,26,26,private,97.4,7,35.9,45,45.5,35,75.5,26,62.6,37,72.4,27,"Other Health,Medicine & Dentistry",/world-university-rankings/boston-university
Emory University,United States,0,Emory University,539,28,28,private,93.6,21,39.9,40,42.1,37,75.2,28,69.3,29,69.9,30,"Other Health,Medicine & Dentistry",/world-university-rankings/emory-university
Cornell University,United States,0,Cornell University,484,29,29,private,87.4,28,-,46,59.2,28,74.5,29,70.4,28,69.5,31,Other Health,/world-university-rankings/cornell-university
Vanderbilt University,United States,0,Vanderbilt University,534,30,30,private,91.3,24,65.0,14,28.1,47,71.3,30,64.2,33,65.4,36,"Other Health,Medicine & Dentistry",/world-university-rankings/vanderbilt-university
University of Massachusetts,United States,0,University of Massachusetts,528,31,31,master_account,79.2,37,40.9,37,25.4,49,71.1,31,76.2,24,71.0,28,Other Health,/world-university-rankings/university-massachusetts
The University of Tokyo,Japan,0,The University of Tokyo,494,32,32,master_account,65.2,49,55.3,20,24.1,50,69.9,32,80.3,19,79.1,20,"Other Health,Medicine & Dentistry",/world-university-rankings/university-tokyo
Monash University,Australia,11,Monash University,581,33,33,master_account,74.7,45,71.2,12,70.9,15,69.6,33,67.5,31,64.6,37,"Medicine & Dentistry,Other Health",/world-university-rankings/monash-university
University of Hong Kong HKU Hong Kong University,Hong Kong,11,University of Hong Kong,498,34,34,master_account,68.6,46,70.0,13,85.3,7,69.3,34,71.2,27,63.9,38,"Medicine & Dentistry,Other Health",/world-university-rankings/university-hong-kong
LMU Munich Ludwig-Maximilians-Universität München,Germany,6,LMU Munich,509,35,35,master_account,76.6,43,43.2,31,57.5,29,67.8,35,63.0,36,66.5,33,"Medicine & Dentistry,Other Health",/world-university-rankings/lmu-munich
Tufts University,United States,0,Tufts University,542,36,36,private,97.9,6,45.5,29,45.6,34,67.3,36,47.1,49,56.3,45,"Other Health,Medicine & Dentistry",/world-university-rankings/tufts-university
Northwestern University,United States,0,Northwestern University,490,37,37,private,89.3,27,51.1,22,34.8,44,67.2,37,53.2,43,63.4,41,"Medicine & Dentistry,Other Health",/world-university-rankings/northwestern-university
University of Minnesota,United States,0,University of Minnesota,506,38,38,public,84.4,33,-,49,30.0,46,67.0,38,61.1,39,63.5,40,"Medicine & Dentistry,Other Health",/world-university-rankings/university-minnesota
New York University,United States,0,New York University,508,39,39,private,77.8,41,39.9,41,36.9,42,66.7,39,63.4,34,66.5,34,"Medicine & Dentistry,Other Health",/world-university-rankings/new-york-university
KU Leuven,Belgium,11,KU Leuven,531,40,40,master_account,85.9,31,99.7,2,62.5,25,66.3,40,58.6,40,47.1,49,"Medicine & Dentistry,Other Health",/world-university-rankings/ku-leuven
National University of Singapore nus,Singapore,6,National University of Singapore,504,41,41,master_account,58.8,50,60.3,16,86.2,5,66.0,41,68.8,30,67.3,32,"Other Health,Medicine & Dentistry",/world-university-rankings/national-university-singapore
University of Queensland UQ UOQ,Australia,11,University of Queensland,538,42,42,master_account,65.2,48,50.7,24,75.9,12,65.4,42,65.6,32,63.8,39,"Medicine & Dentistry,Other Health",/world-university-rankings/university-queensland
University of Manchester,United Kingdom,0,University of Manchester,512,43,43,master_account,78.4,38,41.0,36,62.7,24,65.3,43,56.1,41,60.6,44,"Other Health,Medicine & Dentistry",/world-university-rankings/university-manchester
University of Wisconsin-Madison,United States,0,University of Wisconsin-Madison,491,44,44,public,90.9,25,47.1,26,40.7,39,65.2,44,51.7,46,54.4,46,"Medicine & Dentistry,Other Health",/world-university-rankings/university-wisconsin-madison
University of Glasgow,United Kingdom,1,University of Glasgow,566,45,45,master_account,98.0,5,85.7,9,60.3,27,64.8,45,41.1,50,45.6,50,"Medicine & Dentistry,Other Health",/world-university-rankings/university-glasgow
University of Southern California,United States,0,University of Southern California,519,45,45,private,78.3,39,93.1,6,40.7,38,64.8,46,55.2,42,61.2,43,"Medicine & Dentistry,Other Health",/world-university-rankings/university-southern-california
University of Montreal,Canada,11,University of Montreal,569,47,47,master_account,67.4,47,82.8,11,77.0,10,64.0,47,52.9,44,65.5,35,"Medicine & Dentistry,Other Health",/world-university-rankings/university-montreal
University of Auckland UOA Auckland University,New Zealand,11,University of Auckland,637,48,48,master_account,79.4,36,87.4,8,89.0,2,63.9,48,50.7,47,48.6,48,"Other Health,Medicine & Dentistry",/world-university-rankings/university-auckland
University of Alberta,Canada,0,University of Alberta,564,49,49,master_account,81.5,34,58.7,17,72.4,13,63.5,49,48.4,48,53.9,47,"Other Health,Medicine & Dentistry",/world-university-rankings/university-alberta
Heidelberg University,Germany,0,Heidelberg University,537,50,50,master_account,75.6,44,42.1,34,57.4,30,63.4,50,52.8,45,62.0,42,"Medicine & Dentistry,Other Health",/world-university-rankings/heidelberg-university-0
