aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
University of Manchester,United Kingdom,0,University of Manchester,512,26,26,master_account,77.0,27,41.6,34,79.1,12,67.1,26,60.2,41,66.3,27,"General Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering",/world-university-rankings/university-manchester
UCL ucl UCL,United Kingdom,0,UCL,481,27,27,master_account,75.6,28,34.6,42,89.9,5,66.6,27,60.7,38,63.6,31,"General Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/ucl
The Hong Kong University of Science and Technology hkust,Hong Kong,11,The Hong Kong University of Science and Technology,526,28,28,master_account,64.2,39,56.4,28,77.8,13,66.1,28,67.8,32,65.0,29,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/hong-kong-university-science-and-technology
University of Minnesota,United States,0,University of Minnesota,506,29,29,public,88.0,16,-,50,24.1,45,65.9,30,70.5,26,57.7,42,"Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering",/world-university-rankings/university-minnesota
École Polytechnique,France,6,École Polytechnique,527,29,29,master_account,81.5,22,61.0,23,77.4,14,65.9,29,55.2,45,60.4,36,"Chemical Engineering,Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering",/world-university-rankings/ecole-polytechnique
Tsinghua University Qinghua University Tsing hua University Qing hua University,China,6,Tsinghua University,535,31,31,master_account,27.7,50,97.6,5,22.3,47,65.6,31,83.5,18,87.8,13,"General Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/tsinghua-university
"University of California, Davis",United States,0,"University of California, Davis",503,32,32,public,89.6,12,53.6,29,64.8,20,65.2,32,60.7,39,49.4,48,"Chemical Engineering,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Civil Engineering",/world-university-rankings/university-california-davis
University of British Columbia ubc,Canada,11,University of British Columbia,486,33,33,master_account,62.5,40,38.6,37,83.1,10,64.5,33,69.1,29,61.5,34,"Civil Engineering,Chemical Engineering,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-british-columbia
Pohang University of Science and Technology (POSTECH) postech,South Korea,0,Pohang University of Science and Technology (POSTECH),517,34,34,master_account,87.9,17,100.0,1,21.3,49,63.8,34,52.2,46,57.9,41,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,General Engineering,Chemical Engineering",/world-university-rankings/pohang-university-science-and-technology-postech
University of Sydney UniSyd,Australia,11,University of Sydney,522,35,35,master_account,70.2,34,94.0,11,92.3,3,63.4,35,56.8,43,51.4,46,"Mechanical & Aerospace Engineering,Chemical Engineering,Civil Engineering,Electrical & Electronic Engineering,General Engineering",/world-university-rankings/university-sydney
Penn State (Main campus)  ,United States,0,Penn State (Main campus)  ,515,36,36,public,67.8,36,69.6,19,28.9,43,62.4,36,64.9,33,61.9,33,"Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering,General Engineering,Electrical & Electronic Engineering",/world-university-rankings/penn-state-main-campus
University of Hong Kong HKU Hong Kong University,Hong Kong,11,University of Hong Kong,498,37,37,master_account,68.7,35,27.3,44,72.6,17,62.0,37,61.4,36,59.6,37,"Electrical & Electronic Engineering,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-hong-kong
KU Leuven,Belgium,11,KU Leuven,531,38,38,master_account,65.2,38,94.8,10,55.7,27,61.5,38,63.4,34,52.0,45,"General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/ku-leuven
Purdue University West Lafayette,United States,0,Purdue University West Lafayette,562,39,39,public,41.6,44,-,47,45.9,34,60.7,39,72.1,25,74.1,23,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/purdue-university-west-lafayette
Rice University,United States,0,Rice University,536,40,40,private,100.0,1,49.7,31,39.1,38,60.2,41,41.0,49,49.8,47,"General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/rice-university
Korea Advanced Institute of Science and Technology (KAIST),South Korea,0,Korea Advanced Institute of Science and Technology (KAIST),558,40,40,master_account,36.4,47,99.8,3,25.1,44,60.2,40,70.2,27,74.1,22,"Electrical & Electronic Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Chemical Engineering",/world-university-rankings/korea-advanced-institute-science-and-technology-kaist
Ohio State University (Main campus)  ,United States,0,Ohio State University (Main campus)  ,521,42,42,public,66.8,37,95.9,8,37.1,39,59.5,42,57.7,42,54.0,44,"Civil Engineering,Chemical Engineering,General Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",/world-university-rankings/ohio-state-university-main-campus
Technical University of Munich,Germany,0,Technical University of Munich,552,43,43,master_account,55.8,41,39.9,36,61.9,22,58.7,43,60.3,40,62.0,32,"Chemical Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering,Civil Engineering",/world-university-rankings/technical-university-munich
Peking University,China,0,Peking University,514,44,44,master_account,72.8,30,83.3,14,33.7,41,58.5,44,47.0,47,59.1,38,"General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/peking-university
University of Queensland UQ UOQ,Australia,11,University of Queensland,538,45,45,master_account,80.5,23,95.7,9,72.3,18,58.3,46,40.3,50,46.3,50,"General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/university-queensland
Brown University,United States,0,Brown University,513,45,45,private,95.9,9,43.1,33,36.8,40,58.3,45,42.5,48,47.6,49,"Electrical & Electronic Engineering,General Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/brown-university
McGill University,Canada,0,McGill University,492,47,47,master_account,34.7,48,38.2,39,74.0,15,57.9,47,70.2,28,66.0,28,"General Engineering,Civil Engineering,Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/mcgill-university
University of Waterloo,Canada,11,University of Waterloo,689,48,48,master_account,50.2,42,31.4,43,58.2,26,56.6,49,61.7,35,61.0,35,"Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/university-waterloo
Kyoto University,Japan,0,Kyoto University,516,48,48,master_account,38.5,46,56.5,27,20.0,50,56.6,48,67.9,30,71.0,25,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering,Civil Engineering",/world-university-rankings/kyoto-university
"Nanyang Technological University, Singapore NTU Nan yang",Singapore,6,"Nanyang Technological University, Singapore",634,50,50,master_account,40.6,45,49.1,32,88.1,8,55.3,50,61.0,37,55.8,43,"Chemical Engineering,General Engineering,Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/nanyang-technological-university-singapore
