Institution,Metric,Value,Year,Numeric Value,Rank,Decile
Worcester,Student Satisfaction,3.79,2009,3.79,28.0,8.0
Northampton,Student Satisfaction,3.77,2009,3.77,42.0,7.0
Southampton Solent,Student Satisfaction,3.63,2009,3.63,96.0,2.0
Glasgow Caledonian,Student Satisfaction,3.72,2009,3.72,69.0,4.0
York St John,Student Satisfaction,3.70,2009,3.7,76.0,4.0
Leeds Metropolitan,Student Satisfaction,3.50,2009,3.5,112.0,1.0
Lincoln,Student Satisfaction,3.73,2009,3.73,60.0,5.0
Liverpool John Moores,Student Satisfaction,3.64,2009,3.64,93.0,2.0
Lampeter,Student Satisfaction,3.75,2009,3.75,48.0,6.0
Teesside,Student Satisfaction,3.80,2009,3.8,25.0,8.0
Derby,Student Satisfaction,3.66,2009,3.66,84.0,3.0
Cumbria,Student Satisfaction,3.52,2009,3.52,111.0,1.0
Huddersfield,Student Satisfaction,3.77,2009,3.77,42.0,7.0
East London,Student Satisfaction,3.60,2009,3.6,107.0,1.0
Wolverhampton,Student Satisfaction,3.63,2009,3.63,96.0,2.0
Edge Hill,Student Satisfaction,3.81,2009,3.81,23.0,9.0
Anglia Ruskin,Student Satisfaction,3.61,2009,3.61,104.0,1.0
Thames Valley,Student Satisfaction,3.77,2009,3.77,42.0,7.0
Greenwich,Student Satisfaction,3.62,2009,3.62,100.0,2.0
Bolton,Student Satisfaction,3.82,2009,3.82,20.0,9.0
London South Bank,Student Satisfaction,3.67,2009,3.67,82.0,3.0
Oxford,Research Quality,6.48,2009,6.48,2.0,10.0
Cambridge,Research Quality,6.62,2009,6.62,1.0,10.0
London School of Economics,Research Quality,6.40,2009,6.4,4.0,10.0
Imperial College,Research Quality,6.42,2009,6.42,3.0,10.0
Warwick,Research Quality,6.01,2009,6.01,5.0,10.0
Durham,Research Quality,5.74,2009,5.74,10.0,10.0
St Andrews,Research Quality,5.71,2009,5.71,11.0,10.0
University College London,Research Quality,5.95,2009,5.95,6.0,10.0
SOAS University of London,Research Quality,5.54,2009,5.54,18.0,9.0
Lancaster,Research Quality,5.79,2009,5.79,9.0,10.0
York,Research Quality,5.80,2009,5.8,8.0,10.0
