Institution,Metric,Value,Year,Numeric Value,Rank,Decile
Bath,Graduate Prospects,85.1,2016,85.1,4.0,10.0
Loughborough,Graduate Prospects,79.9,2016,79.9,13.0,9.0
University College London,Graduate Prospects,81.3,2016,81.3,9.0,10.0
Southampton,Graduate Prospects,77.7,2016,77.7,24.0,9.0
Bristol,Graduate Prospects,80.2,2016,80.2,11.0,10.0
East Anglia (UEA),Graduate Prospects,70.1,2016,70.1,47.0,7.0
York,Graduate Prospects,73.6,2016,73.6,37.0,8.0
Birmingham,Graduate Prospects,84.0,2016,84.0,5.0,10.0
Leeds,Graduate Prospects,74.5,2016,74.5,34.0,8.0
Edinburgh,Graduate Prospects,77.9,2016,77.9,23.0,9.0
Sussex,Graduate Prospects,74.9,2016,74.9,32.0,8.0
Kent,Graduate Prospects,75.2,2016,75.2,31.0,8.0
King's College London,Graduate Prospects,79.6,2016,79.6,15.0,9.0
Leicester,Graduate Prospects,73.6,2016,73.6,37.0,8.0
Nottingham,Graduate Prospects,79.2,2016,79.2,18.0,9.0
Newcastle,Graduate Prospects,78.7,2016,78.7,19.0,9.0
Sheffield,Graduate Prospects,76.9,2016,76.9,27.0,8.0
Manchester,Graduate Prospects,75.5,2016,75.5,29.0,8.0
Reading,Graduate Prospects,71.5,2016,71.5,44.0,7.0
Glasgow,Graduate Prospects,79.9,2016,79.9,13.0,10.0
Cardiff,Graduate Prospects,81.5,2016,81.5,8.0,10.0
Aston,Graduate Prospects,76.6,2016,76.6,28.0,8.0
"Queen Mary, University of London",Graduate Prospects,69.4,2016,69.4,50.0,7.0
"Royal Holloway, University of London",Graduate Prospects,62.2,2016,62.2,78.0,4.0
Essex,Graduate Prospects,64.2,2016,64.2,68.0,5.0
"Queen's, Belfast",Graduate Prospects,74.9,2016,74.9,32.0,8.0
Heriot-Watt,Graduate Prospects,73.2,2016,73.2,39.0,7.0
Strathclyde,Graduate Prospects,77.6,2016,77.6,25.0,9.0
Liverpool,Graduate Prospects,72.8,2016,72.8,40.0,7.0
Aberdeen,Graduate Prospects,74.2,2016,74.2,35.0,8.0
"City, University of London",Graduate Prospects,73.7,2016,73.7,36.0,8.0
Dundee,Graduate Prospects,70.3,2016,70.3,46.0,7.0
SOAS University of London,Graduate Prospects,62.6,2016,62.6,75.0,5.0
"St George's, University of London",Graduate Prospects,89.4,2016,89.4,2.0,10.0
Swansea,Graduate Prospects,78.7,2016,78.7,19.0,9.0
Keele,Graduate Prospects,71.9,2016,71.9,42.0,7.0
Stirling,Graduate Prospects,70.1,2016,70.1,47.0,7.0
Coventry,Graduate Prospects,70.8,2016,70.8,45.0,7.0
Brunel University London,Graduate Prospects,59.5,2016,59.5,87.0,4.0
"Goldsmiths, University of London",Graduate Prospects,55.4,2016,55.4,106.0,2.0
Lincoln,Graduate Prospects,67.4,2016,67.4,56.0,6.0
University for the Creative Arts,Graduate Prospects,49.3,2016,49.3,123.0,1.0
Nottingham Trent,Graduate Prospects,63.3,2016,63.3,70.0,5.0
De Montfort,Graduate Prospects,68.7,2016,68.7,52.0,6.0
Bournemouth,Graduate Prospects,62.9,2016,62.9,73.0,5.0
Oxford Brookes,Graduate Prospects,66.7,2016,66.7,60.0,6.0
Arts University Bournemouth,Graduate Prospects,65.9,2016,65.9,63.0,6.0
Bangor,Graduate Prospects,66.1,2016,66.1,62.0,6.0
Portsmouth,Graduate Prospects,66.2,2016,66.2,61.0,6.0
Harper Adams,Graduate Prospects,67.0,2016,67.0,58.0,6.0
Northumbria,Graduate Prospects,61.7,2016,61.7,79.0,4.0
"West of England, Bristol",Graduate Prospects,68.2,2016,68.2,53.0,6.0
Bradford,Graduate Prospects,72.1,2016,72.1,41.0,7.0
Hull,Graduate Prospects,63.1,2016,63.1,72.0,5.0
Robert Gordon,Graduate Prospects,80.2,2016,80.2,11.0,10.0
Roehampton,Graduate Prospects,56.3,2016,56.3,103.0,2.0
Ulster,Graduate Prospects,56.5,2016,56.5,101.0,2.0
Liverpool John Moores,Graduate Prospects,61.1,2016,61.1,81.0,4.0
Buckingham,Graduate Prospects,75.3,2016,75.3,30.0,8.0
Bath Spa,Graduate Prospects,55.4,2016,55.4,106.0,2.0
Falmouth,Graduate Prospects,69.8,2016,69.8,49.0,7.0
Sheffield Hallam,Graduate Prospects,59.2,2016,59.2,90.0,3.0
Manchester Metropolitan,Graduate Prospects,60.0,2016,60.0,85.0,4.0
Huddersfield,Graduate Prospects,69.2,2016,69.2,51.0,6.0
Hertfordshire,Graduate Prospects,67.9,2016,67.9,54.0,6.0
Brighton,Graduate Prospects,64.4,2016,64.4,66.0,5.0
Chichester,Graduate Prospects,56.8,2016,56.8,100.0,3.0
Queen Margaret,Graduate Prospects,62.4,2016,62.4,76.0,4.0
Cardiff Metropolitan,Graduate Prospects,58.2,2016,58.2,93.0,3.0
Gloucestershire,Graduate Prospects,57.9,2016,57.9,95.0,3.0
"University of the Arts, London",Graduate Prospects,54.5,2016,54.5,111.0,2.0
Edge Hill,Graduate Prospects,58.2,2016,58.2,93.0,3.0
Glasgow Caledonian,Graduate Prospects,67.9,2016,67.9,54.0,6.0
Northampton,Graduate Prospects,59.3,2016,59.3,88.0,3.0
Royal Agricultural University,Graduate Prospects,71.6,2016,71.6,43.0,7.0
Aberystwyth,Graduate Prospects,52.6,2016,52.6,115.0,1.0
Winchester,Graduate Prospects,51.1,2016,51.1,117.0,1.0
Birmingham City,Graduate Prospects,62.4,2016,62.4,76.0,4.0
Middlesex,Graduate Prospects,56.4,2016,56.4,102.0,2.0
Plymouth,Graduate Prospects,57.4,2016,57.4,97.0,3.0
Central Lancashire,Graduate Prospects,58.6,2016,58.6,91.0,3.0
Edinburgh Napier,Graduate Prospects,61.0,2016,61.0,82.0,4.0
Chester,Graduate Prospects,65.3,2016,65.3,64.0,5.0
Derby,Graduate Prospects,54.0,2016,54.0,112.0,2.0
Abertay,Graduate Prospects,60.5,2016,60.5,83.0,4.0
Salford,Graduate Prospects,56.0,2016,56.0,105.0,2.0
Liverpool Hope,Graduate Prospects,52.0,2016,52.0,116.0,1.0
Teesside,Graduate Prospects,57.0,2016,57.0,98.0,3.0
York St John,Graduate Prospects,64.4,2016,64.4,66.0,5.0
Westminster,Graduate Prospects,50.1,2016,50.1,120.0,1.0
Leeds Trinity,Graduate Prospects,65.1,2016,65.1,65.0,5.0
South Wales,Graduate Prospects,54.6,2016,54.6,110.0,2.0
Staffordshire,Graduate Prospects,54.7,2016,54.7,109.0,2.0
Kingston,Graduate Prospects,53.8,2016,53.8,113.0,2.0
Worcester,Graduate Prospects,60.4,2016,60.4,84.0,4.0
Canterbury Christ Church,Graduate Prospects,59.8,2016,59.8,86.0,4.0
Greenwich,Graduate Prospects,48.6,2016,48.6,124.0,1.0
West London,Graduate Prospects,67.1,2016,67.1,57.0,6.0
"St Mary's, Twickenham",Graduate Prospects,62.9,2016,62.9,73.0,5.0
Bedfordshire,Graduate Prospects,59.3,2016,59.3,88.0,4.0
Cumbria,Graduate Prospects,61.2,2016,61.2,80.0,4.0
Plymouth Marjon,Graduate Prospects,63.5,2016,63.5,69.0,5.0
Buckinghamshire New,Graduate Prospects,52.8,2016,52.8,114.0,1.0
Leeds Beckett,Graduate Prospects,55.2,2016,55.2,108.0,2.0
Anglia Ruskin,Graduate Prospects,58.3,2016,58.3,92.0,3.0
Sunderland,Graduate Prospects,50.5,2016,50.5,118.0,1.0
Bishop Grosseteste,Graduate Prospects,66.8,2016,66.8,59.0,6.0
West of Scotland,Graduate Prospects,57.9,2016,57.9,95.0,3.0
London South Bank,Graduate Prospects,48.6,2016,48.6,124.0,1.0
Newman,Graduate Prospects,56.2,2016,56.2,104.0,2.0
Bolton,Graduate Prospects,57.0,2016,57.0,98.0,3.0
Southampton Solent,Graduate Prospects,50.0,2016,50.0,121.0,1.0
Wrexham Glyndŵr,Graduate Prospects,63.3,2016,63.3,70.0,5.0
East London,Graduate Prospects,49.9,2016,49.9,122.0,1.0
University of Wales Trinity Saint David,Graduate Prospects,50.2,2016,50.2,119.0,1.0
London Metropolitan,Graduate Prospects,44.6,2016,44.6,126.0,1.0
Cambridge,Academic Services Spend,"2,498",2016,2498.0,3.0,10.0
Oxford,Academic Services Spend,"2,775",2016,2775.0,2.0,10.0
London School of Economics,Academic Services Spend,"1,833",2016,1833.0,9.0,10.0
Imperial College London,Academic Services Spend,"2,144",2016,2144.0,5.0,10.0
Durham,Academic Services Spend,"1,430",2016,1430.0,33.0,8.0
St Andrews,Academic Services Spend,"1,911",2016,1911.0,7.0,10.0
Warwick,Academic Services Spend,"1,760",2016,1760.0,12.0,10.0
Surrey,Academic Services Spend,"1,664",2016,1664.0,15.0,9.0
Lancaster,Academic Services Spend,"1,565",2016,1565.0,22.0,9.0
Exeter,Academic Services Spend,"1,629",2016,1629.0,18.0,9.0
Bath,Academic Services Spend,"1,307",2016,1307.0,42.0,7.0
Loughborough,Academic Services Spend,"1,210",2016,1210.0,52.0,6.0
University College London,Academic Services Spend,"1,982",2016,1982.0,6.0,10.0
Southampton,Academic Services Spend,"1,623",2016,1623.0,19.0,9.0
Bristol,Academic Services Spend,"1,453",2016,1453.0,31.0,8.0
East Anglia (UEA),Academic Services Spend,"1,298",2016,1298.0,44.0,7.0
York,Academic Services Spend,"1,325",2016,1325.0,39.0,7.0
Birmingham,Academic Services Spend,"1,787",2016,1787.0,10.0,10.0
Leeds,Academic Services Spend,"1,714",2016,1714.0,13.0,10.0
Edinburgh,Academic Services Spend,"1,546",2016,1546.0,23.0,9.0
Sussex,Academic Services Spend,"1,404",2016,1404.0,35.0,8.0
Kent,Academic Services Spend,924,2016,924.0,100.0,3.0
King's College London,Academic Services Spend,"1,436",2016,1436.0,32.0,8.0
Leicester,Academic Services Spend,"1,687",2016,1687.0,14.0,9.0
Nottingham,Academic Services Spend,"1,415",2016,1415.0,34.0,8.0
Newcastle,Academic Services Spend,"1,253",2016,1253.0,49.0,7.0
Sheffield,Academic Services Spend,"1,334",2016,1334.0,38.0,8.0
Manchester,Academic Services Spend,"1,309",2016,1309.0,41.0,7.0
Reading,Academic Services Spend,"1,277",2016,1277.0,46.0,7.0
Glasgow,Academic Services Spend,"1,545",2016,1545.0,24.0,9.0
Cardiff,Academic Services Spend,"1,030",2016,1030.0,84.0,4.0
Aston,Academic Services Spend,"1,207",2016,1207.0,54.0,6.0
"Queen Mary, University of London",Academic Services Spend,"1,519",2016,1519.0,27.0,8.0
"Royal Holloway, University of London",Academic Services Spend,"1,065",2016,1065.0,78.0,4.0
Essex,Academic Services Spend,"1,523",2016,1523.0,26.0,8.0
"Queen's, Belfast",Academic Services Spend,"1,103",2016,1103.0,71.0,5.0
Heriot-Watt,Academic Services Spend,"1,084",2016,1084.0,73.0,5.0
Strathclyde,Academic Services Spend,"1,393",2016,1393.0,37.0,8.0
Liverpool,Academic Services Spend,"1,573",2016,1573.0,21.0,9.0
Aberdeen,Academic Services Spend,"1,457",2016,1457.0,29.0,8.0
"City, University of London",Academic Services Spend,"1,652",2016,1652.0,17.0,9.0
Dundee,Academic Services Spend,"1,139",2016,1139.0,62.0,6.0
SOAS University of London,Academic Services Spend,"1,774",2016,1774.0,11.0,10.0
"St George's, University of London",Academic Services Spend,"4,280",2016,4280.0,1.0,10.0
Swansea,Academic Services Spend,"1,256",2016,1256.0,48.0,7.0
Keele,Academic Services Spend,784,2016,784.0,114.0,1.0
Stirling,Academic Services Spend,958,2016,958.0,96.0,3.0
Coventry,Academic Services Spend,"1,103",2016,1103.0,71.0,5.0
Brunel University London,Academic Services Spend,"1,403",2016,1403.0,36.0,8.0
"Goldsmiths, University of London",Academic Services Spend,891,2016,891.0,102.0,2.0
Lincoln,Academic Services Spend,"1,040",2016,1040.0,83.0,4.0
University for the Creative Arts,Academic Services Spend,"1,586",2016,1586.0,20.0,9.0
Nottingham Trent,Academic Services Spend,996,2016,996.0,89.0,3.0
De Montfort,Academic Services Spend,"1,129",2016,1129.0,65.0,5.0
Bournemouth,Academic Services Spend,"1,119",2016,1119.0,67.0,5.0
Oxford Brookes,Academic Services Spend,885,2016,885.0,104.0,2.0
Arts University Bournemouth,Academic Services Spend,484,2016,484.0,125.0,1.0
Bangor,Academic Services Spend,896,2016,896.0,101.0,2.0
Portsmouth,Academic Services Spend,"1,275",2016,1275.0,47.0,7.0
Harper Adams,Academic Services Spend,"1,009",2016,1009.0,87.0,4.0
Northumbria,Academic Services Spend,"1,016",2016,1016.0,86.0,4.0
"West of England, Bristol",Academic Services Spend,"1,134",2016,1134.0,64.0,5.0
Bradford,Academic Services Spend,"1,071",2016,1071.0,76.0,4.0
Hull,Academic Services Spend,"1,168",2016,1168.0,59.0,6.0
Robert Gordon,Academic Services Spend,954,2016,954.0,97.0,3.0
Roehampton,Academic Services Spend,"1,656",2016,1656.0,16.0,9.0
Ulster,Academic Services Spend,"1,105",2016,1105.0,70.0,5.0
Liverpool John Moores,Academic Services Spend,"1,076",2016,1076.0,74.0,5.0
Buckingham,Academic Services Spend,"1,061",2016,1061.0,79.0,4.0
Bath Spa,Academic Services Spend,"1,069",2016,1069.0,77.0,4.0
Falmouth,Academic Services Spend,"1,319",2016,1319.0,40.0,7.0
Sheffield Hallam,Academic Services Spend,"1,455",2016,1455.0,30.0,8.0
Manchester Metropolitan,Academic Services Spend,"1,054",2016,1054.0,81.0,4.0
Huddersfield,Academic Services Spend,"1,072",2016,1072.0,75.0,5.0
Hertfordshire,Academic Services Spend,969,2016,969.0,94.0,3.0
Brighton,Academic Services Spend,821,2016,821.0,111.0,2.0
Chichester,Academic Services Spend,768,2016,768.0,116.0,1.0
Queen Margaret,Academic Services Spend,981,2016,981.0,92.0,3.0
Cardiff Metropolitan,Academic Services Spend,963,2016,963.0,95.0,3.0
Gloucestershire,Academic Services Spend,"1,244",2016,1244.0,50.0,7.0
"University of the Arts, London",Academic Services Spend,"1,478",2016,1478.0,28.0,8.0
Edge Hill,Academic Services Spend,"1,303",2016,1303.0,43.0,7.0
Glasgow Caledonian,Academic Services Spend,"1,178",2016,1178.0,58.0,6.0
Northampton,Academic Services Spend,"1,216",2016,1216.0,51.0,6.0
Royal Agricultural University,Academic Services Spend,"1,846",2016,1846.0,8.0,10.0
Aberystwyth,Academic Services Spend,819,2016,819.0,112.0,2.0
Winchester,Academic Services Spend,822,2016,822.0,110.0,2.0
Birmingham City,Academic Services Spend,"1,044",2016,1044.0,82.0,4.0
Middlesex,Academic Services Spend,"2,277",2016,2277.0,4.0,10.0
Plymouth,Academic Services Spend,985,2016,985.0,91.0,3.0
Central Lancashire,Academic Services Spend,"1,538",2016,1538.0,25.0,9.0
Edinburgh Napier,Academic Services Spend,811,2016,811.0,113.0,2.0
Chester,Academic Services Spend,"1,116",2016,1116.0,68.0,5.0
Derby,Academic Services Spend,"1,143",2016,1143.0,61.0,6.0
Abertay,Academic Services Spend,885,2016,885.0,104.0,2.0
Salford,Academic Services Spend,"1,179",2016,1179.0,57.0,6.0
Liverpool Hope,Academic Services Spend,766,2016,766.0,117.0,1.0
Teesside,Academic Services Spend,"1,182",2016,1182.0,56.0,6.0
York St John,Academic Services Spend,784,2016,784.0,114.0,1.0
Westminster,Academic Services Spend,"1,149",2016,1149.0,60.0,6.0
Leeds Trinity,Academic Services Spend,953,2016,953.0,98.0,3.0
South Wales,Academic Services Spend,879,2016,879.0,106.0,2.0
Staffordshire,Academic Services Spend,"1,195",2016,1195.0,55.0,6.0
Kingston,Academic Services Spend,"1,110",2016,1110.0,69.0,5.0
Worcester,Academic Services Spend,643,2016,643.0,121.0,1.0
Canterbury Christ Church,Academic Services Spend,851,2016,851.0,109.0,2.0
Greenwich,Academic Services Spend,"1,030",2016,1030.0,84.0,4.0
West London,Academic Services Spend,"1,209",2016,1209.0,53.0,6.0
"St Mary's, Twickenham",Academic Services Spend,714,2016,714.0,119.0,1.0
Bedfordshire,Academic Services Spend,"1,136",2016,1136.0,63.0,6.0
Cumbria,Academic Services Spend,644,2016,644.0,120.0,1.0
Plymouth Marjon,Academic Services Spend,586,2016,586.0,122.0,1.0
Buckinghamshire New,Academic Services Spend,564,2016,564.0,123.0,1.0
Leeds Beckett,Academic Services Spend,860,2016,860.0,108.0,2.0
Anglia Ruskin,Academic Services Spend,974,2016,974.0,93.0,3.0
Sunderland,Academic Services Spend,888,2016,888.0,103.0,2.0
Bishop Grosseteste,Academic Services Spend,355,2016,355.0,126.0,1.0
West of Scotland,Academic Services Spend,989,2016,989.0,90.0,3.0
London South Bank,Academic Services Spend,"1,120",2016,1120.0,66.0,5.0
Newman,Academic Services Spend,"1,055",2016,1055.0,80.0,4.0
Bolton,Academic Services Spend,737,2016,737.0,118.0,1.0
Southampton Solent,Academic Services Spend,865,2016,865.0,107.0,2.0
Wrexham Glyndŵr,Academic Services Spend,"1,291",2016,1291.0,45.0,7.0
East London,Academic Services Spend,937,2016,937.0,99.0,3.0
University of Wales Trinity Saint David,Academic Services Spend,"1,007",2016,1007.0,88.0,4.0
London Metropolitan,Academic Services Spend,544,2016,544.0,124.0,1.0
Cambridge,Facilities Spend,780,2016,780.0,11.0,10.0
Oxford,Facilities Spend,446,2016,446.0,71.0,5.0
London School of Economics,Facilities Spend,514,2016,514.0,42.0,7.0
Imperial College London,Facilities Spend,658,2016,658.0,23.0,9.0
Durham,Facilities Spend,"1,030",2016,1030.0,3.0,10.0
St Andrews,Facilities Spend,456,2016,456.0,66.0,5.0
Warwick,Facilities Spend,619,2016,619.0,31.0,8.0
Surrey,Facilities Spend,641,2016,641.0,27.0,8.0
Lancaster,Facilities Spend,778,2016,778.0,13.0,10.0
Exeter,Facilities Spend,670,2016,670.0,21.0,9.0
Bath,Facilities Spend,421,2016,421.0,81.0,4.0
Loughborough,Facilities Spend,949,2016,949.0,5.0,10.0
University College London,Facilities Spend,195,2016,195.0,124.0,1.0
Southampton,Facilities Spend,496,2016,496.0,50.0,7.0
Bristol,Facilities Spend,433,2016,433.0,77.0,4.0
East Anglia (UEA),Facilities Spend,815,2016,815.0,10.0,10.0
York,Facilities Spend,655,2016,655.0,25.0,9.0
Birmingham,Facilities Spend,522,2016,522.0,40.0,7.0
Leeds,Facilities Spend,447,2016,447.0,70.0,5.0
Edinburgh,Facilities Spend,532,2016,532.0,37.0,8.0
Sussex,Facilities Spend,765,2016,765.0,14.0,9.0
Kent,Facilities Spend,458,2016,458.0,64.0,5.0
King's College London,Facilities Spend,554,2016,554.0,34.0,8.0
Leicester,Facilities Spend,748,2016,748.0,15.0,9.0
Nottingham,Facilities Spend,509,2016,509.0,45.0,7.0
Newcastle,Facilities Spend,434,2016,434.0,76.0,4.0
Sheffield,Facilities Spend,471,2016,471.0,60.0,6.0
Manchester,Facilities Spend,517,2016,517.0,41.0,7.0
Reading,Facilities Spend,397,2016,397.0,86.0,4.0
Glasgow,Facilities Spend,511,2016,511.0,44.0,7.0
Cardiff,Facilities Spend,425,2016,425.0,80.0,4.0
Aston,Facilities Spend,497,2016,497.0,48.0,7.0
"Queen Mary, University of London",Facilities Spend,667,2016,667.0,22.0,9.0
"Royal Holloway, University of London",Facilities Spend,484,2016,484.0,56.0,6.0
Essex,Facilities Spend,996,2016,996.0,4.0,10.0
"Queen's, Belfast",Facilities Spend,678,2016,678.0,20.0,9.0
Heriot-Watt,Facilities Spend,686,2016,686.0,19.0,9.0
Strathclyde,Facilities Spend,312,2016,312.0,111.0,2.0
Liverpool,Facilities Spend,480,2016,480.0,57.0,6.0
Aberdeen,Facilities Spend,638,2016,638.0,28.0,8.0
"City, University of London",Facilities Spend,478,2016,478.0,58.0,6.0
Dundee,Facilities Spend,331,2016,331.0,102.0,2.0
SOAS University of London,Facilities Spend,250,2016,250.0,122.0,1.0
"St George's, University of London",Facilities Spend,76,2016,76.0,126.0,1.0
Swansea,Facilities Spend,408,2016,408.0,82.0,4.0
Keele,Facilities Spend,443,2016,443.0,73.0,5.0
Stirling,Facilities Spend,590,2016,590.0,32.0,8.0
Coventry,Facilities Spend,454,2016,454.0,68.0,5.0
Brunel University London,Facilities Spend,458,2016,458.0,64.0,5.0
"Goldsmiths, University of London",Facilities Spend,281,2016,281.0,114.0,1.0
Lincoln,Facilities Spend,475,2016,475.0,59.0,6.0
University for the Creative Arts,Facilities Spend,643,2016,643.0,26.0,8.0
Nottingham Trent,Facilities Spend,658,2016,658.0,23.0,9.0
De Montfort,Facilities Spend,491,2016,491.0,51.0,6.0
Bournemouth,Facilities Spend,455,2016,455.0,67.0,5.0
Oxford Brookes,Facilities Spend,509,2016,509.0,45.0,7.0
Arts University Bournemouth,Facilities Spend,166,2016,166.0,125.0,1.0
Bangor,Facilities Spend,377,2016,377.0,90.0,3.0
Portsmouth,Facilities Spend,276,2016,276.0,117.0,1.0
Harper Adams,Facilities Spend,525,2016,525.0,39.0,7.0
Northumbria,Facilities Spend,404,2016,404.0,83.0,4.0
"West of England, Bristol",Facilities Spend,702,2016,702.0,18.0,9.0
Bradford,Facilities Spend,549,2016,549.0,35.0,8.0
Hull,Facilities Spend,471,2016,471.0,60.0,6.0
Robert Gordon,Facilities Spend,273,2016,273.0,118.0,1.0
Roehampton,Facilities Spend,501,2016,501.0,47.0,7.0
Ulster,Facilities Spend,491,2016,491.0,51.0,6.0
Liverpool John Moores,Facilities Spend,262,2016,262.0,121.0,1.0
Buckingham,Facilities Spend,743,2016,743.0,16.0,9.0
Bath Spa,Facilities Spend,228,2016,228.0,123.0,1.0
Falmouth,Facilities Spend,389,2016,389.0,88.0,4.0
Sheffield Hallam,Facilities Spend,404,2016,404.0,83.0,4.0
Manchester Metropolitan,Facilities Spend,365,2016,365.0,93.0,3.0
Huddersfield,Facilities Spend,360,2016,360.0,95.0,3.0
Hertfordshire,Facilities Spend,890,2016,890.0,9.0,10.0
Brighton,Facilities Spend,373,2016,373.0,92.0,3.0
Chichester,Facilities Spend,364,2016,364.0,94.0,3.0
Queen Margaret,Facilities Spend,334,2016,334.0,101.0,2.0
Cardiff Metropolitan,Facilities Spend,624,2016,624.0,29.0,8.0
Gloucestershire,Facilities Spend,403,2016,403.0,85.0,4.0
"University of the Arts, London",Facilities Spend,279,2016,279.0,115.0,1.0
Edge Hill,Facilities Spend,436,2016,436.0,75.0,5.0
Glasgow Caledonian,Facilities Spend,326,2016,326.0,105.0,2.0
Northampton,Facilities Spend,"1,066",2016,1066.0,2.0,10.0
Royal Agricultural University,Facilities Spend,947,2016,947.0,6.0,10.0
Aberystwyth,Facilities Spend,485,2016,485.0,55.0,6.0
Winchester,Facilities Spend,293,2016,293.0,113.0,2.0
Birmingham City,Facilities Spend,544,2016,544.0,36.0,8.0
Middlesex,Facilities Spend,527,2016,527.0,38.0,8.0
Plymouth,Facilities Spend,358,2016,358.0,97.0,3.0
Central Lancashire,Facilities Spend,486,2016,486.0,54.0,6.0
Edinburgh Napier,Facilities Spend,272,2016,272.0,119.0,1.0
Chester,Facilities Spend,427,2016,427.0,78.0,4.0
Derby,Facilities Spend,357,2016,357.0,98.0,3.0
Abertay,Facilities Spend,620,2016,620.0,30.0,8.0
Salford,Facilities Spend,460,2016,460.0,63.0,6.0
Liverpool Hope,Facilities Spend,909,2016,909.0,7.0,10.0
Teesside,Facilities Spend,427,2016,427.0,78.0,4.0
York St John,Facilities Spend,360,2016,360.0,95.0,3.0
Westminster,Facilities Spend,268,2016,268.0,120.0,1.0
Leeds Trinity,Facilities Spend,381,2016,381.0,89.0,3.0
South Wales,Facilities Spend,446,2016,446.0,71.0,5.0
Staffordshire,Facilities Spend,352,2016,352.0,100.0,3.0
Kingston,Facilities Spend,448,2016,448.0,69.0,5.0
Worcester,Facilities Spend,377,2016,377.0,90.0,3.0
Canterbury Christ Church,Facilities Spend,331,2016,331.0,102.0,2.0
Greenwich,Facilities Spend,488,2016,488.0,53.0,6.0
West London,Facilities Spend,721,2016,721.0,17.0,9.0
"St Mary's, Twickenham",Facilities Spend,304,2016,304.0,112.0,2.0
Bedfordshire,Facilities Spend,497,2016,497.0,48.0,7.0
Cumbria,Facilities Spend,328,2016,328.0,104.0,2.0
Plymouth Marjon,Facilities Spend,900,2016,900.0,8.0,10.0
Buckinghamshire New,Facilities Spend,"1,434",2016,1434.0,1.0,10.0
Leeds Beckett,Facilities Spend,438,2016,438.0,74.0,5.0
Anglia Ruskin,Facilities Spend,390,2016,390.0,87.0,4.0
Sunderland,Facilities Spend,461,2016,461.0,62.0,6.0
Bishop Grosseteste,Facilities Spend,278,2016,278.0,116.0,1.0
West of Scotland,Facilities Spend,318,2016,318.0,109.0,2.0
London South Bank,Facilities Spend,356,2016,356.0,99.0,3.0
Newman,Facilities Spend,322,2016,322.0,107.0,2.0
Bolton,Facilities Spend,322,2016,322.0,107.0,2.0
Southampton Solent,Facilities Spend,556,2016,556.0,33.0,8.0
Wrexham Glyndŵr,Facilities Spend,314,2016,314.0,110.0,2.0
East London,Facilities Spend,780,2016,780.0,11.0,10.0
University of Wales Trinity Saint David,Facilities Spend,514,2016,514.0,42.0,7.0
London Metropolitan,Facilities Spend,324,2016,324.0,106.0,2.0
Cambridge,Good Honours,89.3,2016,89.3,3.0,10.0
Oxford,Good Honours,92.1,2016,92.1,1.0,10.0
London School of Economics,Good Honours,82.1,2016,82.1,16.0,9.0
Imperial College London,Good Honours,87.3,2016,87.3,6.0,10.0
Durham,Good Honours,87.4,2016,87.4,5.0,10.0
St Andrews,Good Honours,89.6,2016,89.6,2.0,10.0
Warwick,Good Honours,82.3,2016,82.3,14.0,9.0
Surrey,Good Honours,78.9,2016,78.9,25.0,9.0
Lancaster,Good Honours,76.9,2016,76.9,33.0,8.0
Exeter,Good Honours,84.1,2016,84.1,9.0,10.0
Bath,Good Honours,84.1,2016,84.1,9.0,10.0
Loughborough,Good Honours,79.8,2016,79.8,22.0,9.0
University College London,Good Honours,87.9,2016,87.9,4.0,10.0
Southampton,Good Honours,80.4,2016,80.4,19.0,9.0
Bristol,Good Honours,86.3,2016,86.3,7.0,10.0
East Anglia (UEA),Good Honours,78.8,2016,78.8,26.0,8.0
York,Good Honours,81.6,2016,81.6,17.0,9.0
Birmingham,Good Honours,84.4,2016,84.4,8.0,10.0
Leeds,Good Honours,82.2,2016,82.2,15.0,9.0
Edinburgh,Good Honours,83.0,2016,83.0,12.0,10.0
Sussex,Good Honours,78.6,2016,78.6,27.0,8.0
Kent,Good Honours,80.0,2016,80.0,21.0,9.0
King's College London,Good Honours,83.2,2016,83.2,11.0,10.0
Leicester,Good Honours,78.3,2016,78.3,28.0,8.0
Nottingham,Good Honours,79.3,2016,79.3,23.0,9.0
Newcastle,Good Honours,79.2,2016,79.2,24.0,9.0
Sheffield,Good Honours,80.4,2016,80.4,19.0,9.0
Manchester,Good Honours,75.7,2016,75.7,38.0,8.0
Reading,Good Honours,76.2,2016,76.2,34.0,8.0
Glasgow,Good Honours,77.8,2016,77.8,30.0,8.0
Cardiff,Good Honours,77.8,2016,77.8,30.0,8.0
Aston,Good Honours,75.1,2016,75.1,43.0,7.0
"Queen Mary, University of London",Good Honours,75.3,2016,75.3,42.0,7.0
"Royal Holloway, University of London",Good Honours,75.9,2016,75.9,36.0,8.0
Essex,Good Honours,68.9,2016,68.9,65.0,5.0
"Queen's, Belfast",Good Honours,75.8,2016,75.8,37.0,8.0
Heriot-Watt,Good Honours,72.0,2016,72.0,52.0,6.0
Strathclyde,Good Honours,77.9,2016,77.9,29.0,8.0
Liverpool,Good Honours,75.4,2016,75.4,41.0,7.0
Aberdeen,Good Honours,77.1,2016,77.1,32.0,8.0
"City, University of London",Good Honours,73.8,2016,73.8,49.0,7.0
Dundee,Good Honours,76.1,2016,76.1,35.0,8.0
SOAS University of London,Good Honours,82.9,2016,82.9,13.0,10.0
"St George's, University of London",Good Honours,70.4,2016,70.4,59.0,6.0
