aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
University of British Columbia ubc,Canada,11,University of British Columbia,486,27,27,master_account,78.9,36,53.7,20,71.1,12,76.3,27,79.1,29,73.7,30,"Medicine & Dentistry,Other Health",/world-university-rankings/university-british-columbia
University of Edinburgh,United Kingdom,0,University of Edinburgh,500,28,28,master_account,92.0,12,51.2,24,65.3,18,75.4,28,65.8,45,68.8,36,"Medicine & Dentistry,Other Health",/world-university-rankings/university-edinburgh
Boston University,United States,0,Boston University,518,29,29,private,94.9,5,36.9,46,48.5,37,75.3,29,66.9,42,69.6,35,"Medicine & Dentistry,Other Health",/world-university-rankings/boston-university
Cornell University,United States,0,Cornell University,484,30,30,private,81.1,30,39.9,44,61.3,23,74.8,30,74.1,34,74.3,29,Other Health,/world-university-rankings/cornell-university
University of Chicago,United States,11,University of Chicago,473,31,31,private,87.9,20,-,49,57.7,30,74.6,31,68.3,41,70.8,34,Medicine & Dentistry,/world-university-rankings/university-chicago
Emory University,United States,0,Emory University,539,32,32,private,84.5,27,42.4,38,43.2,40,73.9,32,70.2,37,75.2,26,"Other Health,Medicine & Dentistry",/world-university-rankings/emory-university
The University of Tokyo,Japan,0,The University of Tokyo,494,32,32,master_account,72.8,40,50.1,27,29.5,51,73.9,33,83.9,20,79.8,22,"Medicine & Dentistry,Other Health",/world-university-rankings/university-tokyo
Monash University,Australia,0,Monash University,581,34,34,master_account,74.7,37,81.1,10,59.0,26,73.5,34,77.6,31,71.2,33,"Other Health,Medicine & Dentistry",/world-university-rankings/monash-university
University of Queensland UQ UOQ,Australia,11,University of Queensland,538,35,35,master_account,66.7,48,58.9,17,70.9,14,71.3,35,83.2,21,66.7,39,"Other Health,Medicine & Dentistry",/world-university-rankings/university-queensland
University of Hong Kong HKU Hong Kong University,Hong Kong,11,University of Hong Kong,498,36,36,master_account,60.4,50,68.7,15,82.3,6,70.3,36,76.4,32,73.6,31,"Other Health,Medicine & Dentistry",/world-university-rankings/university-hong-kong
National University of Singapore nus,Singapore,6,National University of Singapore,504,37,37,master_account,62.5,49,46.3,31,87.8,1,70.1,37,72.7,36,74.6,28,"Medicine & Dentistry,Other Health",/world-university-rankings/national-university-singapore
Northwestern University,United States,0,Northwestern University,490,38,38,private,81.1,31,88.7,9,30.3,48,69.4,38,69.6,39,63.4,42,"Other Health,Medicine & Dentistry",/world-university-rankings/northwestern-university
University of Massachusetts,United States,0,University of Massachusetts,528,39,39,master_account,73.0,39,43.4,34,30.1,49,68.9,39,78.2,30,67.1,38,"Medicine & Dentistry,Other Health",/world-university-rankings/university-massachusetts
Kyoto University,Japan,0,Kyoto University,516,40,40,master_account,72.2,44,59.0,16,31.0,47,68.7,40,73.0,35,71.2,32,"Medicine & Dentistry,Other Health",/world-university-rankings/kyoto-university
Vanderbilt University,United States,0,Vanderbilt University,534,41,41,private,89.9,16,51.1,25,30.1,50,68.0,41,59.7,49,60.5,47,"Other Health,Medicine & Dentistry",/world-university-rankings/vanderbilt-university
LMU Munich Ludwig-Maximilians-Universität München,Germany,6,LMU Munich,509,42,42,master_account,79.6,35,44.0,32,57.7,29,67.8,42,64.1,48,61.6,46,"Other Health,Medicine & Dentistry",/world-university-rankings/lmu-munich
Tufts University,United States,0,Tufts University,542,43,43,private,93.2,8,47.3,29,56.5,33,67.7,43,44.5,51,63.4,43,"Other Health,Medicine & Dentistry",/world-university-rankings/tufts-university
UNSW Sydney unsw australia unsw,Australia,6,UNSW Sydney,638,43,43,master_account,70.9,46,79.4,11,83.3,5,67.7,44,69.7,38,56.4,49,"Medicine & Dentistry,Other Health",/world-university-rankings/unsw-sydney
KU Leuven,Belgium,11,KU Leuven,531,45,45,master_account,81.8,29,98.9,4,59.3,25,67.6,45,66.4,43,50.0,51,"Medicine & Dentistry,Other Health",/world-university-rankings/ku-leuven
University of Minnesota,United States,0,University of Minnesota,506,45,45,public,81.1,32,-,50,36.7,45,67.6,46,64.7,47,64.0,41,"Other Health,Medicine & Dentistry",/world-university-rankings/university-minnesota
University of Montreal,Canada,11,University of Montreal,569,47,47,master_account,69.9,47,99.2,3,72.3,11,67.4,47,65.5,46,62.1,45,"Medicine & Dentistry,Other Health",/world-university-rankings/university-montreal
Erasmus University Rotterdam,Netherlands,6,Erasmus University Rotterdam,621,48,48,master_account,60.2,51,51.6,23,57.0,32,67.1,48,81.8,23,65.4,40,Other Health,/world-university-rankings/erasmus-university-rotterdam
Maastricht University,Netherlands,6,Maastricht University,663,49,49,master_account,72.3,43,98.0,6,64.9,19,67.0,49,68.5,40,56.5,48,"Medicine & Dentistry,Other Health",/world-university-rankings/maastricht-university
University of Cape Town UCT,South Africa,6,University of Cape Town,567,50,50,master_account,89.0,19,95.8,8,66.9,17,66.6,50,48.3,50,53.5,50,"Medicine & Dentistry,Other Health",/world-university-rankings/university-cape-town
University of Manchester,United Kingdom,0,University of Manchester,512,50,50,master_account,71.9,45,47.0,30,62.6,20,66.6,51,66.1,44,63.3,44,"Medicine & Dentistry,Other Health",/world-university-rankings/university-manchester
