aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Wageningen University & Research,Netherlands,0,Wageningen University & Research,540,22,22,master_account,63.7,45,99.9,3,80.6,11,77.8,23,87.8,13,83.0,12,"Veterinary Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/wageningen-university-research
University of Edinburgh,United Kingdom,0,University of Edinburgh,500,22,22,master_account,84.7,23,39.5,35,73.7,15,77.8,22,77.6,30,73.9,32,"Veterinary Science,Agriculture & Forestry,Sport Science,Biological Sciences",/world-university-rankings/university-edinburgh
University of Washington,United States,0,University of Washington,489,24,24,public,90.2,14,39.1,36,35.9,44,77.6,24,79.0,26,75.1,30,"Biological Sciences,Sport Science,Agriculture & Forestry",/world-university-rankings/university-washington
"University of California, Davis",United States,0,"University of California, Davis",503,25,25,public,65.7,44,58.1,14,56.9,29,76.5,25,90.5,9,83.2,11,"Veterinary Science,Sport Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-california-davis
University of Toronto,Canada,0,University of Toronto,483,26,26,master_account,76.4,34,46.5,28,61.7,24,76.4,26,86.0,15,73.6,33,"Agriculture & Forestry,Sport Science,Biological Sciences",/world-university-rankings/university-toronto
University of Melbourne UniMelb Australia,Australia,11,University of Melbourne,501,27,27,master_account,67.9,42,60.4,12,71.8,18,75.7,27,82.6,20,81.2,18,"Biological Sciences,Veterinary Science,Agriculture & Forestry",/world-university-rankings/university-melbourne
McGill University,Canada,0,McGill University,492,28,28,master_account,76.1,35,38.5,37,72.1,17,75.0,28,76.9,33,76.0,29,"Agriculture & Forestry,Biological Sciences",/world-university-rankings/mcgill-university
The University of Tokyo,Japan,0,The University of Tokyo,494,29,29,master_account,71.5,37,50.2,22,27.9,49,74.7,29,83.3,17,85.1,10,"Biological Sciences,Agriculture & Forestry,Veterinary Science,Sport Science",/world-university-rankings/university-tokyo
University of Wisconsin-Madison,United States,0,University of Wisconsin-Madison,491,30,30,public,70.7,38,55.0,16,32.3,46,72.9,30,82.8,18,78.5,23,"Agriculture & Forestry,Biological Sciences,Sport Science,Veterinary Science",/world-university-rankings/university-wisconsin-madison
University of Queensland UQ UOQ,Australia,11,University of Queensland,538,31,31,master_account,70.1,40,53.1,18,73.9,14,72.4,31,76.2,35,72.8,34,"Sport Science,Biological Sciences,Veterinary Science,Agriculture & Forestry",/world-university-rankings/university-queensland
Kyoto University,Japan,0,Kyoto University,516,32,32,master_account,69.4,41,71.4,9,28.7,48,70.7,32,77.5,31,76.9,28,"Biological Sciences,Sport Science,Agriculture & Forestry,Veterinary Science",/world-university-rankings/kyoto-university
National University of Singapore nus,Singapore,6,National University of Singapore,504,33,33,master_account,57.4,49,92.4,7,91.0,3,70.2,33,76.7,34,72.2,36,Biological Sciences,/world-university-rankings/national-university-singapore
Uppsala University,Sweden,0,Uppsala University,551,34,34,master_account,59.9,48,31.9,44,56.0,32,69.8,34,79.0,27,80.2,20,Biological Sciences,/world-university-rankings/uppsala-university
University of North Carolina at Chapel Hill,United States,0,University of North Carolina at Chapel Hill,507,35,35,public,85.9,22,44.3,30,47.1,36,69.6,35,64.0,39,62.8,41,"Biological Sciences,Sport Science",/world-university-rankings/university-north-carolina-chapel-hill
Australian National University anu,Australia,0,Australian National University,502,36,36,master_account,63.3,47,35.5,41,86.1,6,69.2,36,71.8,36,72.6,35,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/australian-national-university
LMU Munich Ludwig-Maximilians-Universität München,Germany,6,LMU Munich,509,37,37,master_account,79.3,28,41.5,31,49.3,35,68.5,37,64.4,38,66.8,39,"Biological Sciences,Veterinary Science",/world-university-rankings/lmu-munich
University of Massachusetts,United States,0,University of Massachusetts,528,38,38,master_account,77.2,31,57.1,15,40.3,41,68.2,38,63.2,40,70.5,37,"Biological Sciences,Agriculture & Forestry,Veterinary Science,Sport Science",/world-university-rankings/university-massachusetts
"University of California, Santa Barbara",United States,0,"University of California, Santa Barbara",499,39,39,public,95.9,6,100.0,1,45.2,38,67.3,39,54.4,47,46.7,49,Biological Sciences,/world-university-rankings/university-california-santa-barbara
Boston University,United States,0,Boston University,518,40,40,private,88.3,17,32.1,43,31.9,47,66.8,40,60.9,43,58.1,43,Biological Sciences,/world-university-rankings/boston-university
University of Strasbourg,France,0,University of Strasbourg,684,41,41,master_account,81.1,26,35.3,42,63.8,23,66.5,41,62.0,42,56.0,44,"Veterinary Science,Sport Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-strasbourg
University of Copenhagen,Denmark,0,University of Copenhagen,599,42,42,master_account,74.4,36,38.2,38,74.7,13,66.4,42,62.4,41,60.4,42,"Veterinary Science,Biological Sciences,Agriculture & Forestry,Sport Science",/world-university-rankings/university-copenhagen
Penn State (Main campus)  ,United States,0,Penn State (Main campus)  ,515,43,43,public,86.8,19,50.6,21,37.9,42,65.0,43,57.1,45,54.0,45,"Sport Science,Veterinary Science,Agriculture & Forestry,Biological Sciences",/world-university-rankings/penn-state-main-campus
École Polytechnique Fédérale de Lausanne,Switzerland,0,École Polytechnique Fédérale de Lausanne,510,44,44,master_account,96.5,5,49.7,25,91.5,1,64.8,44,37.6,50,45.9,50,Biological Sciences,/world-university-rankings/ecole-polytechnique-federale-de-lausanne
University of Lausanne,Switzerland,0,University of Lausanne,580,44,44,master_account,91.2,12,59.7,13,90.6,4,64.8,45,41.8,49,47.6,48,"Sport Science,Biological Sciences",/world-university-rankings/university-lausanne
King’s College London,United Kingdom,11,King’s College London,520,46,46,master_account,81.5,25,48.0,26,77.9,12,64.5,46,53.2,48,52.1,46,Biological Sciences,/world-university-rankings/kings-college-london
University of Illinois at Urbana-Champaign,United States,0,University of Illinois at Urbana-Champaign,495,47,47,public,67.3,43,-,50,32.5,45,64.3,47,67.8,37,68.0,38,"Biological Sciences,Agriculture & Forestry,Veterinary Science,Sport Science",/world-university-rankings/university-illinois-urbana-champaign
Ghent University,Belgium,0,Ghent University,570,48,48,master_account,63.6,46,98.4,5,64.1,22,63.1,48,56.8,46,65.1,40,"Biological Sciences,Veterinary Science,Agriculture & Forestry,Sport Science",/world-university-rankings/ghent-university
University of Montreal,Canada,11,University of Montreal,569,49,49,master_account,70.2,39,95.1,6,72.9,16,62.8,49,60.8,44,49.7,47,"Agriculture & Forestry,Biological Sciences,Veterinary Science,Sport Science",/world-university-rankings/university-montreal
University of São Paulo,Brazil,0,University of São Paulo,642,50,50,master_account,45.3,50,30.7,45,27.1,50,62.7,50,82.7,19,77.3,27,"Biological Sciences,Agriculture & Forestry,Sport Science,Veterinary Science",/world-university-rankings/university-sao-paulo
