aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Washington State University,,United States,0,Washington State University,814,351-400,351,public,44.2,375,54.5,120,36.0,332,-,392,27.5,258,28.5,289,"History, Philosophy & Theology,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Computer Science,General Engineering,Accounting & Finance,Business & Management,Art, Performing Arts & Design,Civil Engineering,Mathematics & Statistics,Biological Sciences,Chemical Engineering,Geography,Agriculture & Forestry,Architecture,Sport Science,Education,Politics & International Studies (incl Development Studies),Veterinary Science,Chemistry,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Sociology,Psychology,Archaeology,Languages, Literature & Linguistics,Medicine & Dentistry,Other Health,Economics & Econometrics",/world-university-rankings/washington-state-university
Indian Institute of Technology Roorkee,,India,0,Indian Institute of Technology Roorkee,899,351-400,351,master_account,62.6,247,69.0,79,16.6,401,-,238,14.3,383,25.2,331,"Architecture,General Engineering,Electrical & Electronic Engineering,Biological Sciences,Computer Science,Physics & Astronomy,Business & Management,Mathematics & Statistics,Chemistry,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Civil Engineering,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/indian-institute-technology-roorkee
University of Seoul,,South Korea,0,University of Seoul,1017,351-400,351,master_account,63.3,238,29.1,371,34.3,344,-,360,20.2,335,21.0,367,"Sociology,Politics & International Studies (incl Development Studies),Physics & Astronomy,Computer Science,Sport Science,Economics & Econometrics,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Accounting & Finance,Business & Management,Languages, Literature & Linguistics,Art, Performing Arts & Design,Law,Chemical Engineering,Electrical & Electronic Engineering,Architecture,Mathematics & Statistics,Civil Engineering,General Engineering",/world-university-rankings/university-seoul
Kyushu University,,Japan,0,Kyushu University,131724,351-400,351,master_account,33.6,395,68.7,81,26.1,382,-,244,28.5,239,36.5,178,"Biological Sciences,Mathematics & Statistics,Art, Performing Arts & Design,History, Philosophy & Theology,Chemistry,Law,Business & Management,Computer Science,Economics & Econometrics,Politics & International Studies (incl Development Studies),Archaeology,Geography,Sport Science,Mechanical & Aerospace Engineering,Accounting & Finance,Other Health,Languages, Literature & Linguistics,Sociology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Physics & Astronomy,Medicine & Dentistry,Agriculture & Forestry,Architecture,Chemical Engineering,Communication & Media Studies,Psychology,General Engineering,Education",/world-university-rankings/kyushu-university
Aberystwyth University,,United Kingdom,0,Aberystwyth University,741,351-400,351,master_account,52.2,323,33.0,313,66.5,122,-,204,20.6,328,20.7,369,"Agriculture & Forestry,Computer Science,Accounting & Finance,Education,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Veterinary Science,Law,Electrical & Electronic Engineering,Economics & Econometrics,Geography,Languages, Literature & Linguistics,Physics & Astronomy,Biological Sciences,Sociology,Business & Management,Psychology,Art, Performing Arts & Design,Sport Science,Communication & Media Studies,Mathematics & Statistics",/world-university-rankings/aberystwyth-university
UiT The Arctic University of Norway,,Norway,0,UiT The Arctic University of Norway,764,351-400,351,master_account,53.2,320,38.8,247,60.0,162,-,294,16.9,368,20.7,371,"Physics & Astronomy,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering,Business & Management,Sport Science,Agriculture & Forestry,Biological Sciences,Art, Performing Arts & Design,Psychology,Sociology,Chemistry,Politics & International Studies (incl Development Studies),Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Law,Mathematics & Statistics,Geography,History, Philosophy & Theology,Education,Medicine & Dentistry,Languages, Literature & Linguistics,Archaeology,General Engineering,Computer Science,Economics & Econometrics,Accounting & Finance,Other Health",/world-university-rankings/uit-arctic-university-norway
Ewha Womans University,,South Korea,0,Ewha Womans University,1018,351-400,351,master_account,57.6,284,61.3,97,36.0,330,-,226,18.0,352,23.5,350,"Accounting & Finance,General Engineering,Chemistry,Geology, Environmental, Earth & Marine Sciences,Sport Science,Other Health,Medicine & Dentistry,Architecture,Law,Economics & Econometrics,Chemical Engineering,Physics & Astronomy,Mathematics & Statistics,Computer Science,Electrical & Electronic Engineering,Biological Sciences,Communication & Media Studies,History, Philosophy & Theology,Art, Performing Arts & Design,Education,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Sociology,Business & Management,Psychology",/world-university-rankings/ewha-womans-university
Aston University,,United Kingdom,0,Aston University,816,351-400,351,master_account,45.1,370,35.7,274,79.7,63,-,205,21.6,322,19.4,384,"Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Law,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,General Engineering,Psychology,Art, Performing Arts & Design,Physics & Astronomy,Languages, Literature & Linguistics,Biological Sciences,Politics & International Studies (incl Development Studies),Business & Management,Architecture,Chemistry,Sociology,Accounting & Finance,Education,Medicine & Dentistry,Mathematics & Statistics,Economics & Econometrics,History, Philosophy & Theology,Computer Science,Other Health,Civil Engineering",/world-university-rankings/aston-university
University of Bayreuth,,Germany,0,University of Bayreuth,881,351-400,351,master_account,61.8,254,34.8,284,53.9,210,-,209,12.9,389,21.3,362,"Art, Performing Arts & Design,Chemical Engineering,Mechanical & Aerospace Engineering,Accounting & Finance,History, Philosophy & Theology,Chemistry,Mathematics & Statistics,Education,Biological Sciences,Physics & Astronomy,Economics & Econometrics,Geography,Communication & Media Studies,Sociology,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Law,Sport Science,Computer Science,General Engineering,Business & Management,Languages, Literature & Linguistics",/world-university-rankings/university-bayreuth
King Mongkut’s University of Technology Thonburi,,Thailand,0,King Mongkut’s University of Technology Thonburi,901,351-400,351,master_account,75.0,141,56.5,113,22.5,390,-,241,10.0,398,16.7,395,"Biological Sciences,Chemical Engineering,Education,Accounting & Finance,Business & Management,Civil Engineering,General Engineering,Mechanical & Aerospace Engineering,Mathematics & Statistics,Chemistry,Architecture,Electrical & Electronic Engineering,Physics & Astronomy,Computer Science,Languages, Literature & Linguistics",/world-university-rankings/king-mongkuts-university-technology-thonburi
