aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Federal University of Viçosa,,Brazil,0,Federal University of Viçosa,131785,1001+,10680,master_account,10.6,1163,45.8,393,19.4,1139,9.8–18.9,10680,13.4,836,27.5,508,51 : 49,"17,340",2%,14.6,"Accounting & Finance,Physics & Astronomy,Medicine & Dentistry,Electrical & Electronic Engineering,Other Health,Chemistry,Sport Science,Mathematics & Statistics,Agriculture & Forestry,Education,Chemical Engineering,Law,Geography,Civil Engineering,Architecture,Communication & Media Studies,Sociology,Geology, Environmental, Earth & Marine Sciences,Veterinary Science,Business & Management,Computer Science,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Psychology,Economics & Econometrics,General Engineering,Biological Sciences,Art, Performing Arts & Design",/world-university-rankings/federal-university-vicosa
Feng Chia University,,Taiwan,0,Feng Chia University,911,1001+,10690,master_account,16.6,1044,39.5,620,36.8,751,9.8–18.9,10690,16.7,697,15.3,1118,37 : 63,"19,811",15%,23.3,"Computer Science,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Mechanical & Aerospace Engineering,Chemical Engineering,Business & Management,Mathematics & Statistics,Economics & Econometrics,Civil Engineering,Electrical & Electronic Engineering,General Engineering,Art, Performing Arts & Design,Architecture,Communication & Media Studies,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/feng-chia-university
Fluminense Federal University,,Brazil,0,Fluminense Federal University,131557,1001+,10700,master_account,11.0,1154,34.3,1123,24.6,1007,9.8–18.9,10700,9.6,1072,16.7,1031,49 : 51,"68,410",0%,19.0,"Accounting & Finance,Sociology,Biological Sciences,Communication & Media Studies,Physics & Astronomy,Law,Business & Management,Mathematics & Statistics,Architecture,Veterinary Science,Chemical Engineering,Agriculture & Forestry,Chemistry,Geography,Computer Science,Medicine & Dentistry,General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Economics & Econometrics,Education,Sport Science,Languages, Literature & Linguistics,Psychology,History, Philosophy & Theology,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Other Health",/world-university-rankings/fluminense-federal-university
University of Fukui,,Japan,0,University of Fukui,609312,1001+,10710,master_account,7.2,1206,39.6,614,20.2,1118,9.8–18.9,10710,11.0,985,20.3,812,29 : 71,"4,999",4%,9.2,"Physics & Astronomy,Business & Management,Mathematics & Statistics,Civil Engineering,Accounting & Finance,Computer Science,Medicine & Dentistry,Chemistry,Electrical & Electronic Engineering,Other Health,Education,General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering,Sociology,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics",/world-university-rankings/university-fukui
Universitas Gadjah Mada,,Indonesia,6,Universitas Gadjah Mada,623652,1001+,10720,master_account,12.8,1121,61.2,196,32.9,834,9.8–18.9,10720,10.1,1038,19.6,858,54 : 46,"41,201",1%,10.5,"Archaeology,Agriculture & Forestry,Veterinary Science,Physics & Astronomy,Chemistry,Medicine & Dentistry,Biological Sciences,Civil Engineering,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Law,Architecture,Geography,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Communication & Media Studies,Chemical Engineering,Psychology,Electrical & Electronic Engineering,Other Health,Computer Science,Accounting & Finance,Sociology,Economics & Econometrics,History, Philosophy & Theology,Languages, Literature & Linguistics,Business & Management",/world-university-rankings/universitas-gadjah-mada
Gazi University,,Turkey,0,Gazi University,131307,1001+,10730,master_account,12.9,1119,38.4,691,16.2,1211,9.8–18.9,10730,10.7,1003,19.1,896,49 : 51,"79,733",3%,31.5,"Chemistry,Mathematics & Statistics,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Education,Sport Science,Chemical Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Other Health,General Engineering,Medicine & Dentistry,Computer Science",/world-university-rankings/gazi-university
"G.B. Pant University of Agriculture & Technology, Pantnagar",,India,0,"G.B. Pant University of Agriculture & Technology, Pantnagar",621654,1001+,10740,master_account,5.2,1230,37.8,737,12.7,1258,9.8–18.9,10740,7.5,1222,22.9,702,43 : 57,"4,389",0%,7.5,"Business & Management,Electrical & Electronic Engineering,Computer Science,Other Health",/world-university-rankings/gb-pant-university-agriculture-technology-pantnagar
University of Gdańsk,,Poland,0,University of Gdańsk,626013,1001+,10750,master_account,20.2,986,34.1,1167,28.2,921,9.8–18.9,10750,10.0,1044,14.9,1141,61 : 39,"29,683",2%,17.6,"Business & Management,Chemical Engineering,Art, Performing Arts & Design,Chemistry,Accounting & Finance,Law,Mathematics & Statistics,Education,Psychology,Economics & Econometrics,Biological Sciences,Physics & Astronomy,Geography,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Computer Science,Archaeology,History, Philosophy & Theology,Sociology,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-gdansk
Gdańsk University of Technology,,Poland,0,Gdańsk University of Technology,131337,1001+,10760,master_account,29.1,843,37.7,745,20.0,1123,9.8–18.9,10760,10.5,1017,13.9,1197,40 : 60,"23,017",2%,18.7,"Architecture,Mechanical & Aerospace Engineering,General Engineering,Business & Management,Computer Science,Electrical & Electronic Engineering,Chemical Engineering,Civil Engineering,Biological Sciences,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Physics & Astronomy,Chemistry",/world-university-rankings/gdansk-university-technology
Gifu University,,Japan,0,Gifu University,131324,1001+,10770,master_account,15.3,1065,36.7,829,22.2,1062,9.8–18.9,10770,10.9,989,22.4,717,35 : 65,"7,161",4%,7.9,"Veterinary Science,Agriculture & Forestry,General Engineering,Other Health,Medicine & Dentistry,Chemical Engineering,Education,Civil Engineering,Mechanical & Aerospace Engineering,Economics & Econometrics,Biological Sciences,Electrical & Electronic Engineering",/world-university-rankings/gifu-university
