aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
University of Auckland UOA Auckland University,,New Zealand,11,University of Auckland,637,72,72,master_account,77.8,61,87.1,12,72.5,21,55.1,72,42.5,65,31.1,93,"Other Health,Medicine & Dentistry",/world-university-rankings/university-auckland
Chinese University of Hong Kong CUHK,,Hong Kong,11,Chinese University of Hong Kong,662356,73,73,master_account,67.3,92,69.5,18,51.9,59,54.9,73,44.9,57,48.7,54,"Medicine & Dentistry,Other Health",/world-university-rankings/chinese-university-hong-kong
Ohio State University (Main campus)  ,,United States,0,Ohio State University (Main campus)  ,521,74,74,public,75.9,67,43.2,55,46.5,69,54.6,74,37.6,79,47.7,58,"Medicine & Dentistry,Other Health",/world-university-rankings/ohio-state-university-main-campus
University of Florida,,United States,0,University of Florida,590,75,75,public,75.1,74,-,90,29.1,92,53.2,75,42.8,63,44.5,61,"Other Health,Medicine & Dentistry",/world-university-rankings/university-florida
Utrecht University utrecht  utrecht university,,Netherlands,0,Utrecht University,532,76,76,master_account,75.9,68,-,99,52.1,58,53.1,76,39.2,76,39.2,78,"Medicine & Dentistry,Other Health",/world-university-rankings/utrecht-university
Lund University,,Sweden,0,Lund University,544,77,77,master_account,64.4,96,35.7,72,64.2,38,53.0,77,49.1,52,41.0,73,"Medicine & Dentistry,Other Health",/world-university-rankings/lund-university
Uppsala University,,Sweden,0,Uppsala University,551,77,77,master_account,75.2,71,55.0,34,54.4,51,53.0,78,43.2,61,34.1,86,"Other Health,Medicine & Dentistry",/world-university-rankings/uppsala-university
Yonsei University,,South Korea,0,Yonsei University,714,77,77,master_account,45.9,100,100.0,2,28.4,94,53.0,79,57.2,43,60.0,39,"Medicine & Dentistry,Other Health",/world-university-rankings/yonsei-university
Ghent University,,Belgium,0,Ghent University,570,80,80,master_account,75.5,70,89.2,10,47.7,66,52.9,80,35.7,84,39.2,77,"Medicine & Dentistry,Other Health",/world-university-rankings/ghent-university
University of Cincinnati,,United States,0,University of Cincinnati,672,81,81,public,84.8,43,-,88,28.6,93,52.3,81,32.9,90,38.7,79,"Other Health,Medicine & Dentistry",/world-university-rankings/university-cincinnati
University of Leeds,,United Kingdom,0,University of Leeds,597,82,82,master_account,78.1,59,43.0,57,60.1,45,51.5,82,35.6,85,32.2,92,"Other Health,Medicine & Dentistry",/world-university-rankings/university-leeds
University of Miami,,United States,0,University of Miami,636,83,83,private,74.2,78,-,92,32.5,89,51.4,84,37.5,80,42.8,66,"Other Health,Medicine & Dentistry",/world-university-rankings/university-miami
University of Gothenburg,,Sweden,0,University of Gothenburg,676,83,83,master_account,79.1,58,43.4,53,51.6,60,51.4,83,39.4,75,28.9,96,"Other Health,Medicine & Dentistry",/world-university-rankings/university-gothenburg
University of Sheffield united kingdom UK Sheffield,https://timeshighereducation.studygroup.com?utm_campaign=the&uid=i-51616042,United Kingdom,11,University of Sheffield,565,85,85,master_account,80.3,54,39.8,63,63.7,40,51.0,85,31.8,95,30.6,94,"Medicine & Dentistry,Other Health",/world-university-rankings/university-sheffield
University of Alberta,,Canada,0,University of Alberta,564,86,86,master_account,75.7,69,-,84,50.9,62,50.9,86,33.7,88,37.5,81,"Other Health,Medicine & Dentistry",/world-university-rankings/university-alberta
University of Western Australia uwa,,Australia,0,University of Western Australia,654,87,87,master_account,67.3,93,52.0,36,86.5,4,50.8,87,33.1,89,37.8,80,"Medicine & Dentistry,Other Health",/world-university-rankings/university-western-australia
Radboud University Nijmegen,,Netherlands,6,Radboud University Nijmegen,624,88,88,master_account,69.2,88,45.2,49,52.3,56,50.6,88,43.1,62,34.4,85,"Other Health,Medicine & Dentistry",/world-university-rankings/radboud-university-nijmegen
University of Utah,,United States,0,University of Utah,577,89,89,public,79.2,57,63.6,24,27.2,97,50.3,89,32.7,92,36.2,83,"Medicine & Dentistry,Other Health",/world-university-rankings/university-utah
University of Barcelona,,Spain,6,University of Barcelona,667,90,90,master_account,86.2,36,33.4,74,42.9,78,50.1,90,31.0,96,26.8,99,"Medicine & Dentistry,Other Health",/world-university-rankings/university-barcelona
University of Otago,,New Zealand,1,University of Otago,682,91,91,master_account,66.8,94,41.9,60,91.1,2,49.7,91,34.1,87,32.8,90,"Medicine & Dentistry,Other Health",/world-university-rankings/university-otago
Aarhus University,,Denmark,0,Aarhus University,589,92,92,master_account,73.1,79,77.3,15,65.8,31,49.6,92,32.2,94,30.3,95,"Medicine & Dentistry,Other Health",/world-university-rankings/aarhus-university
Queen’s University,,Canada,0,Queen’s University,639,93,93,master_account,69.6,85,86.0,13,51.2,61,49.5,93,27.5,98,42.1,68,"Medicine & Dentistry,Other Health",/world-university-rankings/queens-university
University of Adelaide Adelaide University,,Australia,0,University of Adelaide,665,93,93,master_account,63.3,98,61.4,26,64.1,39,49.5,94,41.8,66,34.5,84,"Other Health,Medicine & Dentistry",/world-university-rankings/university-adelaide
University of Helsinki,,Finland,11,University of Helsinki,555,95,95,master_account,71.9,83,35.9,71,52.3,57,49.3,95,37.4,81,32.9,89,"Medicine & Dentistry,Other Health",/world-university-rankings/university-helsinki
Goethe University Frankfurt,,Germany,0,Goethe University Frankfurt,645,96,96,master_account,92.4,15,44.8,50,49.3,65,49.0,96,21.2,100,22.0,100,Medicine & Dentistry,/world-university-rankings/goethe-university-frankfurt
University of Bern,,Switzerland,0,University of Bern,576,96,96,master_account,66.2,95,51.8,37,83.2,10,49.0,97,24.8,99,41.6,70,"Other Health,Medicine & Dentistry",/world-university-rankings/university-bern
Osaka University,,Japan,0,Osaka University,583,98,98,master_account,64.0,97,56.1,31,25.6,99,48.9,98,40.8,72,43.4,65,"Medicine & Dentistry,Other Health",/world-university-rankings/osaka-university
Cardiff University,,United Kingdom,0,Cardiff University,671,99,99,master_account,74.9,76,38.0,67,65.9,29,48.8,99,32.6,93,28.1,97,"Medicine & Dentistry,Other Health",/world-university-rankings/cardiff-university
University of Groningen,,Netherlands,11,University of Groningen,598,99,99,master_account,71.8,84,99.3,5,39.5,84,48.8,100,32.7,91,33.3,88,Medicine & Dentistry,/world-university-rankings/university-groningen
