Subject rank,Overall rank,University,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score
11,17,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of york', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3750/university-of-york"">University of York</a>",83.20%,89.60%,41.90%,477,73.30%,91.2
12,4,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : durham university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3659/durham-university"">Durham University</a>",75.50%,84.00%,32.90%,547,80.10%,90.9
13,32,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of manchester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3703/university-of-manchester"">University of Manchester</a>",82.90%,87.90%,38.30%,460,77.00%,90.7
14,9=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of exeter', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3666/university-of-exeter"">University of Exeter</a>",84.30%,90.20%,39.70%,457,72.00%,90.4
15,28,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of dundee', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3658/university-of-dundee"">University of Dundee</a>",85.10%,87.70%,55.40%,446,62.10%,90.2
16,16,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of birmingham', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3633/university-of-birmingham"">University of Birmingham</a>",82.50%,85.40%,38.10%,418,80.80%,89.9
17,37=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of edinburgh', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3663/university-of-edinburgh"">University of Edinburgh</a>",73.00%,83.10%,62.90%,503,61.80%,89.8
18,13,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of leeds', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3692/university-of-leeds"">University of Leeds</a>",79.00%,87.80%,40.90%,429,78.20%,89.7
19,9=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : lancaster university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3683/lancaster-university"">Lancaster University</a>",78.50%,85.60%,46.50%,411,78.00%,89.6
20,48,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of strathclyde', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3735/university-of-strathclyde"">University of Strathclyde</a>",77.60%,85.30%,52.20%,450,68.70%,89.4
21,19,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of bristol', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3640/university-of-bristol"">University of Bristol</a>",75.70%,84.60%,46.80%,465,70.80%,89
22,26,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : queen's university, belfast', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3720/queens-university-belfast"">Queen's University, Belfast</a>",83.50%,91.10%,47.30%,375,69.00%,88.7
23,12,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of bath', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3630/university-of-bath"">University of Bath</a>",77.50%,83.60%,31.50%,457,79.00%,88.5
24,29,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of glasgow', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3668/university-of-glasgow"">University of Glasgow</a>",79.30%,83.40%,33.40%,499,69.50%,88.3
25=,44=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of aberdeen', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3623/university-of-aberdeen"">University of Aberdeen</a>",84.20%,88.60%,34.70%,431,68.60%,88.1
25=,23,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of kent', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3681/university-of-kent"">University of Kent</a>",85.20%,90.20%,39.10%,352,73.80%,88.1
27,15,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of east anglia', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3660/university-of-east-anglia"">University of East Anglia</a>",81.70%,89.00%,38.80%,411,69.70%,88
28,44=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : swansea university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3740/swansea-university"">Swansea University</a>",83.50%,88.40%,38.60%,331,77.50%,87.6
29,21,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of southampton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3731/university-of-southampton"">University of Southampton</a>",80.90%,90.80%,34.20%,398,71.00%,87.3
30,33,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : aston university birmingham', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3628/aston-university-birmingham"">Aston University Birmingham</a>",79.40%,87.10%,39.10%,372,72.60%,86.8
31,25,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of leicester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3686/university-of-leicester"">University of Leicester</a>",79.40%,86.80%,36.50%,390,71.30%,86.7
32,20,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of nottingham', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3711/university-of-nottingham"">University of Nottingham</a>",81.70%,85.70%,26.50%,418,72.80%,86.6
33,39,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of liverpool', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3688/university-of-liverpool"">University of Liverpool</a>",82.70%,84.80%,33.90%,405,67.00%,86.2
34,22,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : newcastle university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3706/newcastle-university"">Newcastle University</a>",80.50%,84.00%,28.40%,404,71.80%,85.8
35,54=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : brunel university london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3641/brunel-university-london"">Brunel University London</a>",87.80%,93.30%,18.20%,345,70.60%,85.2
36,43,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of stirling', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3734/university-of-stirling"">University of Stirling</a>",78.70%,83.60%,49.00%,396,56.20%,85
37,57,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : nottingham trent university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3712/nottingham-trent-university"">Nottingham Trent University</a>",88.60%,90.50%,24.10%,313,69.80%,84.9
38,34,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : royal holloway, university of london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3696/royal-holloway-university-of-london"">Royal Holloway, University of London</a>",83.30%,84.80%,25.70%,391,66.90%,84.8
39,46,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : cardiff university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3646/cardiff-university"">Cardiff University</a>",73.50%,84.00%,33.30%,397,65.70%,83.8
40,37=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : heriot-watt university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3674/heriot-watt-university"">Heriot-Watt University</a>",72.70%,75.30%,26.30%,380,78.70%,83.6
41,42,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : keele university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3680/keele-university"">Keele University</a>",84.80%,87.90%,16.50%,360,67.10%,83.4
42,69,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : oxford brookes university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3715/oxford-brookes-university"">Oxford Brookes University</a>",81.90%,88.60%,21.30%,323,70.10%,83.3
43,70,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : st george's, university of london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3698/st-georges-university-of-london"">St George's, University of London</a>",70.30%,75.40%,20.00%,409,78.90%,83.1
44=,31,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of reading', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3721/university-of-reading"">University of Reading</a>",80.50%,87.10%,26.60%,360,61.20%,82.8
44=,40,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : queen mary, university of london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3695/queen-mary-university-of-london"">Queen Mary, University of London</a>",66.90%,75.60%,26.10%,421,74.70%,82.8
46,59,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of portsmouth', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3718/university-of-portsmouth"">University of Portsmouth</a>",81.40%,84.30%,24.30%,317,69.70%,82.7
47,56,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : aberystwyth university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3625/aberystwyth-university"">Aberystwyth University</a>",82.60%,86.00%,38.20%,298,56.00%,82
48,101=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of central lancashire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3648/university-of-central-lancashire"">University of Central Lancashire</a>",82.00%,81.10%,8.30%,347,74.00%,81.9
49,75,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : bath spa university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3631/bath-spa-university"">Bath Spa University</a>",89.80%,88.50%,n/a,310,70.90%,81.6
50,61,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : bangor university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3629/bangor-university"">Bangor University</a>",77.90%,83.60%,31.50%,374,54.60%,81.5
51=,99,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : glasgow caledonian university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3669/glasgow-caledonian-university"">Glasgow Caledonian University</a>",78.50%,81.10%,8.10%,395,68.60%,81.4
51=,76,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of bradford', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3638/university-of-bradford"">University of Bradford</a>",78.30%,86.20%,9.50%,301,77.20%,81.4
53,51,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of lincoln', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3687/university-of-lincoln"">University of Lincoln</a>",93.60%,95.10%,n/a,334,57.10%,81.2
54,93=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : edinburgh napier university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3664/edinburgh-napier-university"">Edinburgh Napier University</a>",80.40%,81.40%,8.90%,376,65.70%,80.8
55,106,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of the west of scotland', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3745/university-of-the-west-of-scotland"">University of the West of Scotland</a>",85.40%,90.00%,29.00%,333,45.90%,80.7
56=,79,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : sheffield hallam university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3729/sheffield-hallam-university"">Sheffield Hallam University</a>",80.30%,86.90%,10.40%,299,70.30%,80.6
56=,65=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of hull', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3678/university-of-hull"">University of Hull</a>",74.40%,82.20%,31.70%,336,59.30%,80.6
58=,58,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : edge hill university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3662/edge-hill-university"">Edge Hill University</a>",85.80%,91.70%,6.20%,309,62.30%,80.4
58=,77,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of huddersfield', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3677/university-of-huddersfield"">University of Huddersfield</a>",78.50%,83.70%,7.80%,310,73.50%,80.4
58=,30,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of essex', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3665/university-of-essex"">University of Essex</a>",81.00%,85.60%,17.80%,313,62.10%,80.4
61,80,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : plymouth university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3716/plymouth-university"">Plymouth University</a>",85.10%,83.30%,17.40%,341,55.90%,80.3
62,65=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : northumbria university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3709/northumbria-university"">Northumbria University</a>",74.60%,83.40%,14.00%,345,67.70%,80.2
63=,85,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : abertay university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3624/abertay-university"">Abertay University</a>",80.20%,83.10%,4.30%,343,68.10%,80
63=,49,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : liverpool hope university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3689/liverpool-hope-university"">Liverpool Hope University</a>",89.20%,86.20%,n/a,271,70.30%,80
65=,86=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : robert gordon university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3722/robert-gordon-university"">Robert Gordon University</a>",71.40%,70.60%,4.90%,395,75.00%,79.4
65=,101=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : teesside university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3741/teesside-university"">Teesside University</a>",84.60%,88.40%,n/a,296,66.70%,79.4
67,60,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of the west of england', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3744/university-of-the-west-of-england"">University of the West of England</a>",86.80%,88.30%,8.20%,307,56.10%,79.2
68,68,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : ulster university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3742/ulster-university"">Ulster University</a>",82.80%,92.30%,n/a,289,64.50%,79
69,91,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of hertfordshire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3675/university-of-hertfordshire"">University of Hertfordshire</a>",73.00%,78.20%,10.90%,277,77.10%,78.8
70,90,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of worcester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3749/university-of-worcester"">University of Worcester</a>",83.90%,82.90%,10.90%,276,62.70%,78.7
71,72=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : manchester metropolitan university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3704/manchester-metropolitan-university"">Manchester Metropolitan University</a>",78.80%,81.30%,12.00%,346,56.60%,78.4
72,47,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : coventry university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3652/coventry-university"">Coventry University</a>",85.60%,86.40%,4.50%,256,61.10%,77.8
73,121,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of bedfordshire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3632/university-of-bedfordshire"">University of Bedfordshire</a>",80.50%,84.20%,25.10%,236,54.00%,77.5
74,100,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of sunderland', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3737/university-of-sunderland"">University of Sunderland</a>",78.50%,82.00%,7.50%,236,69.20%,77.3
75,89,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : cardiff metropolitan university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3647/cardiff-metropolitan-university"">Cardiff Metropolitan University</a>",69.70%,74.00%,n/a,272,82.30%,77
76,71,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of gloucestershire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3670/university-of-gloucestershire"">University of Gloucestershire</a>",89.40%,90.60%,14.50%,286,37.70%,76.7
77=,122,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : kingston university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3682/kingston-university"">Kingston University</a>",78.80%,84.70%,2.60%,272,61.30%,76.5
77=,92,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : staffordshire university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3733/staffordshire-university"">Staffordshire University</a>",85.30%,88.30%,n/a,267,55.10%,76.5
77=,101=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : queen margaret university edinburgh', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3719/queen-margaret-university-edinburgh"">Queen Margaret University Edinburgh</a>",80.70%,85.80%,n/a,316,54.50%,76.5
80,115,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of south wales', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3730/university-of-south-wales"">University of South Wales</a>",76.70%,81.60%,n/a,327,59.60%,76.4
81,83,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of derby', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3657/university-of-derby"">University of Derby</a>",86.00%,89.30%,1.60%,302,46.70%,76.3
82=,98,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of salford', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3727/university-of-salford"">University of Salford</a>",79.40%,83.60%,12.70%,323,46.10%,76.2
82=,112=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : leeds beckett university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3684/leeds-beckett-university"">Leeds Beckett University</a>",72.70%,80.00%,3.50%,272,68.30%,76.2
82=,86=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : liverpool john moores university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3690/liverpool-john-moores-university"">Liverpool John Moores University</a>",79.00%,82.30%,15.10%,344,42.50%,76.2
85,107,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of greenwich', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3671/university-of-greenwich"">University of Greenwich</a>",70.40%,85.80%,7.40%,305,58.90%,76.1
86,124,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of bolton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3636/university-of-bolton"">University of Bolton</a>",80.80%,82.00%,n/a,218,67.40%,75.9
87,104,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of brighton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3639/university-of-brighton"">University of Brighton</a>",73.00%,81.80%,4.80%,288,60.50%,75.5
88,74,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : middlesex university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3705/middlesex-university"">Middlesex University</a>",62.40%,85.10%,10.00%,271,66.70%,75.4
