Subject rank,Overall rank,University,Teaching quality,Student experience,Research rating,Entry points,Graduate prospects,Total score
11,15,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of east anglia', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3660/university-of-east-anglia"">University of East Anglia</a>",81.00%,83.60%,43.80%,417,62.40%,92.3
12=,40,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : queen mary, university of london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3695/queen-mary-university-of-london"">Queen Mary, University of London</a>",88.10%,88.00%,35.10%,419,56.60%,92
12=,18,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of sussex', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3739/university-of-sussex"">University of Sussex</a>",74.90%,81.80%,43.60%,353,82.60%,92
14,43,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of stirling', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3734/university-of-stirling"">University of Stirling</a>",86.40%,87.20%,36.00%,409,56.70%,91.3
15,54=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : goldsmiths, university of london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3691/goldsmiths-university-of-london"">Goldsmiths, University of London</a>",78.00%,77.60%,60.00%,392,56.10%,91.1
16,26,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : queen's university, belfast', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3720/queens-university-belfast"">Queen's University, Belfast</a>",91.20%,96.60%,38.30%,347*,49.80%,89.7
17,50,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : city, university of london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3651/city-university-of-london"">City, University of London</a>",77.10%,79.10%,30.10%,409,67.60%,89.6
18,21,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of southampton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3731/university-of-southampton"">University of Southampton</a>",84.00%,86.10%,42.70%,370,50.00%,88.6
19,42,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : keele university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3680/keele-university"">Keele University</a>",82.60%,84.00%,25.00%,347,68.90%,88.2
20,9=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of exeter', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3666/university-of-exeter"">University of Exeter</a>",99.10%,88.00%,n/a,429,47.7%*,87.9
21,48,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of strathclyde', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3735/university-of-strathclyde"">University of Strathclyde</a>",78.10%,81.80%,39.40%,442,40.00%,87.4
22,14,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of surrey', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3738/university-of-surrey"">University of Surrey</a>",68.00%,74.80%,30.20%,399,68.40%,86.8
23,39,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of liverpool', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3688/university-of-liverpool"">University of Liverpool</a>",81.90%,85.00%,27.50%,363,56.50%,86.7
24,34,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : royal holloway, university of london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3696/royal-holloway-university-of-london"">Royal Holloway, University of London</a>",76.80%,74.10%,38.10%,383,52.40%,86
25,44=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : swansea university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3740/swansea-university"">Swansea University</a>",88.80%,90.70%,18.50%,304,59.60%,85.6
26,98,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of salford', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3727/university-of-salford"">University of Salford</a>",77.00%,77.20%,36.90%,369,51.10%,85.3
27,99,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : glasgow caledonian university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3669/glasgow-caledonian-university"">Glasgow Caledonian University</a>",72.30%,75.90%,15.20%,404,62.90%,84.8
28=,67,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : de montfort university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3656/de-montfort-university"">De Montfort University</a>",80.40%,82.50%,31.20%,273,66.20%,84.7
28=,86=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : robert gordon university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3722/robert-gordon-university"">Robert Gordon University</a>",75.70%,74.20%,7.50%,371,72.50%,84.7
30,49,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : liverpool hope university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3689/liverpool-hope-university"">Liverpool Hope University</a>",94.20%,93.30%,n/a,269,68.50%,84.6
31=,112=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : leeds beckett university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3684/leeds-beckett-university"">Leeds Beckett University</a>",87.70%,91.50%,11.00%,286,64.30%,84.5
31=,47,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : coventry university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3652/coventry-university"">Coventry University</a>",87.00%,87.30%,18.10%,292,61.00%,84.5
31=,69,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : oxford brookes university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3715/oxford-brookes-university"">Oxford Brookes University</a>",83.00%,86.80%,25.30%,333,51.40%,84.5
34=,117,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of westminster', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3747/university-of-westminster"">University of Westminster</a>",74.10%,80.20%,28.30%,351,58.30%,84.4
34=,65=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : northumbria university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3709/northumbria-university"">Northumbria University</a>",81.50%,83.80%,22.20%,354,51.80%,84.4
34=,51,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of lincoln', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3687/university-of-lincoln"">University of Lincoln</a>",80.40%,83.50%,4.00%,348,68.30%,84.4
37,86=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : liverpool john moores university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3690/liverpool-john-moores-university"">Liverpool John Moores University</a>",86.90%,89.90%,6.20%,332,58.40%,84.3
38,61,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : bangor university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3629/bangor-university"">Bangor University</a>",88.20%,89.70%,24.70%,319,45.80%,84.2
39,57,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : nottingham trent university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3712/nottingham-trent-university"">Nottingham Trent University</a>",82.90%,86.50%,10.00%,291,69.60%,84
40,62,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : bournemouth university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3637/bournemouth-university"">Bournemouth University</a>",74.30%,79.70%,15.10%,347,65.00%,83.6
41,54=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : brunel university london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3641/brunel-university-london"">Brunel University London</a>",80.00%,77.10%,23.00%,322,59.30%,83.5
42,78,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of roehampton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3723/university-of-roehampton"">University of Roehampton</a>",84.80%,87.80%,26.40%,248,60.40%,83.4
43,52,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : falmouth university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3667/falmouth-university"">Falmouth University</a>",80.70%,80.90%,n/a,289,75.30%,82.4
44,59,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of portsmouth', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3718/university-of-portsmouth"">University of Portsmouth</a>",83.60%,83.00%,12.80%,301,57.90%,82.2
45,100,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of sunderland', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3737/university-of-sunderland"">University of Sunderland</a>",80.00%,82.10%,13.00%,303,60.50%,82
46,93=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : edinburgh napier university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3664/edinburgh-napier-university"">Edinburgh Napier University</a>",77.00%,75.20%,9.50%,377,53.20%,81.8
47=,68,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : ulster university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3742/ulster-university"">Ulster University</a>",78.60%,83.00%,34.00%,293,45.10%,81.4
47=,60,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of the west of england', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3744/university-of-the-west-of-england"">University of the West of England</a>",84.00%,86.10%,18.60%,286,50.40%,81.4
49,122,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : kingston university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3682/kingston-university"">Kingston University</a>",81.40%,84.30%,15.70%,299,49.70%,80.6
50,93=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : birmingham city university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3634/birmingham-city-university"">Birmingham City University</a>",73.50%,74.80%,6.00%,336,62.40%,80.5
51,108,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : anglia ruskin university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3626/anglia-ruskin-university"">Anglia Ruskin University</a>",87.90%,90.30%,26.40%,244,41.10%,80.3
52,77,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of huddersfield', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3677/university-of-huddersfield"">University of Huddersfield</a>",78.90%,79.40%,n/a,301,64.30%,80.2
53,110=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : southampton solent university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3732/southampton-solent-university"">Southampton Solent University</a>",82.80%,86.50%,0.80%,274,56.80%,79.3
54,72=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : manchester metropolitan university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3704/manchester-metropolitan-university"">Manchester Metropolitan University</a>",67.60%,66.10%,29.00%,328,51.80%,79.1
55=,53,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university for the creative arts', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3653/university-for-the-creative-arts"">University for the Creative Arts</a>",84.60%,84.40%,3.40%,267,52.70%,78.7
55=,101=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : queen margaret university edinburgh', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3719/queen-margaret-university-edinburgh"">Queen Margaret University Edinburgh</a>",76.30%,77.90%,14.00%,343,41.50%,78.7
55=,106,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of the west of scotland', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3745/university-of-the-west-of-scotland"">University of the West of Scotland</a>",75.60%,72.70%,11.30%,320,51.90%,78.7
58,56,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : aberystwyth university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3625/aberystwyth-university"">Aberystwyth University</a>",82.90%,86.70%,9.20%,297,42.00%,78.6
59=,104,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of brighton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3639/university-of-brighton"">University of Brighton</a>",78.20%,81.70%,16.20%,278,48.50%,78.5
59=,74,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : middlesex university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3705/middlesex-university"">Middlesex University</a>",73.20%,74.90%,11.00%,288,59.30%,78.5
61=,105,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of st mark & st john, plymouth', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3717/university-of-st-mark-st-john-plymouth"">University of St Mark & St John, Plymouth</a>",88.90%,90.40%,n/a,344,27.70%,78.2
61=,72=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of winchester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3748/university-of-winchester"">University of Winchester</a>",71.60%,73.90%,15.80%,295,55.10%,78.2
63=,92,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : staffordshire university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3733/staffordshire-university"">Staffordshire University</a>",79.30%,81.70%,6.70%,260,55.10%,77.9
63=,110=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : york st john university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3751/york-st-john-university"">York St John University</a>",83.50%,77.60%,4.40%,281,50.00%,77.9
65,75,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : bath spa university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3631/bath-spa-university"">Bath Spa University</a>",71.80%,70.70%,13.90%,306,54.30%,77.8
66,83,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of derby', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3657/university-of-derby"">University of Derby</a>",79.60%,79.90%,13.50%,278,45.40%,77.6
67=,79,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : sheffield hallam university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3729/sheffield-hallam-university"">Sheffield Hallam University</a>",72.10%,78.40%,14.40%,293,49.30%,77.4
67=,119,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of cumbria', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3654/university-of-cumbria"">University of Cumbria</a>",97.10%,92.70%,n/a,253,33.30%,77.4
69,96,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : leeds trinity university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3685/leeds-trinity-university"">Leeds Trinity University</a>",76.50%,75.40%,3.90%,270,58.90%,77.3
70,76,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of bradford', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3638/university-of-bradford"">University of Bradford</a>",70.00%,74.20%,n/a,282,66.40%,77.2
71,101=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of central lancashire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3648/university-of-central-lancashire"">University of Central Lancashire</a>",66.30%,74.10%,7.90%,317,55.90%,76.9
72,114,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : canterbury christ church university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3645/canterbury-christ-church-university"">Canterbury Christ Church University</a>",81.10%,79.00%,7.30%,245,51.60%,76.7
73,120,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : london south bank university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3701/london-south-bank-university"">London South Bank University</a>",87.20%,82.30%,12.80%,234,40.40%,76.6
74,123,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of east london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3661/university-of-east-london"">University of East London</a>",86.30%,81.30%,13.90%,236,39.10%,76.2
75,65=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of hull', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3678/university-of-hull"">University of Hull</a>",72.30%,69.20%,11.20%,342,39.70%,76
76,81,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of chester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3649/university-of-chester"">University of Chester</a>",76.50%,79.10%,4.30%,271,47.60%,75.6
77,58,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : edge hill university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3662/edge-hill-university"">Edge Hill University</a>",74.50%,75.20%,10.20%,301,39.90%,75.4
78,118,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : buckinghamshire new university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3643/buckinghamshire-new-university"">Buckinghamshire New University</a>",78.60%,77.90%,n/a,256,50.70%,75.2
79,109,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of the arts london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3627/university-of-the-arts-london"">University of the Arts London</a>",69.20%,68.20%,n/a,268,61.30%,74.7
80,71,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of gloucestershire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3670/university-of-gloucestershire"">University of Gloucestershire</a>",69.00%,67.60%,9.30%,295,47.60%,74.4
81,90,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of worcester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3749/university-of-worcester"">University of Worcester</a>",75.00%,74.60%,8.20%,257,45.70%,74.3
82,82,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of chichester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3650/university-of-chichester"">University of Chichester</a>",75.90%,80.30%,n/a,287,40.60%,74.2
83=,125,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : wrexham glyndwr university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3672/wrexham-glyndwr-university"">Wrexham Glyndwr University</a>",71.30%,71.90%,7.80%,251,51.30%,74
83=,116,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : st mary's university, twickenham', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3726/st-marys-university-twickenham"">St Mary's University, Twickenham</a>",68.70%,72.00%,9.10%,284,45.80%,74
85,121,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of bedfordshire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3632/university-of-bedfordshire"">University of Bedfordshire</a>",80.80%,80.50%,8.20%,229,39.00%,73.8
86=,101=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : teesside university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3741/teesside-university"">Teesside University</a>",78.90%,75.60%,2.90%,239,44.60%,73.5
86=,84,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of west london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3746/university-of-west-london"">University of West London</a>",65.50%,70.70%,4.50%,280,52.20%,73.5
88,127,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : london metropolitan university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3700/london-metropolitan-university"">London Metropolitan University</a>",68.80%,65.20%,5.90%,243,56.60%,73.1
