Subject rank,Overall rank,University,Teaching quality,Student experience,Research quality,Entry points,Graduate prospects,Total score
47,90,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of brighton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3508/university-of-brighton"">University of Brighton</a>",73.3%,73.1%,4.8%,367,98.4%,92.2
48,119,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of cumbria', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3522/university-of-cumbria"">University of Cumbria</a>",82.6%,80.3%,0.7%,319,98.0%,92.0
49,114,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : leeds beckett university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3551/leeds-beckett-university"">Leeds Beckett University</a>",84.8%,86.7%,3.5%,306,96.3%,91.6
50,84,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of derby', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3524/university-of-derby"">University of Derby</a>",75.3%,80.8%,n/a,318,98.8%,91.5
51,98,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of salford', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3589/university-of-salford"">University of Salford</a>",76.3%,78.3%,3.8%,372,95.6%,91.4
52=,-,"Kingston/St George's, London",77.5%,80.3%,2.6%,286,99.2%,91.2
52=,62=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of lincoln', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3554/university-of-lincoln"">University of Lincoln</a>",69.9%,74.4%,22.6%,321,97.0%,91.2
54=,37,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of dundee', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3525/university-of-dundee"">University of Dundee</a>",82.1%,83.6%,22.1%,246,96.7%,91.1
54=,121,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of west london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3602/university-of-west-london"">University of West London</a>",81.8%,81.8%,2.5%,282,98.0%,91.1
56=,82=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of northampton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3573/university-of-northampton"">University of Northampton</a>",78.5%,77.9%,1.6%,297,98.4%,91.0
56=,107,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : canterbury christ church university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3514/canterbury-christ-church-university"">Canterbury Christ Church University</a>",79.6%,82.5%,2.2%,309,96.9%,91.0
