aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Eindhoven University of Technology,,Netherlands,6,Eindhoven University of Technology,579,201–250,2130,master_account,72.2,45,51.5,103,77.4,59,29.0–32.2,2130,20.6,218,16.3,387,,"8,917",19%,20.7,Architecture,/world-university-rankings/eindhoven-university-technology
University of Essex,,United Kingdom,0,University of Essex,674,201–250,2140,master_account,67.0,97,34.7,476,89.5,20,29.0–32.2,2140,12.4,350,21.3,294,54 : 46,"11,923",39%,16.1,"Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/university-essex
Flinders University,,Australia,6,Flinders University,823,201–250,2150,master_account,55.1,259,36.3,298,77.1,62,29.0–32.2,2150,15.8,285,24.5,243,64 : 36,"16,844",34%,25.8,"Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/flinders-university
University of Graz,,Austria,0,University of Graz,721,201–250,2160,master_account,82.8,3,34.9,408,72.0,95,29.0–32.2,2160,16.0,283,20.1,313,65 : 35,"20,312",13%,21.9,"History, Philosophy & Theology,Art, Performing Arts & Design,Archaeology,Languages, Literature & Linguistics",/world-university-rankings/university-graz
University of Haifa,,Israel,0,University of Haifa,131280,201–250,2170,master_account,51.3,311,36.3,299,27.0,408,29.0–32.2,2170,24.2,177,25.9,225,66 : 34,"16,164",2%,21.0,"History, Philosophy & Theology,Archaeology,Art, Performing Arts & Design,Languages, Literature & Linguistics",/world-university-rankings/university-haifa
University of Jyväskylä,,Finland,0,University of Jyväskylä,900,201–250,2180,master_account,69.9,70,35.5,340,42.8,292,29.0–32.2,2180,21.9,198,25.0,236,61 : 39,"10,200",5%,15.0,"Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/university-jyvaskyla
Korea University,,South Korea,6,Korea University,702,201–250,2190,master_account,56.3,244,89.5,31,77.7,58,29.0–32.2,2190,13.4,330,23.2,269,,"22,965",22%,16.0,"History, Philosophy & Theology,Art, Performing Arts & Design,Languages, Literature & Linguistics,Archaeology,Architecture",/world-university-rankings/korea-university
Université Libre de Bruxelles,,Belgium,0,Université Libre de Bruxelles,669,201–250,2200,master_account,38.4,455,50.3,107,76.1,68,29.0–32.2,2200,25.8,166,24.5,244,56 : 44,"27,194",34%,36.2,"Architecture,Art, Performing Arts & Design,History, Philosophy & Theology,Archaeology,Languages, Literature & Linguistics",/world-university-rankings/universite-libre-de-bruxelles
University of Mannheim,,Germany,0,University of Mannheim,131813,201–250,2210,master_account,70.8,60,49.7,110,38.6,322,29.0–32.2,2210,17.3,262,23.3,268,56 : 44,"10,730",18%,79.9,"Languages, Literature & Linguistics,History, Philosophy & Theology",/world-university-rankings/university-mannheim
McMaster University,,Canada,11,McMaster University,529,201–250,2220,master_account,58.0,219,54.7,85,64.0,147,29.0–32.2,2220,21.6,204,23.8,257,55 : 45,"24,412",17%,28.1,"Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics,Archaeology",/world-university-rankings/mcmaster-university
Nagoya University,,Japan,0,Nagoya University,679,201–250,2230,master_account,50.4,323,39.7,203,59.0,181,29.0–32.2,2230,16.3,278,28.9,186,30 : 70,"15,676",11%,9.2,"Architecture,History, Philosophy & Theology,Languages, Literature & Linguistics,Archaeology",/world-university-rankings/nagoya-university
National Taiwan Normal University ntnu,,Taiwan,1,National Taiwan Normal University,932,201–250,2240,master_account,46.4,378,100.0,7,62.9,151,29.0–32.2,2240,18.4,245,27.5,201,,"10,789",24%,12.1,"History, Philosophy & Theology,Art, Performing Arts & Design,Languages, Literature & Linguistics",/world-university-rankings/national-taiwan-normal-university
University of Navarra,,Spain,1,University of Navarra,967,201–250,2250,master_account,38.0,462,36.3,301,41.2,304,29.0–32.2,2250,19.3,236,33.2,151,53 : 47,"10,833",22%,13.0,"History, Philosophy & Theology,Art, Performing Arts & Design,Architecture,Languages, Literature & Linguistics",/world-university-rankings/university-navarra
NOVA University of Lisbon,,Portugal,0,NOVA University of Lisbon,846,201–250,2260,master_account,43.9,404,45.7,137,51.2,239,29.0–32.2,2260,17.9,250,28.7,188,50 : 50,"19,694",17%,18.1,"Languages, Literature & Linguistics,Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology",/world-university-rankings/nova-university-lisbon
University of Oregon,,United States,0,University of Oregon,880,201–250,2270,public,73.0,37,34.7,502,22.9,444,29.0–32.2,2270,13.4,331,28.7,189,54 : 46,"22,143",12%,10.8,"Architecture,Art, Performing Arts & Design,Languages, Literature & Linguistics,History, Philosophy & Theology",/world-university-rankings/university-oregon
