aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Swedish University of Agricultural Sciences,Sweden,0,Swedish University of Agricultural Sciences,711,86,860,master_account,71.3,196,48.4,169,51.8,240,58.3,860,49.6,77,52.8,57,68 : 32,"3,838",%,4.6,Biological Sciences,/world-university-rankings/swedish-university-agricultural-sciences
"University of California, Riverside",United States,0,"University of California, Riverside",607,87,870,public,78.6,127,56.3,121,53.2,231,58.1,870,50.7,74,40.6,105,51 : 49,"20,901",13%,22.6,Biological Sciences,/world-university-rankings/university-california-riverside
Brown University,United States,0,Brown University,513,=88,880,private,87.4,63,31.8,447,49.0,258,57.8,880,31.4,174,51.3,62,,"8,694",20%,10.2,Biological Sciences,/world-university-rankings/brown-university
UNSW Sydney unsw australia unsw,Australia,6,UNSW Sydney,638,=88,890,master_account,80.6,112,51.1,150,88.9,34,57.8,890,47.0,86,31.4,170,46 : 54,"39,121",32%,26.3,"Biological Sciences,Sport Science",/world-university-rankings/unsw-sydney
"University of California, Santa Cruz",United States,0,"University of California, Santa Cruz",574,=90,900,public,99.9,3,29.4,534,44.2,293,57.6,900,35.7,145,31.9,164,53 : 47,"17,203",2%,24.5,"Agriculture & Forestry,Biological Sciences",/world-university-rankings/university-california-santa-cruz
University of Exeter,United Kingdom,11,University of Exeter,620,=90,910,master_account,97.3,18,45.2,196,68.6,132,57.6,910,34.5,152,28.4,201,55 : 45,"18,233",27%,17.5,"Biological Sciences,Sport Science",/world-university-rankings/university-exeter
École Normale Supérieure,France,0,École Normale Supérieure,523,=90,920,master_account,86.4,72,57.4,117,82.0,65,57.6,920,35.2,147,36.5,126,40 : 60,"1,548",18%,9.6,Biological Sciences,/world-university-rankings/ecole-normale-superieure
Arizona State University (Tempe)  ,United States,0,Arizona State University (Tempe)  ,591,=93,930,public,99.0,8,34.1,359,51.9,239,57.3,930,40.2,115,24.8,255,44 : 56,"43,082",16%,20.1,"Biological Sciences,Sport Science,Agriculture & Forestry",/world-university-rankings/arizona-state-university-tempe
University of Reading,United Kingdom,0,University of Reading,628,=93,940,master_account,75.9,147,54.0,133,82.0,64,57.3,940,36.8,134,47.5,80,56 : 44,"12,086",29%,13.9,"Agriculture & Forestry,Biological Sciences,Veterinary Science",/world-university-rankings/university-reading
James Cook University,Australia,0,James Cook University,131521,95,950,master_account,90.9,45,80.2,52,87.0,42,57.2,950,33.7,159,27.6,213,63 : 37,"12,004",13%,22.9,"Biological Sciences,Veterinary Science,Sport Science",/world-university-rankings/james-cook-university
University of Florida,United States,0,University of Florida,590,=96,960,public,52.5,316,56.0,125,34.5,377,56.9,960,67.2,38,58.4,45,54 : 46,"44,911",9%,17.0,"Sport Science,Agriculture & Forestry,Veterinary Science,Biological Sciences",/world-university-rankings/university-florida
University of Vienna,Austria,0,University of Vienna,603,=96,970,master_account,75.8,152,31.6,454,90.1,28,56.9,970,38.9,122,44.0,90,67 : 33,"34,711",26%,20.3,"Biological Sciences,Sport Science",/world-university-rankings/university-vienna
Aarhus University,Denmark,0,Aarhus University,589,98,980,master_account,73.0,180,70.6,74,79.1,75,56.8,980,48.5,81,36.9,123,55 : 45,"24,633",14%,13.9,"Agriculture & Forestry,Sport Science,Biological Sciences,Veterinary Science",/world-university-rankings/aarhus-university
Korea Advanced Institute of Science and Technology (KAIST),South Korea,0,Korea Advanced Institute of Science and Technology (KAIST),558,99,990,master_account,90.3,51,100.0,5,31.7,401,56.7,990,39.8,116,33.6,149,20 : 80,"9,327",9%,9.5,Biological Sciences,/world-university-rankings/korea-advanced-institute-science-and-technology-kaist
Pohang University of Science and Technology (POSTECH) postech,South Korea,0,Pohang University of Science and Technology (POSTECH),517,100,1000,master_account,92.0,39,99.7,15,35.2,374,56.5,1000,37.4,131,32.5,158,22 : 78,"3,017",4%,10.0,Biological Sciences,/world-university-rankings/pohang-university-science-and-technology-postech
