Subject rank,Overall rank,University,Teaching quality,Student experience,Research quality,Entry points,Graduate prospects,Total score
68,124,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of wolverhampton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4140/university-of-wolverhampton"">University of Wolverhampton</a>",77.5%,73.6%,n/a,125,71.1%,80.2
69,37,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of essex', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4057/university-of-essex"">University of Essex</a>",83.1%,74.0%,n/a,109*,75.7%,79.9
70,79=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of chester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4042/university-of-chester"">University of Chester</a>",79.2%,76.8%,0.3%,124,65.5%,79.8
71=,123,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : leeds beckett university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4076/leeds-beckett-university"">Leeds Beckett University</a>",88.4%,83.2%,6.4%,108,57.0%,79.3
71=,71,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of chichester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4043/university-of-chichester"">University of Chichester</a>",87.2%,79.4%,n/a,109,64.0%,79.3
73,118,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : canterbury christ church university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4039/canterbury-christ-church-university"">Canterbury Christ Church University</a>",74.5%,69.9%,2.2%,121,72.4%,79.2
74,121,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of cumbria', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4047/university-of-cumbria"">University of Cumbria</a>",81.6%,82.3%,n/a,125,56.0%,79.1
75,116,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of northampton', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4099/university-of-northampton"">University of Northampton</a>",74.9%,72.3%,n/a,116,72.1%,78.4
76,115,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : newman university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4098/newman-university"">Newman University</a>",80.9%,79.9%,2.2%,120,54.9%,78.1
77,109,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of sunderland', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/4125/university-of-sunderland"">University of Sunderland</a>",75.9%,76.2%,1.9%,119,57.8%,77.0
