Institution,Metric,Value,Year,Numeric Value,Rank,Decile,UKPRN,Consistent Name,RG Rank
Exeter,NSS Teaching (%),91.7401311830833,2010,91.7401311830833,4.0,10.0,10007792,University of Exeter,3.0
Durham,NSS Teaching (%),87.09186041660558,2010,87.09186041660558,26.0,8.0,10007143,University of Durham,7.0
Leicester,NSS Teaching (%),90.29839529954201,2010,90.29839529954201,7.0,10.0,10007796,University of Leicester,
Lancaster,NSS Teaching (%),86.7742992773089,2010,86.7742992773089,27.0,8.0,10007768,University of Lancaster,
Glasgow,NSS Teaching (%),88.5091139657061,2010,88.5091139657061,13.0,9.0,10007794,University of Glasgow,5.0
Sussex,NSS Teaching (%),87.88217610753959,2010,87.88217610753959,17.0,9.0,10007806,University of Sussex,
Aston,NSS Teaching (%),87.8912940357617,2010,87.8912940357617,16.0,9.0,10007759,Aston University,
Dundee,NSS Teaching (%),85.1471013598213,2010,85.1471013598213,43.0,7.0,10007852,University of Dundee,
City,NSS Teaching (%),79.9281482066842,2010,79.9281482066842,87.0,3.0,10001478,The City University,
Heriot-Watt,NSS Teaching (%),80.77634078370629,2010,80.77634078370629,80.0,3.0,10007764,Heriot-Watt University,
Southampton,NSS Teaching (%),85.5613765955691,2010,85.5613765955691,36.0,7.0,10007158,University of Southampton,11.0
Birmingham,NSS Teaching (%),87.1973532171151,2010,87.1973532171151,25.0,8.0,10000712,University College Birmingham,
King's College London,NSS Teaching (%),85.3983244860609,2010,85.3983244860609,39.0,7.0,10003645,King's College London,13.0
Nottingham,NSS Teaching (%),85.6241347251631,2010,85.6241347251631,34.0,8.0,10007154,University of Nottingham,10.0
Surrey,NSS Teaching (%),80.30504065756381,2010,80.30504065756381,84.0,3.0,10007160,University of Surrey,
Leeds,NSS Teaching (%),84.98724906214741,2010,84.98724906214741,46.0,6.0,10007795,University of Leeds,16.0
Bristol,NSS Teaching (%),86.1540277103081,2010,86.1540277103081,33.0,8.0,10007786,University of Bristol,9.0
Sheffield,NSS Teaching (%),87.944206546703,2010,87.944206546703,15.0,9.0,10007157,University of Sheffield,6.0
Royal Holloway,NSS Teaching (%),84.58078676113341,2010,84.58078676113341,53.0,6.0,10005553,Royal Holloway College and Bedford New College,
Bournemouth,NSS Teaching (%),81.83732745584241,2010,81.83732745584241,75.0,4.0,10000824,Bournemouth University,
Manchester,NSS Teaching (%),83.01720900019221,2010,83.01720900019221,63.0,5.0,10007798,The University of Manchester,20.0
Aberdeen,NSS Teaching (%),90.8471004583827,2010,90.8471004583827,6.0,10.0,10007783,University of Aberdeen,
UEA,NSS Teaching (%),91.4813240468736,2010,91.4813240468736,5.0,10.0,10007789,University of East Anglia,
Robert Gordon,NSS Teaching (%),,2010,,,,10005500,The Robert Gordon University,
Stirling,NSS Teaching (%),,2010,,,,10007804,University of Stirling,
Strathclyde,NSS Teaching (%),83.6981276629996,2010,83.6981276629996,56.0,6.0,10007805,University of Strathclyde,
Goldsmiths,NSS Teaching (%),86.62971547499491,2010,86.62971547499491,28.0,8.0,10002718,Goldsmiths' College,
Newcastle,NSS Teaching (%),84.7986437795673,2010,84.7986437795673,49.0,6.0,10007799,University of Newcastle Upon Tyne,18.0
Reading,NSS Teaching (%),86.2071608435248,2010,86.2071608435248,31.0,8.0,10007802,University of Reading,
Nottingham Trent,NSS Teaching (%),82.053865009242,2010,82.053865009242,71.0,4.0,10004797,Nottingham Trent University,
Edinburgh Napier,NSS Teaching (%),,2010,,,,10007772,Edinburgh Napier University,
Cardiff,NSS Teaching (%),86.2752751846346,2010,86.2752751846346,30.0,8.0,10007814,Cardiff University,8.0
Kent,NSS Teaching (%),87.6716051106996,2010,87.6716051106996,22.0,9.0,10007150,University of Kent,
"University of the Arts, London",NSS Teaching (%),69.43751128841721,2010,69.43751128841721,112.0,1.0,10007162,"University of the Arts, London",
Liverpool,NSS Teaching (%),83.52158110637191,2010,83.52158110637191,57.0,5.0,10006842,University of Liverpool,19.0
