Institution,Metric,Value,Year,Numeric Value,Rank,Decile,UKPRN,Consistent Name,RG Rank
Cumbria,NSS Feedback (%),76.1741368217886,2017,76.1741368217886,26.0,8.0,10007842,The University of Cumbria,
London Met,NSS Feedback (%),71.1535954812079,2017,71.1535954812079,84.0,3.0,10004048,London Metropolitan University,
Glyndŵr,NSS Feedback (%),71.85195395961131,2017,71.85195395961131,76.0,4.0,10007833,Glyndwr University,
Cambridge,Average Teaching Score,100.0,2018,100.0,1.0,10.0,10007788,University of Cambridge,1.0
Oxford,Average Teaching Score,98.1,2018,98.1,2.0,10.0,10007774,University of Oxford,2.0
St Andrews,Average Teaching Score,94.5,2018,94.5,3.0,10.0,10007803,University of St Andrews,
Durham,Average Teaching Score,84.2,2018,84.2,4.0,10.0,10007143,University of Durham,3.0
Bath,Average Teaching Score,81.9,2018,81.9,5.0,10.0,10007850,University of Bath (The),
Imperial College,Average Teaching Score,81.0,2018,81.0,6.0,10.0,10003270,"Imperial College of Science, Technology and Medicine",4.0
Loughborough,Average Teaching Score,81.0,2018,81.0,6.0,10.0,10004113,Loughborough University,
Warwick,Average Teaching Score,80.9,2018,80.9,8.0,10.0,10007163,University of Warwick,5.0
Lancaster,Average Teaching Score,80.8,2018,80.8,9.0,10.0,10007768,University of Lancaster,
Surrey,Average Teaching Score,78.0,2018,78.0,10.0,10.0,10007160,University of Surrey,
UCL,Average Teaching Score,78.0,2018,78.0,10.0,10.0,10007784,University College London,6.0
Coventry,Average Teaching Score,76.7,2018,76.7,12.0,10.0,10001726,Coventry University,
Exeter,Average Teaching Score,76.2,2018,76.2,13.0,9.0,10007792,University of Exeter,7.0
Leeds,Average Teaching Score,75.8,2018,75.8,14.0,9.0,10007795,University of Leeds,8.0
Birmingham,Average Teaching Score,74.5,2018,74.5,15.0,9.0,10000712,University College Birmingham,
London School of Economics,Average Teaching Score,74.5,2018,74.5,15.0,9.0,10004063,London School of Economics & Political Science,9.0
York,Average Teaching Score,74.3,2018,74.3,17.0,9.0,10007167,University of York,10.0
UEA,Average Teaching Score,74.2,2018,74.2,18.0,9.0,10007789,University of East Anglia,
Nottingham,Average Teaching Score,72.9,2018,72.9,19.0,9.0,10007154,University of Nottingham,11.0
Sussex,Average Teaching Score,72.5,2018,72.5,20.0,9.0,10007806,University of Sussex,
University for the Creative Arts,Average Teaching Score,72.2,2018,72.2,21.0,9.0,10006427,University for the Creative Arts,
Kent,Average Teaching Score,71.7,2018,71.7,22.0,9.0,10007150,University of Kent,
Glasgow,Average Teaching Score,70.9,2018,70.9,23.0,9.0,10007794,University of Glasgow,12.0
Dundee,Average Teaching Score,70.7,2018,70.7,24.0,9.0,10007852,University of Dundee,
SOAS,Average Teaching Score,70.6,2018,70.6,25.0,8.0,10007780,School of Oriental and African Studies,
Heriot-Watt,Average Teaching Score,70.1,2018,70.1,26.0,8.0,10007764,Heriot-Watt University,
Bristol,Average Teaching Score,69.3,2018,69.3,27.0,8.0,10007786,University of Bristol,13.0
Manchester,Average Teaching Score,68.8,2018,68.8,28.0,8.0,10007798,The University of Manchester,14.0
Reading,Average Teaching Score,68.0,2018,68.0,29.0,8.0,10007802,University of Reading,
Edinburgh,Average Teaching Score,67.1,2018,67.1,30.0,8.0,10007790,University of Edinburgh,15.0
Newcastle,Average Teaching Score,67.1,2018,67.1,30.0,8.0,10007799,University of Newcastle Upon Tyne,15.0
City,Average Teaching Score,67.0,2018,67.0,32.0,8.0,10001478,The City University,
Falmouth,Average Teaching Score,67.0,2018,67.0,32.0,8.0,10008640,University College Falmouth,
Nottingham Trent,Average Teaching Score,66.9,2018,66.9,34.0,8.0,10004797,Nottingham Trent University,
Southampton,Average Teaching Score,66.1,2018,66.1,35.0,8.0,10007158,University of Southampton,17.0
Keele,Average Teaching Score,66.0,2018,66.0,36.0,8.0,10007767,University of Keele,
Portsmouth,Average Teaching Score,65.9,2018,65.9,37.0,7.0,10007155,University of Portsmouth,
"Queen's, Belfast",Average Teaching Score,64.9,2018,64.9,38.0,7.0,10005343,The Queen's University of Belfast,18.0
King's College London,Average Teaching Score,64.0,2018,64.0,39.0,7.0,10003645,King's College London,19.0
Royal Holloway,Average Teaching Score,63.3,2018,63.3,40.0,7.0,10005553,Royal Holloway College and Bedford New College,
Sheffield,Average Teaching Score,63.3,2018,63.3,40.0,7.0,10007157,University of Sheffield,20.0
Cardiff,Average Teaching Score,63.2,2018,63.2,42.0,7.0,10007814,Cardiff University,21.0
Leicester,Average Teaching Score,62.8,2018,62.8,43.0,7.0,10007796,University of Leicester,
Queen Mary,Average Teaching Score,62.6,2018,62.6,44.0,7.0,10007775,"Queen Mary and Westfield College, University of London",22.0
Swansea,Average Teaching Score,62.5,2018,62.5,45.0,7.0,10007855,Swansea University,
Aberdeen,Average Teaching Score,62.3,2018,62.3,46.0,7.0,10007783,University of Aberdeen,
Lincoln,Average Teaching Score,61.9,2018,61.9,47.0,7.0,10007151,University of Lincoln,
Essex,Average Teaching Score,61.1,2018,61.1,48.0,6.0,10007791,University of Essex,
Northumbria,Average Teaching Score,61.1,2018,61.1,48.0,7.0,10001282,University of Northumbria at Newcastle,
Oxford Brookes,Average Teaching Score,60.8,2018,60.8,50.0,6.0,10004930,Oxford Brookes University,
Aston,Average Teaching Score,60.7,2018,60.7,51.0,6.0,10007759,Aston University,
Strathclyde,Average Teaching Score,60.6,2018,60.6,52.0,6.0,10007805,University of Strathclyde,
UWE Bristol,Average Teaching Score,60.6,2018,60.6,52.0,6.0,10007164,"University of the West of England, Bristol",
Derby,Average Teaching Score,60.2,2018,60.2,54.0,6.0,10007851,University of Derby,
Stirling,Average Teaching Score,60.2,2018,60.2,54.0,6.0,10007804,University of Stirling,
Edge Hill,Average Teaching Score,59.4,2018,59.4,56.0,6.0,10007823,Edge Hill University,
Liverpool Hope,Average Teaching Score,59.4,2018,59.4,56.0,6.0,10003956,Liverpool Hope University,
West London,Average Teaching Score,59.3,2018,59.3,58.0,6.0,10006566,The University of West London,
University of the Arts London,Average Teaching Score,59.0,2018,59.0,59.0,6.0,10007162,"University of the Arts, London",
Huddersfield,Average Teaching Score,58.2,2018,58.2,60.0,6.0,10007148,University of Huddersfield,
Bournemouth,Average Teaching Score,57.9,2018,57.9,61.0,5.0,10000824,Bournemouth University,
Robert Gordon,Average Teaching Score,57.7,2018,57.7,62.0,5.0,10005500,The Robert Gordon University,
Bangor,Average Teaching Score,57.6,2018,57.6,63.0,5.0,10007857,Bangor University,
Gloucestershire,Average Teaching Score,57.0,2018,57.0,64.0,5.0,10007145,University of Gloucestershire,
Goldsmiths,Average Teaching Score,57.0,2018,57.0,64.0,5.0,10002718,Goldsmiths' College,
Abertay Dundee,Average Teaching Score,56.8,2018,56.8,66.0,5.0,10007849,University of Abertay Dundee,
Central Lancashire,Average Teaching Score,56.7,2018,56.7,67.0,5.0,10007141,University of Central Lancashire,
Liverpool,Average Teaching Score,56.7,2018,56.7,67.0,5.0,10006842,University of Liverpool,23.0
Staffordshire,Average Teaching Score,56.7,2018,56.7,67.0,5.0,10006299,Staffordshire University,
Middlesex,Average Teaching Score,55.9,2018,55.9,70.0,5.0,10004351,Middlesex University,
Sunderland,Average Teaching Score,55.5,2018,55.5,71.0,5.0,10007159,University of Sunderland,
Anglia Ruskin,Average Teaching Score,55.2,2018,55.2,72.0,4.0,10000291,Anglia Ruskin University,
Brunel,Average Teaching Score,55.2,2018,55.2,72.0,4.0,10000961,Brunel University,
Chichester,Average Teaching Score,55.2,2018,55.2,72.0,5.0,10007137,The University of Chichester,
Bradford,Average Teaching Score,54.9,2018,54.9,75.0,4.0,10007785,University of Bradford,
Manchester Met,Average Teaching Score,54.8,2018,54.8,76.0,4.0,10004180,The Manchester Metropolitan University,
Chester,Average Teaching Score,54.7,2018,54.7,77.0,4.0,10007848,University of Chester,
Plymouth,Average Teaching Score,54.5,2018,54.5,78.0,4.0,10007801,University of Plymouth,
Teesside,Average Teaching Score,54.2,2018,54.2,79.0,4.0,10007161,Teesside University,
Liverpool John Moores,Average Teaching Score,54.1,2018,54.1,80.0,4.0,10003957,Liverpool John Moores University,
Aberystwyth,Average Teaching Score,53.8,2018,53.8,81.0,4.0,10007856,Prifysgol Aberystwyth,
Kingston,Average Teaching Score,53.8,2018,53.8,81.0,4.0,10003678,Kingston University,
Edinburgh Napier,Average Teaching Score,53.1,2018,53.1,83.0,4.0,10007772,Edinburgh Napier University,
Hull,Average Teaching Score,52.9,2018,52.9,84.0,4.0,10007149,University of Hull,
Sheffield Hallam,Average Teaching Score,52.7,2018,52.7,85.0,3.0,10005790,Sheffield Hallam University,
Bolton,Average Teaching Score,52.2,2018,52.2,86.0,3.0,10006841,The University of Bolton,
Cardiff Met,Average Teaching Score,52.0,2018,52.0,87.0,3.0,10007854,Cardiff Metropolitan University,
Worcester,Average Teaching Score,51.7,2018,51.7,88.0,3.0,10007139,University of Worcester,
Glasgow Caledonian,Average Teaching Score,51.4,2018,51.4,89.0,3.0,10007762,Glasgow Caledonian University,
Winchester,Average Teaching Score,51.2,2018,51.2,90.0,3.0,10003614,University of Winchester,
Brighton,Average Teaching Score,51.0,2018,51.0,91.0,3.0,10000886,University of Brighton,
London South Bank,Average Teaching Score,50.6,2018,50.6,92.0,3.0,10004078,London South Bank University,
Roehampton,Average Teaching Score,50.5,2018,50.5,93.0,3.0,10007776,Roehampton University,
De Montfort,Average Teaching Score,50.4,2018,50.4,94.0,3.0,10001883,De Montfort University,
Greenwich,Average Teaching Score,49.7,2018,49.7,95.0,3.0,10007146,University of Greenwich,
Ulster,Average Teaching Score,49.6,2018,49.6,96.0,3.0,10007807,University of Ulster,
Bath Spa,Average Teaching Score,49.2,2018,49.2,97.0,2.0,10000571,Bath Spa University,
Bedfordshire,Average Teaching Score,48.9,2018,48.9,98.0,2.0,10007152,University of Bedfordshire,
Salford,Average Teaching Score,48.6,2018,48.6,99.0,2.0,10007156,University of Salford,
Queen Margaret,Average Teaching Score,48.1,2018,48.1,100.0,2.0,10005337,"Queen Margaret University, Edinburgh",
Birmingham City,Average Teaching Score,48.0,2018,48.0,101.0,2.0,10007140,Birmingham City University,
Hertfordshire,Average Teaching Score,47.8,2018,47.8,102.0,2.0,10007147,University of Hertfordshire,
Southampton Solent,Average Teaching Score,47.4,2018,47.4,103.0,2.0,10006022,Southampton Solent University,
West of Scotland,Average Teaching Score,47.0,2018,47.0,104.0,2.0,10007800,University of the West of Scotland,
Northampton,Average Teaching Score,46.5,2018,46.5,105.0,2.0,10007138,The University of Northampton,
"St Mary's, Twickenham",Average Teaching Score,46.5,2018,46.5,105.0,2.0,10007843,"St Mary's University College, Twickenham",
East London,Average Teaching Score,46.4,2018,46.4,107.0,2.0,10007144,University of East London,
Westminster,Average Teaching Score,46.2,2018,46.2,108.0,2.0,10007165,The University of Westminster,
Canterbury Christ Church,Average Teaching Score,45.9,2018,45.9,109.0,1.0,10001143,Canterbury Christ Church University,
Newman,Average Teaching Score,44.5,2018,44.5,110.0,1.0,10007832,Newman University College,
Leeds Trinity,Average Teaching Score,44.4,2018,44.4,111.0,1.0,10003863,Leeds Trinity University College,
Trinity Saint David,Average Teaching Score,43.7,2018,43.7,112.0,1.0,10007858,University of Wales: Trinity Saint David,
Birkbeck,Average Teaching Score,42.4,2018,42.4,113.0,1.0,10007760,Birkbeck College,
Leeds Beckett,Average Teaching Score,41.1,2018,41.1,114.0,1.0,10003861,Leeds Metropolitan University,
Suffolk,Average Teaching Score,39.2,2018,39.2,115.0,1.0,10014001,University Campus Suffolk Ltd,
South Wales,Average Teaching Score,38.4,2018,38.4,116.0,1.0,10007793,University of Glamorgan / Prifysgol Morgannwg,
London Met,Average Teaching Score,37.2,2018,37.2,117.0,1.0,10004048,London Metropolitan University,
Cumbria,Average Teaching Score,37.1,2018,37.1,118.0,1.0,10007842,The University of Cumbria,
York St John,Average Teaching Score,36.6,2018,36.6,119.0,1.0,10007713,York St John University,
Bucks New University,Average Teaching Score,32.0,2018,32.0,120.0,1.0,10000975,Buckinghamshire New University,
Glyndŵr,Average Teaching Score,30.4,2018,30.4,121.0,1.0,10007833,Glyndwr University,
Cambridge,NSS Teaching (%),90.64699205448359,2018,90.64699205448359,13.0,9.0,10007788,University of Cambridge,6.0
Oxford,NSS Teaching (%),91.61492899450508,2018,91.61492899450508,5.0,10.0,10007774,University of Oxford,1.0
St Andrews,NSS Teaching (%),95.47440699126088,2018,95.47440699126088,1.0,10.0,10007803,University of St Andrews,
Durham,NSS Teaching (%),88.830167118983,2018,88.830167118983,41.0,7.0,10007143,University of Durham,15.0
Bath,NSS Teaching (%),87.88766368022058,2018,87.88766368022058,52.0,6.0,10007850,University of Bath (The),
Imperial College,NSS Teaching (%),85.24430871737921,2018,85.24430871737921,90.0,3.0,10003270,"Imperial College of Science, Technology and Medicine",20.0
Loughborough,NSS Teaching (%),89.1657478868063,2018,89.1657478868063,30.0,8.0,10004113,Loughborough University,
Warwick,NSS Teaching (%),89.060649914485,2018,89.060649914485,32.0,8.0,10007163,University of Warwick,13.0
Lancaster,NSS Teaching (%),89.1047666645842,2018,89.1047666645842,31.0,8.0,10007768,University of Lancaster,
Surrey,NSS Teaching (%),90.4510042169966,2018,90.4510042169966,18.0,9.0,10007160,University of Surrey,
UCL,NSS Teaching (%),86.0192658161937,2018,86.0192658161937,79.0,4.0,10007784,University College London,19.0
Coventry,NSS Teaching (%),92.76122328955108,2018,92.76122328955108,2.0,10.0,10001726,Coventry University,
Exeter,NSS Teaching (%),89.7670447615563,2018,89.7670447615563,22.0,9.0,10007792,University of Exeter,10.0
Leeds,NSS Teaching (%),90.932154247608,2018,90.932154247608,9.0,10.0,10007795,University of Leeds,4.0
Birmingham,NSS Teaching (%),90.51624687560093,2018,90.51624687560093,17.0,9.0,10000712,University College Birmingham,
London School of Economics,NSS Teaching (%),81.0627674750357,2018,81.0627674750357,117.0,1.0,10004063,London School of Economics & Political Science,23.0
York,NSS Teaching (%),91.0696999031946,2018,91.0696999031946,7.0,10.0,10007167,University of York,2.0
UEA,NSS Teaching (%),90.89669280600071,2018,90.89669280600071,10.0,10.0,10007789,University of East Anglia,
Nottingham,NSS Teaching (%),89.74000677506771,2018,89.74000677506771,23.0,9.0,10007154,University of Nottingham,11.0
Sussex,NSS Teaching (%),87.78206226792351,2018,87.78206226792351,55.0,6.0,10007806,University of Sussex,
University for the Creative Arts,NSS Teaching (%),87.4882702533625,2018,87.4882702533625,59.0,6.0,10006427,University for the Creative Arts,
Kent,NSS Teaching (%),88.3780404637418,2018,88.3780404637418,46.0,7.0,10007150,University of Kent,
Glasgow,NSS Teaching (%),90.6206896551724,2018,90.6206896551724,16.0,9.0,10007794,University of Glasgow,8.0
Dundee,NSS Teaching (%),91.1554340873408,2018,91.1554340873408,6.0,10.0,10007852,University of Dundee,
SOAS,NSS Teaching (%),90.636416073832,2018,90.636416073832,15.0,9.0,10007780,School of Oriental and African Studies,
Heriot-Watt,NSS Teaching (%),86.07244825124909,2018,86.07244825124909,77.0,4.0,10007764,Heriot-Watt University,
Bristol,NSS Teaching (%),90.7634628493524,2018,90.7634628493524,12.0,10.0,10007786,University of Bristol,5.0
Manchester,NSS Teaching (%),86.1313052231294,2018,86.1313052231294,76.0,4.0,10007798,The University of Manchester,18.0
Reading,NSS Teaching (%),89.0455346483997,2018,89.0455346483997,33.0,8.0,10007802,University of Reading,
Edinburgh,NSS Teaching (%),83.6124450183608,2018,83.6124450183608,105.0,2.0,10007790,University of Edinburgh,22.0
Newcastle,NSS Teaching (%),90.99319863972799,2018,90.99319863972799,8.0,10.0,10007799,University of Newcastle Upon Tyne,3.0
City,NSS Teaching (%),86.196478799875,2018,86.196478799875,74.0,4.0,10001478,The City University,
Falmouth,NSS Teaching (%),86.8739565943239,2018,86.8739565943239,72.0,5.0,10008640,University College Falmouth,
Nottingham Trent,NSS Teaching (%),89.7239723972397,2018,89.7239723972397,24.0,9.0,10004797,Nottingham Trent University,
Southampton,NSS Teaching (%),88.1166970565251,2018,88.1166970565251,50.0,6.0,10007158,University of Southampton,16.0
Keele,NSS Teaching (%),91.79905854663141,2018,91.79905854663141,3.0,10.0,10007767,University of Keele,
Portsmouth,NSS Teaching (%),88.90929496990101,2018,88.90929496990101,37.0,7.0,10007155,University of Portsmouth,
"Queen's, Belfast",NSS Teaching (%),90.6373406648338,2018,90.6373406648338,14.0,9.0,10005343,The Queen's University of Belfast,7.0
King's College London,NSS Teaching (%),89.02848224736641,2018,89.02848224736641,34.0,8.0,10003645,King's College London,14.0
Royal Holloway,NSS Teaching (%),88.99820410712891,2018,88.99820410712891,36.0,8.0,10005553,Royal Holloway College and Bedford New College,
Sheffield,NSS Teaching (%),89.793598836152,2018,89.793598836152,21.0,9.0,10007157,University of Sheffield,9.0
Cardiff,NSS Teaching (%),87.15639586967802,2018,87.15639586967802,65.0,5.0,10007814,Cardiff University,17.0
Leicester,NSS Teaching (%),86.698176907495,2018,86.698176907495,73.0,4.0,10007796,University of Leicester,
Queen Mary,NSS Teaching (%),84.7301413731157,2018,84.7301413731157,95.0,3.0,10007775,"Queen Mary and Westfield College, University of London",21.0
Swansea,NSS Teaching (%),86.99619771863121,2018,86.99619771863121,70.0,5.0,10007855,Swansea University,
Aberdeen,NSS Teaching (%),88.15467969828958,2018,88.15467969828958,49.0,6.0,10007783,University of Aberdeen,
Lincoln,NSS Teaching (%),89.88866166780281,2018,89.88866166780281,20.0,9.0,10007151,University of Lincoln,
Essex,NSS Teaching (%),87.61871750433279,2018,87.61871750433279,58.0,6.0,10007791,University of Essex,
Northumbria,NSS Teaching (%),87.7620435929474,2018,87.7620435929474,56.0,6.0,10001282,University of Northumbria at Newcastle,
Oxford Brookes,NSS Teaching (%),88.5398745768355,2018,88.5398745768355,43.0,7.0,10004930,Oxford Brookes University,
Aston,NSS Teaching (%),87.65195670274771,2018,87.65195670274771,57.0,6.0,10007759,Aston University,
Strathclyde,NSS Teaching (%),89.67530800821359,2018,89.67530800821359,25.0,8.0,10007805,University of Strathclyde,
UWE Bristol,NSS Teaching (%),89.66038128971772,2018,89.66038128971772,26.0,8.0,10007164,"University of the West of England, Bristol",
Derby,NSS Teaching (%),88.878027587705,2018,88.878027587705,40.0,7.0,10007851,University of Derby,
Stirling,NSS Teaching (%),88.54731766124168,2018,88.54731766124168,42.0,7.0,10007804,University of Stirling,
Edge Hill,NSS Teaching (%),88.41568929052099,2018,88.41568929052099,44.0,7.0,10007823,Edge Hill University,
Liverpool Hope,NSS Teaching (%),91.7395286868182,2018,91.7395286868182,4.0,10.0,10003956,Liverpool Hope University,
West London,NSS Teaching (%),82.5777444735856,2018,82.5777444735856,112.0,1.0,10006566,The University of West London,
University of the Arts London,NSS Teaching (%),75.3414118099635,2018,75.3414118099635,121.0,1.0,10007162,"University of the Arts, London",
Huddersfield,NSS Teaching (%),87.8513293543136,2018,87.8513293543136,53.0,6.0,10007148,University of Huddersfield,
Bournemouth,NSS Teaching (%),87.05118138339641,2018,87.05118138339641,69.0,5.0,10000824,Bournemouth University,
Robert Gordon,NSS Teaching (%),85.7362257631023,2018,85.7362257631023,82.0,4.0,10005500,The Robert Gordon University,
Bangor,NSS Teaching (%),90.412359422924,2018,90.412359422924,19.0,9.0,10007857,Bangor University,
Gloucestershire,NSS Teaching (%),88.3863636363637,2018,88.3863636363637,45.0,7.0,10007145,University of Gloucestershire,
Goldsmiths,NSS Teaching (%),88.88624747414721,2018,88.88624747414721,39.0,7.0,10002718,Goldsmiths' College,
Abertay Dundee,NSS Teaching (%),89.34375,2018,89.34375,28.0,8.0,10007849,University of Abertay Dundee,
Central Lancashire,NSS Teaching (%),84.0229565861335,2018,84.0229565861335,99.0,2.0,10007141,University of Central Lancashire,
Liverpool,NSS Teaching (%),89.27612700175881,2018,89.27612700175881,29.0,8.0,10006842,University of Liverpool,12.0
Staffordshire,NSS Teaching (%),87.95107446952291,2018,87.95107446952291,51.0,6.0,10006299,Staffordshire University,
Middlesex,NSS Teaching (%),81.6825048732944,2018,81.6825048732944,116.0,1.0,10004351,Middlesex University,
Sunderland,NSS Teaching (%),85.03,2018,85.03,91.0,3.0,10007159,University of Sunderland,
Anglia Ruskin,NSS Teaching (%),87.8073172764397,2018,87.8073172764397,54.0,6.0,10000291,Anglia Ruskin University,
Brunel,NSS Teaching (%),84.4487396311508,2018,84.4487396311508,97.0,2.0,10000961,Brunel University,
Chichester,NSS Teaching (%),89.0027493126718,2018,89.0027493126718,35.0,8.0,10007137,The University of Chichester,
Bradford,NSS Teaching (%),82.42506811989101,2018,82.42506811989101,113.0,1.0,10007785,University of Bradford,
Manchester Met,NSS Teaching (%),85.3138112668512,2018,85.3138112668512,89.0,3.0,10004180,The Manchester Metropolitan University,
Chester,NSS Teaching (%),87.1469632591852,2018,87.1469632591852,66.0,5.0,10007848,University of Chester,
Plymouth,NSS Teaching (%),87.22644493189821,2018,87.22644493189821,63.0,5.0,10007801,University of Plymouth,
Teesside,NSS Teaching (%),87.44355845902582,2018,87.44355845902582,60.0,6.0,10007161,Teesside University,
Liverpool John Moores,NSS Teaching (%),85.6162926725513,2018,85.6162926725513,85.0,3.0,10003957,Liverpool John Moores University,
Aberystwyth,NSS Teaching (%),90.79385860509399,2018,90.79385860509399,11.0,10.0,10007856,Prifysgol Aberystwyth,
Kingston,NSS Teaching (%),79.968085106383,2018,79.968085106383,120.0,1.0,10003678,Kingston University,
Edinburgh Napier,NSS Teaching (%),86.022311022311,2018,86.022311022311,78.0,4.0,10007772,Edinburgh Napier University,
Hull,NSS Teaching (%),85.32837011433129,2018,85.32837011433129,88.0,3.0,10007149,University of Hull,
Sheffield Hallam,NSS Teaching (%),85.81038087446598,2018,85.81038087446598,81.0,4.0,10005790,Sheffield Hallam University,
Bolton,NSS Teaching (%),83.08356039963671,2018,83.08356039963671,107.0,2.0,10006841,The University of Bolton,
Cardiff Met,NSS Teaching (%),82.36830154405091,2018,82.36830154405091,114.0,1.0,10007854,Cardiff Metropolitan University,
Worcester,NSS Teaching (%),88.2473289383951,2018,88.2473289383951,47.0,7.0,10007139,University of Worcester,
Glasgow Caledonian,NSS Teaching (%),83.64565587734239,2018,83.64565587734239,104.0,2.0,10007762,Glasgow Caledonian University,
Winchester,NSS Teaching (%),87.1777606771835,2018,87.1777606771835,64.0,5.0,10003614,University of Winchester,
Brighton,NSS Teaching (%),83.72257223549859,2018,83.72257223549859,103.0,2.0,10000886,University of Brighton,
London South Bank,NSS Teaching (%),83.8783378552049,2018,83.8783378552049,102.0,2.0,10004078,London South Bank University,
Roehampton,NSS Teaching (%),86.15325523333969,2018,86.15325523333969,75.0,4.0,10007776,Roehampton University,
De Montfort,NSS Teaching (%),84.8776916976758,2018,84.8776916976758,92.0,3.0,10001883,De Montfort University,
Greenwich,NSS Teaching (%),83.05815491646659,2018,83.05815491646659,108.0,2.0,10007146,University of Greenwich,
Ulster,NSS Teaching (%),87.12486105965168,2018,87.12486105965168,67.0,5.0,10007807,University of Ulster,
Bath Spa,NSS Teaching (%),87.4118717307255,2018,87.4118717307255,61.0,5.0,10000571,Bath Spa University,
Bedfordshire,NSS Teaching (%),84.0193704600484,2018,84.0193704600484,101.0,2.0,10007152,University of Bedfordshire,
Salford,NSS Teaching (%),84.77348795549902,2018,84.77348795549902,94.0,3.0,10007156,University of Salford,
Queen Margaret,NSS Teaching (%),88.8905238375515,2018,88.8905238375515,38.0,7.0,10005337,"Queen Margaret University, Edinburgh",
Birmingham City,NSS Teaching (%),84.2879588630196,2018,84.2879588630196,98.0,2.0,10007140,Birmingham City University,
Hertfordshire,NSS Teaching (%),85.88207931154791,2018,85.88207931154791,80.0,4.0,10007147,University of Hertfordshire,
Southampton Solent,NSS Teaching (%),83.0534947286216,2018,83.0534947286216,109.0,1.0,10006022,Southampton Solent University,
West of Scotland,NSS Teaching (%),87.0806626154999,2018,87.0806626154999,68.0,5.0,10007800,University of the West of Scotland,
Northampton,NSS Teaching (%),84.804350543818,2018,84.804350543818,93.0,3.0,10007138,The University of Northampton,
"St Mary's, Twickenham",NSS Teaching (%),86.9690992767916,2018,86.9690992767916,71.0,5.0,10007843,"St Mary's University College, Twickenham",
East London,NSS Teaching (%),85.72143035758941,2018,85.72143035758941,83.0,4.0,10007144,University of East London,
Westminster,NSS Teaching (%),80.8576533650983,2018,80.8576533650983,118.0,1.0,10007165,The University of Westminster,
Canterbury Christ Church,NSS Teaching (%),84.69030969030969,2018,84.69030969030969,96.0,3.0,10001143,Canterbury Christ Church University,
Newman,NSS Teaching (%),89.5230160383253,2018,89.5230160383253,27.0,8.0,10007832,Newman University College,
Leeds Trinity,NSS Teaching (%),84.019406057042,2018,84.019406057042,100.0,2.0,10003863,Leeds Trinity University College,
Trinity Saint David,NSS Teaching (%),85.5121149310271,2018,85.5121149310271,86.0,3.0,10007858,University of Wales: Trinity Saint David,
Birkbeck,NSS Teaching (%),88.2205861925267,2018,88.2205861925267,48.0,7.0,10007760,Birkbeck College,
Leeds Beckett,NSS Teaching (%),87.33496332518341,2018,87.33496332518341,62.0,5.0,10003861,Leeds Metropolitan University,
Suffolk,NSS Teaching (%),82.6892475562628,2018,82.6892475562628,111.0,1.0,10014001,University Campus Suffolk Ltd,
South Wales,NSS Teaching (%),83.1214257953473,2018,83.1214257953473,106.0,2.0,10007793,University of Glamorgan / Prifysgol Morgannwg,
London Met,NSS Teaching (%),82.1145951091807,2018,82.1145951091807,115.0,1.0,10004048,London Metropolitan University,
Cumbria,NSS Teaching (%),85.6717564582733,2018,85.6717564582733,84.0,4.0,10007842,The University of Cumbria,
York St John,NSS Teaching (%),82.88537549407121,2018,82.88537549407121,110.0,1.0,10007713,York St John University,
Bucks New University,NSS Teaching (%),80.78345158389129,2018,80.78345158389129,119.0,1.0,10000975,Buckinghamshire New University,
Glyndŵr,NSS Teaching (%),85.41291741651669,2018,85.41291741651669,87.0,3.0,10007833,Glyndwr University,
Cambridge,NSS Overall (%),87.8026634382567,2018,87.8026634382567,44.0,7.0,10007788,University of Cambridge,13.0
Oxford,NSS Overall (%),88.3966847670763,2018,88.3966847670763,35.0,8.0,10007774,University of Oxford,11.0
St Andrews,NSS Overall (%),94.875,2018,94.875,1.0,10.0,10007803,University of St Andrews,
Durham,NSS Overall (%),89.7193585337915,2018,89.7193585337915,14.0,9.0,10007143,University of Durham,6.0
Bath,NSS Overall (%),88.6857537081752,2018,88.6857537081752,32.0,8.0,10007850,University of Bath (The),
Imperial College,NSS Overall (%),84.1022790439133,2018,84.1022790439133,78.0,4.0,10003270,"Imperial College of Science, Technology and Medicine",18.0
Loughborough,NSS Overall (%),89.1828336272781,2018,89.1828336272781,23.0,9.0,10004113,Loughborough University,
Warwick,NSS Overall (%),88.68969153704191,2018,88.68969153704191,31.0,8.0,10007163,University of Warwick,10.0
Lancaster,NSS Overall (%),89.7403894158762,2018,89.7403894158762,13.0,9.0,10007768,University of Lancaster,
Surrey,NSS Overall (%),90.04861309694022,2018,90.04861309694022,9.0,10.0,10007160,University of Surrey,
UCL,NSS Overall (%),84.2357351103707,2018,84.2357351103707,77.0,4.0,10007784,University College London,17.0
Coventry,NSS Overall (%),90.5593719332679,2018,90.5593719332679,6.0,10.0,10001726,Coventry University,
Exeter,NSS Overall (%),89.81233243967829,2018,89.81233243967829,12.0,10.0,10007792,University of Exeter,5.0
Leeds,NSS Overall (%),90.06382361473749,2018,90.06382361473749,8.0,10.0,10007795,University of Leeds,2.0
Birmingham,NSS Overall (%),88.22964669738859,2018,88.22964669738859,39.0,7.0,10000712,University College Birmingham,
London School of Economics,NSS Overall (%),75.44610992148459,2018,75.44610992148459,120.0,1.0,10004063,London School of Economics & Political Science,23.0
York,NSS Overall (%),89.1255243626976,2018,89.1255243626976,26.0,8.0,10007167,University of York,9.0
