,Academic Reputation,SCORE,SCORE,Employer Reputation,SCORE,SCORE,Faculty Student,SCORE,SCORE,International Faculty,SCORE,SCORE,International Students,SCORE,SCORE,Citations per Faculty,SCORE,SCORE,Arts & Humanities,SCORE,SCORE,Engineering & Technology,SCORE,SCORE,Life Sciences & Medicine,SCORE,SCORE,Natural Sciences,SCORE,SCORE,Social Sciences & Management,SCORE,SCORE,71975,71975_rank,71975_rank_d,71976,71976_rank,71976_rank_d,_rank,_rank_d,LOCATION,OVERALL SCORE,# RANK,# RANK,REGION,STARS,UNIVERSITY
,"<div class=""td-wrap""><div class=""td-wrap-in"">95.4</div></div>",41,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">41</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">96.5</div></div>",22,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">22</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">33.6</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">77</div></div>",149,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">149</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">94.5</div></div>",47,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">47</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">41.6</div></div>",268,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">268</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">38.28</div></div>",48,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">48</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">28.58</div></div>",59,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">59</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">34.71</div></div>",39,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">39</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">28.46</div></div>",79,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">79</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">34.3</div></div>",40,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">40</span></div></div></div>",,,,,,,,,Australia,"<div class=""td-wrap""><div class=""td-wrap-in"">72.16</div></div>",61,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">61</span></div></div></div>",Oceania,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/monash-university"">Monash University</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">15.9</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">45.4</div></div>",253,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">253</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">46.7</div></div>",256,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">256</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">21.6</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">14.24</div></div>",202,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">202</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">10.31</div></div>",400,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">400</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>",,,,,,,,,France,"<div class=""td-wrap""><div class=""td-wrap-in"">26.33</div></div>",451,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank large"">451- 500  </span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/universite-montpellier-1"">Université Montpellier 1</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">26.9</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">3.1</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">43.8</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">17.1</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">44.2</div></div>",271,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">271</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">46.4</div></div>",241,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">241</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">13.32</div></div>",228,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">228</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">13.33</div></div>",227,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">227</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">15.51</div></div>",219,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">219</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>",,,,,,,,,France,"<div class=""td-wrap""><div class=""td-wrap-in"">32.5</div></div>",378,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank small"">378</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/universite-montpellier-2-sciences-et-techniques"">Université Montpellier 2 Sciences et Techniques</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">15.4</div></div>",276,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">276</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>",,,,,,,,,France,"<div class=""td-wrap""><div class=""td-wrap-in""></div></div>",601,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank large"">601+</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/universit-paul-valery-montpellier-3"">Universit Paul-Valery Montpellier 3</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">69.3</div></div>",129,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">129</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">37.9</div></div>",285,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">285</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">38.5</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">83.4</div></div>",126,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">126</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">84.1</div></div>",87,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">87</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">76.2</div></div>",85,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">85</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">22.84</div></div>",140,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">140</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">16.84</div></div>",160,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">160</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">18.76</div></div>",132,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">132</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">18.2</div></div>",194,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">194</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">24.28</div></div>",92,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">92</span></div></div></div>",,,,,,,,,Canada,"<div class=""td-wrap""><div class=""td-wrap-in"">63.47</div></div>",114,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank small"">114</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/universite-de-montreal"">Université de Montréal</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">77.1</div></div>",95,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">95</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">71.6</div></div>",99,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">99</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">100</div></div>",12,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">12</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">6</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">36.1</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">5.3</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">25.97</div></div>",110,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">110</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">18.44</div></div>",133,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">133</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">14.28</div></div>",201,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">201</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">37.22</div></div>",44,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">44</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">17.67</div></div>",175,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">175</span></div></div></div>",,,,,,,,,Russia,"<div class=""td-wrap""><div class=""td-wrap-in"">61.79</div></div>",116,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank small"">116</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/lomonosov-moscow-state-university"">Lomonosov Moscow State University</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">48.4</div></div>",207,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">207</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">39.7</div></div>",283,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">283</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>",,,,,,,,,India,"<div class=""td-wrap""><div class=""td-wrap-in""></div></div>",551,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank large"">551- 600  </span></div></div></div>",Asia,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-mumbai"">University of Mumbai</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">97</div></div>",40,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">40</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">71.9</div></div>",97,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">97</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">33.6</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">35.7</div></div>",289,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">289</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">50</div></div>",235,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">235</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">75.6</div></div>",89,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">89</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">45.05</div></div>",31,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">31</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">16.51</div></div>",169,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">169</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">34.34</div></div>",40,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">40</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">47.6</div></div>",23,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">23</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">31.51</div></div>",51,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">51</span></div></div></div>",,,,,,,,,Germany,"<div class=""td-wrap""><div class=""td-wrap-in"">72.85</div></div>",60,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">60</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/ludwig-maximilians-universitat-munchen"">Ludwig-Maximilians-Universität München</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">48.6</div></div>",217,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">217</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">39.3</div></div>",272,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">272</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">53.5</div></div>",226,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">226</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">24.6</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">21</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">30.1</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">19.4</div></div>",190,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">190</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">13.35</div></div>",226,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">226</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">18.6</div></div>",191,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">191</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">16.02</div></div>",205,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">205</span></div></div></div>",,,,,,,,,Germany,"<div class=""td-wrap""><div class=""td-wrap-in"">42.8</div></div>",245,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank small"">245</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/westfalische-wilhelms-universitat-munster"">Westfälische Wilhelms-Universität Münster </a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",9999,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">9999</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>",,,,,,,,,Spain,"<div class=""td-wrap""><div class=""td-wrap-in""></div></div>",601,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank large"">601+</span></div></div></div>",Europe,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/university-murcia"">University of Murcia</a></div></div>"
,"<div class=""td-wrap""><div class=""td-wrap-in"">32.4</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">40.4</div></div>",260,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">260</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">27.9</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">10.5</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">26.8</div></div>",301,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">301</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">72.8</div></div>",100,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">100</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">13.33</div></div>",227,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">227</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">10.47</div></div>",320,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">320</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">14.02</div></div>",255,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank "">255</span></div></div></div>","<div class=""td-wrap""><div class=""td-wrap-in"">0</div></div>",0,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg nobg""><span class=""rank "">0</span></div></div></div>",,,,,,,,,United States,"<div class=""td-wrap""><div class=""td-wrap-in"">39.4</div></div>",291,"<div class=""td-wrap""><div class=""td-wrap-in""><div class=""bg ""><span class=""rank small"">291</span></div></div></div>",North America,,"<div class=""td-wrap""><div class=""td-wrap-in""><a href=""/universities/north-carolina-state-university"">North Carolina State University</a></div></div>"
