aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
University of Colorado Boulder,United States,0,University of Colorado Boulder,541,=63,63,public,98.6,10,34.6,80,26.9,96,63.3,63,51.4,69,42.5,82,45 : 55,"29,325",8%,16.1,Biological Sciences,/world-university-rankings/university-colorado-boulder
University of Groningen,Netherlands,11,University of Groningen,598,=63,64,master_account,80.9,68,82.4,26,65.5,53,63.3,64,56.5,60,45.4,73,52 : 48,"24,556",11%,25.6,"Biological Sciences,Sport Science",/world-university-rankings/university-groningen
University of Sydney UniSyd,Australia,11,University of Sydney,522,65,65,master_account,67.2,93,88.1,21,72.1,38,63.1,65,56.2,61,60.1,44,57 : 43,"41,868",28%,20.2,"Sport Science,Agriculture & Forestry,Veterinary Science,Biological Sciences",/world-university-rankings/university-sydney
University of Geneva,Switzerland,0,University of Geneva,594,66,66,master_account,93.6,31,97.6,14,98.2,2,62.3,66,34.9,91,36.8,91,61 : 39,"15,668",39%,15.0,Biological Sciences,/world-university-rankings/university-geneva
University of Reading,United Kingdom,0,University of Reading,628,67,67,master_account,70.7,89,56.2,49,78.2,35,61.7,67,48.2,72,59.6,45,55 : 45,"12,050",28%,14.8,"Agriculture & Forestry,Biological Sciences,Veterinary Science",/world-university-rankings/university-reading
University of Freiburg,Germany,0,University of Freiburg,653,=68,68,master_account,75.4,81,100.0,7,64.4,56,61.5,68,46.7,75,54.2,56,52 : 48,"26,467",16%,31.2,"Sport Science,Agriculture & Forestry,Biological Sciences",/world-university-rankings/university-freiburg
University of Texas at Austin,United States,0,University of Texas at Austin,493,=68,69,public,86.3,52,51.5,55,24.4,99,61.5,69,62.7,49,39.7,88,51 : 49,"49,427",9%,17.4,"Sport Science,Biological Sciences",/world-university-rankings/university-texas-austin
University of East Anglia,United Kingdom,6,University of East Anglia,609,70,70,master_account,97.9,12,27.1,97,77.1,36,61.2,70,37.6,88,36.9,90,58 : 42,"14,992",28%,14.7,Biological Sciences,/world-university-rankings/university-east-anglia
University of Göttingen,Germany,0,University of Göttingen,533,=71,71,master_account,73.9,86,32.0,86,62.0,59,60.9,71,51.5,68,56.0,51,51 : 49,"25,581",12%,25.6,"Sport Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-gottingen
UNSW Sydney unsw australia unsw,Australia,6,UNSW Sydney,638,=71,72,master_account,82.5,62,50.0,57,85.9,20,60.9,72,48.0,73,40.2,87,47 : 53,"38,309",32%,25.9,"Biological Sciences,Sport Science",/world-university-rankings/unsw-sydney
"University of Maryland, College Park",United States,0,"University of Maryland, College Park",559,73,73,public,95.2,24,27.9,95,37.8,87,59.9,73,39.1,86,44.4,79,48 : 52,"31,331",9%,8.4,"Sport Science,Biological Sciences,Veterinary Science,Agriculture & Forestry",/world-university-rankings/university-maryland-college-park
University of St Andrews,United Kingdom,0,University of St Andrews,549,74,74,master_account,87.8,45,35.2,78,87.2,19,59.7,74,43.3,80,35.0,94,56 : 44,"8,338",47%,12.7,"Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-st-andrews
University of Florida,United States,0,University of Florida,590,75,75,public,50.8,98,26.7,101,33.7,92,59.6,75,73.4,34,66.9,33,54 : 46,"50,095",9%,18.7,"Sport Science,Agriculture & Forestry,Veterinary Science,Biological Sciences",/world-university-rankings/university-florida
University of Bonn,Germany,0,University of Bonn,868,76,76,master_account,85.2,55,26.7,100,67.2,47,59.5,76,42.6,82,44.7,76,55 : 45,"32,474",12%,70.4,"Agriculture & Forestry,Biological Sciences",/world-university-rankings/university-bonn
University of Glasgow,United Kingdom,1,University of Glasgow,566,77,77,master_account,85.0,57,33.1,83,80.7,31,59.3,77,40.5,84,41.9,83,57 : 43,"22,616",29%,16.0,"Veterinary Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-glasgow
Arizona State University (Tempe)  ,United States,0,Arizona State University (Tempe)  ,591,78,78,public,98.2,11,39.5,71,36.2,90,58.9,78,43.6,78,32.0,96,50 : 50,"83,236",9%,29.9,"Biological Sciences,Sport Science,Agriculture & Forestry",/world-university-rankings/arizona-state-university-tempe
University of Zurich,Switzerland,0,University of Zurich,525,79,79,master_account,83.7,59,37.7,75,98.0,3,58.8,79,32.3,95,44.7,77,57 : 43,"26,583",19%,6.5,"Biological Sciences,Agriculture & Forestry,Veterinary Science",/world-university-rankings/university-zurich
"University of California, Santa Cruz",United States,0,"University of California, Santa Cruz",574,=80,80,public,100.0,2,26.9,98,39.7,85,58.6,81,35.8,89,36.6,92,53 : 47,"17,404",1%,22.7,"Agriculture & Forestry,Biological Sciences",/world-university-rankings/university-california-santa-cruz
Pohang University of Science and Technology (POSTECH) postech,South Korea,0,Pohang University of Science and Technology (POSTECH),517,=80,81,master_account,86.9,47,100.0,3,36.5,89,58.6,80,39.9,85,43.6,81,20 : 80,"3,055",4%,10.1,Biological Sciences,/world-university-rankings/pohang-university-science-and-technology-postech
University of Exeter,United Kingdom,11,University of Exeter,620,82,82,master_account,97.3,14,42.0,67,70.0,41,58.2,82,35.3,90,29.8,97,54 : 46,"17,755",28%,18.8,"Biological Sciences,Sport Science",/world-university-rankings/university-exeter
University of Massachusetts,United States,0,University of Massachusetts,528,83,83,master_account,80.6,71,73.4,32,48.8,77,58.1,83,43.6,79,44.8,74,49 : 51,"56,959",11%,13.0,"Biological Sciences,Agriculture & Forestry,Veterinary Science,Sport Science",/world-university-rankings/university-massachusetts
University of Aberdeen,United Kingdom,0,University of Aberdeen,615,84,84,master_account,89.1,42,45.3,61,87.6,14,58.0,84,29.9,97,39.4,89,54 : 46,"12,938",33%,15.8,"Sport Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/university-aberdeen
University of Dundee,United Kingdom,6,University of Dundee,640,=85,85,master_account,96.3,18,92.9,16,84.7,24,57.3,86,32.5,93,21.7,101,60 : 40,"11,628",25%,15.3,Biological Sciences,/world-university-rankings/university-dundee
Pierre and Marie Curie University,France,0,Pierre and Marie Curie University,548,=85,86,master_account,83.0,61,33.3,82,66.0,50,57.3,85,33.2,92,48.3,66,48 : 52,"27,862",18%,8.7,"Biological Sciences,Veterinary Science",/world-university-rankings/pierre-and-marie-curie-university
Trinity College Dublin,Ireland,0,Trinity College Dublin,582,87,87,master_account,93.2,32,34.0,81,94.8,8,56.8,87,24.4,101,34.6,95,57 : 43,"15,520",25%,22.3,Biological Sciences,/world-university-rankings/trinity-college-dublin
"Royal Holloway, University of London",United Kingdom,11,"Royal Holloway, University of London",571,88,88,master_account,98.6,9,48.8,59,87.3,16,56.7,88,26.6,98,25.7,99,57 : 43,"8,747",37%,15.9,Biological Sciences,/world-university-rankings/royal-holloway-university-london
Ohio State University (Main campus)  ,United States,0,Ohio State University (Main campus)  ,521,89,89,public,68.1,92,39.3,73,43.3,84,56.5,89,53.1,65,50.0,62,49 : 51,"51,462",12%,13.4,"Veterinary Science,Agriculture & Forestry,Sport Science,Biological Sciences",/world-university-rankings/ohio-state-university-main-campus
University of Tübingen,Germany,0,University of Tübingen,652,90,90,master_account,71.1,88,32.1,85,57.6,66,55.7,90,52.1,66,41.3,85,58 : 42,"28,327",12%,38.9,"Biological Sciences,Sport Science",/world-university-rankings/university-tubingen
University of Alberta,Canada,0,University of Alberta,564,=91,91,master_account,56.7,96,61.9,42,72.0,39,55.2,92,54.2,63,49.0,65,55 : 45,"36,299",23%,21.6,"Agriculture & Forestry,Biological Sciences,Sport Science",/world-university-rankings/university-alberta
Osaka University,Japan,0,Osaka University,583,=91,92,master_account,60.3,95,84.9,23,25.9,98,55.2,91,61.4,52,47.7,68,31 : 69,"23,144",9%,7.8,"Biological Sciences,Sport Science",/world-university-rankings/osaka-university
Brown University,United States,0,Brown University,513,=93,93,private,81.5,66,27.6,96,49.0,76,55.1,93,32.4,94,48.2,67,,"8,653",19%,10.1,Biological Sciences,/world-university-rankings/brown-university
Seoul National University,South Korea,0,Seoul National University,588,=93,94,master_account,42.5,100,55.9,50,26.2,97,55.1,94,69.7,36,64.4,37,,"26,389",10%,13.9,"Veterinary Science,Sport Science,Biological Sciences,Agriculture & Forestry",/world-university-rankings/seoul-national-university
Lomonosov Moscow State University,Russian Federation,0,Lomonosov Moscow State University,753,=95,95,master_account,9.8,101,94.9,15,69.4,43,55.0,95,79.3,25,80.2,16,43 : 57,"30,822",20%,7.7,Biological Sciences,/world-university-rankings/lomonosov-moscow-state-university
University of Science and Technology of China,China,0,University of Science and Technology of China,656,=95,96,master_account,88.0,43,99.9,11,24.0,100,55.0,96,26.4,99,46.0,71,,"14,290",2%,7.9,Biological Sciences,/world-university-rankings/university-science-and-technology-china
University of Basel,Switzerland,0,University of Basel,575,=97,97,master_account,76.6,78,100.0,5,98.4,1,54.8,98,24.8,100,41.2,86,54 : 46,"12,551",24%,17.3,"Sport Science,Biological Sciences",/world-university-rankings/university-basel
Oregon State University,United States,0,Oregon State University,883,=97,98,public,74.6,83,29.7,92,35.7,91,54.8,97,46.8,74,44.7,75,47 : 53,"22,578",8%,16.8,"Veterinary Science,Agriculture & Forestry,Biological Sciences,Sport Science",/world-university-rankings/oregon-state-university
James Cook University,Australia,0,James Cook University,131521,99,99,master_account,90.0,40,81.0,28,84.7,23,54.6,99,31.4,96,22.0,100,63 : 37,"11,713",11%,21.9,"Biological Sciences,Veterinary Science,Sport Science",/world-university-rankings/james-cook-university
"University of California, Riverside",United States,0,"University of California, Riverside",607,=100,100,public,74.3,85,71.0,33,59.1,63,54.3,101,45.1,76,35.3,93,51 : 49,"20,626",12%,22.0,Biological Sciences,/world-university-rankings/university-california-riverside
Radboud University Nijmegen,Netherlands,6,Radboud University Nijmegen,624,=100,101,master_account,82.3,64,30.7,90,87.3,15,54.3,100,38.6,87,27.4,98,58 : 42,"17,713",10%,13.0,"Biological Sciences,Agriculture & Forestry,Sport Science",/world-university-rankings/radboud-university-nijmegen
