aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Kyoto University,Japan,0,Kyoto University,516,53,53,master_account,55.9,98,68.2,27,35.4,90,68.3,53,82.4,31,78.6,24,,"22,809",7%,5.6,"Medicine & Dentistry,Other Health",/world-university-rankings/kyoto-university
Seoul National University,South Korea,0,Seoul National University,588,54,54,master_account,48.1,100,87.5,14,22.6,101,66.9,54,89.4,14,78.3,26,,"26,389",10%,13.9,"Other Health,Medicine & Dentistry",/world-university-rankings/seoul-national-university
Pierre and Marie Curie University,France,0,Pierre and Marie Curie University,548,55,55,master_account,89.5,43,44.9,63,52.5,66,65.6,55,50.4,77,55.6,52,48 : 52,"27,862",18%,8.7,"Other Health,Medicine & Dentistry",/world-university-rankings/pierre-and-marie-curie-university
University of Southern California,United States,0,University of Southern California,519,56,56,private,88.8,45,45.8,61,43.6,79,65.5,56,61.8,50,47.0,70,52 : 48,"36,534",20%,12.9,"Medicine & Dentistry,Other Health",/world-university-rankings/university-southern-california
University of Tübingen,Germany,0,University of Tübingen,652,57,57,master_account,80.6,81,72.3,21,61.4,55,65.1,57,65.5,47,45.5,74,58 : 42,"28,327",12%,38.9,"Other Health,Medicine & Dentistry",/world-university-rankings/university-tubingen
Medical University of Vienna,Austria,0,Medical University of Vienna,889,58,58,master_account,89.3,44,38.0,87,82.1,12,65.0,58,44.6,84,51.8,56,50 : 50,"7,426",28%,2.9,"Medicine & Dentistry,Other Health",/world-university-rankings/medical-university-vienna
University of Minnesota,United States,0,University of Minnesota,506,59,59,public,83.5,71,99.7,5,28.5,94,64.7,59,59.4,55,52.7,55,52 : 48,"46,825",12%,18.0,"Other Health,Medicine & Dentistry",/world-university-rankings/university-minnesota
University of Manchester,United Kingdom,0,University of Manchester,512,60,60,master_account,90.8,41,48.1,51,67.6,40,64.5,60,53.6,66,42.5,81,52 : 48,"34,938",34%,15.3,"Medicine & Dentistry,Other Health",/world-university-rankings/university-manchester
Technical University of Munich,Germany,0,Technical University of Munich,552,61,61,master_account,85.0,63,69.3,23,53.7,65,63.8,61,49.4,80,53.3,54,33 : 67,"35,565",20%,31.5,"Medicine & Dentistry,Other Health",/world-university-rankings/technical-university-munich
University of Montreal,Canada,11,University of Montreal,569,62,62,master_account,65.2,96,97.9,7,80.8,16,63.4,62,60.4,54,56.0,51,57 : 43,"38,264",25%,20.3,"Medicine & Dentistry,Other Health",/world-university-rankings/university-montreal
University of Cape Town UCT,South Africa,6,University of Cape Town,567,63,63,master_account,83.5,70,95.9,10,68.4,39,63.2,63,48.6,82,47.3,68,53 : 47,"20,040",18%,12.1,"Medicine & Dentistry,Other Health",/world-university-rankings/university-cape-town
Utrecht University utrecht  utrecht university,Netherlands,6,Utrecht University,532,64,64,master_account,86.2,56,84.2,16,56.0,61,62.8,64,52.6,70,42.8,78,59 : 41,"30,779",7%,15.4,"Other Health,Medicine & Dentistry",/world-university-rankings/utrecht-university
