aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,stats_female_male_ratio,stats_number_students,stats_pc_intl_students,stats_student_staff_ratio,subjects_offered,url
Technion Israel Institute of Technology,Israel,0,Technion Israel Institute of Technology,685,80,80,master_account,75.6,62,28.3,97,61.0,56,54.8,80,52.9,64,40.6,84,35 : 65,"13,855",4%,19.4,"Electrical & Electronic Engineering,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/technion-israel-institute-technology
Korea Advanced Institute of Science and Technology (KAIST),South Korea,0,Korea Advanced Institute of Science and Technology (KAIST),558,81,81,master_account,83.4,45,100.0,1,31.6,87,54.6,81,42.6,87,38.5,89,20 : 80,"9,027",9%,10.0,"Electrical & Electronic Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Chemical Engineering",/world-university-rankings/korea-advanced-institute-science-and-technology-kaist
"University of Maryland, College Park",United States,0,"University of Maryland, College Park",559,=82,82,public,87.7,38,38.1,88,46.2,74,54.3,82,44.9,82,37.8,91,48 : 52,"31,331",9%,8.4,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Chemical Engineering,Electrical & Electronic Engineering",/world-university-rankings/university-maryland-college-park
University of Twente,Netherlands,6,University of Twente,664,=82,83,master_account,76.8,58,67.0,50,70.0,38,54.3,83,48.6,70,33.3,96,37 : 63,"6,631",26%,12.0,"Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,General Engineering,Chemical Engineering",/world-university-rankings/university-twente
Michigan State University,United States,0,Michigan State University,560,=84,84,public,80.3,54,34.7,91,54.3,65,54.2,84,44.2,84,43.5,77,51 : 49,"44,750",15%,15.7,"General Engineering,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",/world-university-rankings/michigan-state-university
National Tsing Hua University,Taiwan,0,National Tsing Hua University,680,=84,85,master_account,69.8,70,49.5,71,21.8,98,54.2,85,56.5,60,46.5,73,33 : 67,"10,221",5%,13.5,"General Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",/world-university-rankings/national-tsing-hua-university
University of Alberta,Canada,0,University of Alberta,564,86,86,master_account,59.7,86,71.7,44,80.7,24,54.0,86,45.3,80,47.8,68,55 : 45,"36,299",23%,21.6,"General Engineering,Electrical & Electronic Engineering,Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-alberta
Boston University,United States,0,Boston University,518,87,87,private,85.8,40,29.4,96,51.1,69,53.6,87,40.0,94,42.3,80,58 : 42,"24,789",17%,8.6,"Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/boston-university
University of Stuttgart,Germany,0,University of Stuttgart,1031,88,88,master_account,64.7,78,94.3,21,47.5,73,52.1,88,39.7,95,47.2,69,31 : 69,"24,099",20%,45.4,"Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering",/world-university-rankings/university-stuttgart
University of Freiburg,Germany,0,University of Freiburg,653,89,89,master_account,85.7,41,100.0,6,57.2,59,52.0,89,33.8,96,30.1,99,52 : 48,"26,467",16%,31.2,,/world-university-rankings/university-freiburg
Australian National University anu,Australia,0,Australian National University,502,90,90,master_account,66.2,75,41.0,81,92.1,8,51.0,90,47.0,75,32.4,97,52 : 48,"14,604",35%,19.2,"Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/australian-national-university
Vienna University of Technology,Austria,0,Vienna University of Technology,810,91,91,master_account,59.4,87,94.9,19,69.1,43,50.8,91,42.7,86,39.1,85,27 : 73,"26,419",27%,52.0,"Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/vienna-university-technology
Lund University,Sweden,0,Lund University,544,92,92,master_account,73.9,68,51.3,69,64.1,49,50.6,92,42.3,89,34.0,93,,"28,251",15%,11.5,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/lund-university
École Normale Supérieure de Lyon,France,0,École Normale Supérieure de Lyon,605,93,93,master_account,86.7,39,27.8,98,61.5,53,50.4,93,30.2,97,38.3,90,49 : 51,"2,218",14%,8.0,,/world-university-rankings/ecole-normale-superieure-de-lyon
University of Exeter,United Kingdom,11,University of Exeter,620,94,94,master_account,94.1,25,32.7,93,79.5,26,50.3,94,26.5,99,29.4,100,54 : 46,"17,755",28%,18.8,"Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering,General Engineering",/world-university-rankings/university-exeter
University of Adelaide Adelaide University,Australia,0,University of Adelaide,665,95,95,master_account,87.9,36,43.7,79,86.0,17,50.1,96,24.2,100,33.4,95,48 : 52,"20,771",26%,30.1,"General Engineering,Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/university-adelaide
Korea University,South Korea,6,Korea University,702,96,96,master_account,58.2,88,100.0,2,35.7,84,50.1,95,41.5,93,46.6,72,,"24,043",14%,15.8,"General Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering,Electrical & Electronic Engineering",/world-university-rankings/korea-university
TU Dresden,Germany,0,TU Dresden,720,97,97,master_account,60.0,85,88.3,25,42.7,77,49.6,97,43.1,85,41.7,81,42 : 58,"35,487",12%,37.4,"Electrical & Electronic Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Chemical Engineering,General Engineering",/world-university-rankings/tu-dresden
Osaka University,Japan,0,Osaka University,583,98,98,master_account,36.5,98,70.5,46,23.8,96,49.5,98,55.6,62,58.4,52,31 : 69,"23,144",9%,7.8,"General Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering,Electrical & Electronic Engineering",/world-university-rankings/osaka-university
Indian Institute of Science,India,0,Indian Institute of Science,926,99,99,master_account,47.6,96,48.8,72,21.2,99,49.3,99,46.7,77,60.7,49,19 : 81,"3,318",1%,8.2,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/indian-institute-science
Technical University of Darmstadt Technical University of Darmstadt,Germany,0,Technical University of Darmstadt,745,100,100,master_account,60.3,84,98.1,16,50.5,70,49.2,100,47.8,72,31.8,98,28 : 72,"20,300",18%,53.6,"Chemical Engineering,Civil Engineering,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/technical-university-darmstadt
