aliases,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Cornell University,United States,0,Cornell University,484,12,12,private,93.0,12,36.1,26,56.1,23,80.9,12,81.7,18,79.8,16,"Chemical Engineering,Civil Engineering,Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering",/world-university-rankings/cornell-university
University of Toronto,Canada,0,University of Toronto,483,13,13,master_account,79.1,29,-,49,-,50,80.1,13,83.9,16,77.4,17,"Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering,General Engineering",/world-university-rankings/university-toronto
University of Michigan-Ann Arbor,United States,0,University of Michigan-Ann Arbor,482,14,14,public,65.9,42,51.9,22,76.8,14,79.5,14,91.4,11,86.2,13,"Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering",/world-university-rankings/university-michigan-ann-arbor
University of Illinois at Urbana-Champaign,United States,0,University of Illinois at Urbana-Champaign,495,15,15,public,67.9,41,-,44,50.9,27,77.8,15,89.4,14,80.6,15,"Chemical Engineering,General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering",/world-university-rankings/university-illinois-urbana-champaign
National University of Singapore nus,Singapore,6,National University of Singapore,504,16,16,master_account,82.6,23,44.8,25,98.9,2,77.5,16,75.6,21,76.2,18,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/national-university-singapore
"University of California, Santa Barbara",United States,0,"University of California, Santa Barbara",499,17,17,public,91.5,16,99.9,1,91.6,6,75.4,17,65.1,25,62.7,25,"Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",/world-university-rankings/university-california-santa-barbara
Northwestern University,United States,0,Northwestern University,490,18,18,private,97.5,8,-,39,51.3,26,75.0,18,66.0,23,65.4,23,"Mechanical & Aerospace Engineering,General Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/northwestern-university
University of Hong Kong HKU Hong Kong University,Hong Kong,11,University of Hong Kong,498,19,19,master_account,92.4,14,62.0,16,86.1,9,72.3,19,61.8,29,62.0,27,"Electrical & Electronic Engineering,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-hong-kong
The Hong Kong University of Science and Technology hkust,Hong Kong,11,The Hong Kong University of Science and Technology,526,20,20,master_account,95.2,10,52.6,20,92.4,5,71.3,20,60.0,31,58.4,33,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/hong-kong-university-science-and-technology
Tsinghua University Qinghua University Tsing hua University Qing hua University,China,6,Tsinghua University,535,20,20,master_account,42.9,47,93.2,5,25.0,44,71.3,21,84.6,15,90.4,7,"General Engineering,Electrical & Electronic Engineering,Civil Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/tsinghua-university
The University of Tokyo,Japan,0,The University of Tokyo,494,22,22,master_account,39.1,49,-,48,19.4,47,70.4,23,91.1,12,89.4,10,"Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering,Civil Engineering",/world-university-rankings/university-tokyo
École Polytechnique,France,6,École Polytechnique,527,22,22,master_account,84.2,22,-,37,68.3,19,70.4,22,60.6,30,66.8,22,"Chemical Engineering,Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering",/world-university-rankings/ecole-polytechnique
École Polytechnique Fédérale de Lausanne,Switzerland,0,École Polytechnique Fédérale de Lausanne,510,24,24,master_account,76.3,32,35.0,28,99.6,1,69.4,24,67.2,22,65.3,24,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,General Engineering,Chemical Engineering,Civil Engineering",/world-university-rankings/ecole-polytechnique-federale-de-lausanne
Peking University,China,0,Peking University,514,25,25,master_account,86.8,19,89.7,7,46.5,30,69.1,25,58.4,35,62.6,26,"General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/peking-university
University of Massachusetts,United States,0,University of Massachusetts,528,26,26,master_account,64.0,44,59.0,18,23.0,46,67.5,26,77.6,19,69.8,21,"Chemical Engineering,Electrical & Electronic Engineering,General Engineering,Civil Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-massachusetts
University of Minnesota,United States,0,University of Minnesota,506,27,27,public,85.3,20,-,45,23.1,45,67.0,27,64.2,27,58.8,32,"Mechanical & Aerospace Engineering,Civil Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering",/world-university-rankings/university-minnesota
Pohang University of Science and Technology (POSTECH) postech,South Korea,0,Pohang University of Science and Technology (POSTECH),517,28,28,master_account,79.2,28,99.6,2,29.7,40,66.4,28,58.5,34,61.9,28,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,General Engineering,Chemical Engineering",/world-university-rankings/pohang-university-science-and-technology-postech
Brown University,United States,0,Brown University,513,29,29,private,88.5,18,-,36,51.3,25,64.7,29,52.8,39,54.9,39,"Electrical & Electronic Engineering,General Engineering,Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/brown-university
University of Melbourne UniMelb Australia,Australia,11,University of Melbourne,501,30,30,master_account,81.2,24,32.7,29,82.5,13,64.4,30,59.1,33,55.3,38,"Electrical & Electronic Engineering,Chemical Engineering,Mechanical & Aerospace Engineering,General Engineering,Civil Engineering",/world-university-rankings/university-melbourne
"University of California, San Diego",United States,0,"University of California, San Diego",497,31,31,public,77.4,31,56.5,19,30.7,39,63.6,31,65.8,24,54.2,41,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering,Civil Engineering,General Engineering",/world-university-rankings/university-california-san-diego
Rice University,United States,0,Rice University,536,32,32,private,99.3,3,29.5,31,29.3,41,63.5,32,48.8,43,53.8,42,"General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/rice-university
Delft University of Technology,Netherlands,0,Delft University of Technology,568,33,33,master_account,30.3,50,84.2,8,44.3,32,63.2,33,83.1,17,75.8,19,"Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering,Civil Engineering",/world-university-rankings/delft-university-technology
University of Wisconsin,United States,0,University of Wisconsin,925,34,34,master_account,71.6,37,-,50,39.2,35,62.8,36,63.3,28,57.4,36,,/world-university-rankings/university-of-wisconsin
École Normale Supérieure,France,0,École Normale Supérieure,523,34,34,master_account,99.7,2,31.3,30,39.7,34,62.8,34,41.8,48,56.0,37,"Chemical Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/ecole-normale-superieure
Purdue University West Lafayette,United States,0,Purdue University West Lafayette,562,34,34,public,39.4,48,-,42,58.2,22,62.8,35,77.5,20,72.2,20,"General Engineering,Civil Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/purdue-university-west-lafayette
University of Queensland UQ UOQ,Australia,11,University of Queensland,538,37,37,master_account,72.2,36,73.2,12,69.7,18,62.3,37,53.6,38,58.1,34,"General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Chemical Engineering",/world-university-rankings/university-queensland
University of Freiburg,Germany,0,University of Freiburg,653,38,38,master_account,89.6,17,96.0,3,45.0,31,62.1,39,43.5,45,50.4,45,,/world-university-rankings/university-freiburg
University of British Columbia ubc,Canada,11,University of British Columbia,486,38,38,master_account,59.6,46,45.6,24,85.5,10,62.1,38,64.3,26,61.2,30,"Civil Engineering,Chemical Engineering,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-british-columbia
University of Sydney UniSyd,Australia,11,University of Sydney,522,40,40,master_account,62.1,45,95.4,4,91.6,7,61.6,40,57.5,37,54.5,40,"Mechanical & Aerospace Engineering,Chemical Engineering,Civil Engineering,Electrical & Electronic Engineering,General Engineering",/world-university-rankings/university-sydney
University of Southern California,United States,0,University of Southern California,519,41,41,private,77.5,30,-,47,28.9,42,60.9,41,50.4,41,60.1,31,"Civil Engineering,Electrical & Electronic Engineering,Chemical Engineering,General Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/university-southern-california
"University of California, Davis",United States,0,"University of California, Davis",503,42,42,public,75.8,35,52.0,21,53.3,24,60.7,42,57.9,36,50.9,44,"Chemical Engineering,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Civil Engineering",/world-university-rankings/university-california-davis
"Birkbeck, University of London",United Kingdom,0,"Birkbeck, University of London",613,43,43,master_account,100.0,1,27.4,33,92.9,4,60.6,43,39.9,49,42.0,49,,/world-university-rankings/birkbeck-university-london
Australian National University anu,Australia,0,Australian National University,502,44,44,master_account,80.8,25,-,34,83.0,12,60.4,44,50.8,40,45.9,48,"Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering",/world-university-rankings/australian-national-university
University of Science and Technology of China,China,0,University of Science and Technology of China,656,45,45,master_account,85.3,21,28.0,32,-,49,60.2,45,47.6,44,52.9,43,"General Engineering,Electrical & Electronic Engineering",/world-university-rankings/university-science-and-technology-china
National Taiwan University,Taiwan,0,National Taiwan University,618,46,46,master_account,68.3,40,35.1,27,33.2,38,60.1,46,59.3,32,61.3,29,"Civil Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Chemical Engineering,General Engineering",/world-university-rankings/national-taiwan-university
University of Notre Dame,United States,0,University of Notre Dame,553,47,47,private,92.2,15,-,46,33.5,37,59.9,47,42.3,47,49.5,46,"Mechanical & Aerospace Engineering,Chemical Engineering,General Engineering,Civil Engineering,Electrical & Electronic Engineering",/world-university-rankings/university-notre-dame-0
Nanjing University,China,0,Nanjing University,727,48,48,master_account,92.7,13,46.5,23,49.9,28,59.7,48,42.8,46,47.3,47,"General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/nanjing-university
Bielefeld University,Germany,6,Bielefeld University,717,49,49,master_account,97.9,7,-,35,-,48,58.0,49,37.0,50,39.2,50,,/world-university-rankings/bielefeld-university
Ohio State University (Main campus)  ,United States,0,Ohio State University (Main campus)  ,521,50,50,public,64.0,43,-,40,61.1,21,57.4,50,49.6,42,58.0,35,"Civil Engineering,Chemical Engineering,General Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",/world-university-rankings/ohio-state-university-main-campus
