aliases,apply_link,location,member_level,name,nid,rank,rank_order,record_type,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_overall_rank,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
Victoria University of Wellington,,New Zealand,0,Victoria University of Wellington,736,92,92,master_account,51.6,72,48.5,19,71.4,20,38.3,93,33.2,90,30.9,97,"Languages, Literature & Linguistics,History, Philosophy & Theology,Architecture,Art, Performing Arts & Design",/world-university-rankings/victoria-university-wellington
Radboud University Nijmegen,,Netherlands,6,Radboud University Nijmegen,624,92,92,master_account,62.2,42,37.5,55,71.7,19,38.3,92,30.1,96,30.3,99,"Archaeology,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/radboud-university-nijmegen
University of Minnesota,,United States,0,University of Minnesota,506,94,94,public,51.4,73,-,94,33.1,95,38.2,95,40.0,71,32.5,96,"History, Philosophy & Theology,Languages, Literature & Linguistics,Architecture,Art, Performing Arts & Design",/world-university-rankings/university-minnesota
Hebrew University of Jerusalem,,Israel,0,Hebrew University of Jerusalem,585,94,94,master_account,42.7,95,-,82,52.2,62,38.2,94,34.4,85,37.1,78,"History, Philosophy & Theology,Archaeology,Art, Performing Arts & Design,Languages, Literature & Linguistics",/world-university-rankings/hebrew-university-jerusalem
Tel Aviv University,,Israel,0,Tel Aviv University,630,96,96,master_account,47.3,80,37.8,49,45.8,72,37.6,96,33.8,88,35.8,84,"Languages, Literature & Linguistics,Archaeology,Art, Performing Arts & Design,Architecture,History, Philosophy & Theology",/world-university-rankings/tel-aviv-university
York University,,Canada,6,York University,765,97,97,master_account,55.2,61,52.7,18,45.0,73,37.2,97,29.8,98,34.7,90,"History, Philosophy & Theology,Art, Performing Arts & Design,Languages, Literature & Linguistics",/world-university-rankings/york-university
"University of California, Irvine",,United States,0,"University of California, Irvine",550,98,98,public,67.6,24,36.8,72,41.8,78,36.6,98,29.1,99,30.6,98,"Languages, Literature & Linguistics,History, Philosophy & Theology,Architecture,Art, Performing Arts & Design",/world-university-rankings/university-california-irvine
La Trobe University LaTrobe,,Australia,11,La Trobe University,835,99,99,master_account,43.8,88,74.7,5,63.2,37,36.4,99,28.5,100,33.5,94,"Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology,Languages, Literature & Linguistics",/world-university-rankings/la-trobe-university
UNSW Sydney unsw australia unsw,,Australia,6,UNSW Sydney,638,100,100,master_account,49.2,75,40.9,32,71.9,18,36.3,101,30.6,95,29.6,100,"Languages, Literature & Linguistics,Archaeology,History, Philosophy & Theology,Art, Performing Arts & Design,Architecture",/world-university-rankings/unsw-sydney
Goethe University Frankfurt,,Germany,0,Goethe University Frankfurt,645,100,100,master_account,45.4,84,38.8,42,55.8,56,36.3,100,29.8,97,35.0,88,"History, Philosophy & Theology,Art, Performing Arts & Design,Archaeology,Languages, Literature & Linguistics",/world-university-rankings/goethe-university-frankfurt
