Subject rank,Overall rank,University,Teaching quality,Student experience,Research quality,Entry points,Graduate prospects,Total score
33,31,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of kent', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3806/university-of-kent"">University of Kent</a>",72.6%,75.1%,37.8%,149,93.0%,87.2
34,22,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of essex', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3791/university-of-essex"">University of Essex</a>",77.4%,79.4%,34.3%,135,88.7%,86.5
35,47=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : aberystwyth university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3754/aberystwyth-university"">Aberystwyth University</a>",80.0%,79.7%,38.4%,108,91.9%,86.4
36,35,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : cardiff university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3774/cardiff-university"">Cardiff University</a>",73.9%,75.3%,25.0%,162,89.1%,86.1
37,46,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : aston university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3757/aston-university"">Aston University</a>",80.5%,79.8%,21.7%,133,90.0%,85.9
38,52,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : liverpool hope university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3815/liverpool-hope-university"">Liverpool Hope University</a>",90.0%,88.4%,8.8%,126,83.0%,85.8
39,27,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of sussex', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3861/university-of-sussex"">University of Sussex</a>",79.3%,75.9%,21.6%,137,91.6%,85.7
40,47=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : nottingham trent university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3836/nottingham-trent-university"">Nottingham Trent University</a>",87.7%,87.4%,5.2%,141,81.8%,85.5
41,54,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of lincoln', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3813/university-of-lincoln"">University of Lincoln</a>",85.8%,86.9%,13.6%,130,82.7%,85.4
42,38,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : queen's university, belfast', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3844/queens-university-belfast"">Queen's University, Belfast</a>",72.6%,74.3%,29.5%,147,88.6%,85.1
43,34,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of leicester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3812/university-of-leicester"">University of Leicester</a>",73.4%,73.7%,30.2%,150,84.5%,84.7
44,40,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of aberdeen', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3752/university-of-aberdeen"">University of Aberdeen</a>",65.9%,70.6%,37.4%,154,89.1%,84.6
45,59,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : brunel university london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3769/brunel-university-london"">Brunel University London</a>",n/a,n/a,25.2%,136,84.8%,84.1
46,43,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : queen mary, university of london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3821/queen-mary-university-of-london"">Queen Mary, University of London</a>",67.9%,73.6%,37.4%,141,84.2%,83.6
47=,56,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of west london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3864/university-of-west-london"">University of West London</a>",93.0%,90.8%,1.2%,111,73.6%,83.0
47=,86=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : plymouth university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3840/plymouth-university"">Plymouth University</a>",78.5%,73.6%,21.8%,134,80.6%,83.0
49,75=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of hull', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3803/university-of-hull"">University of Hull</a>",77.7%,73.3%,22.2%,126,84.2%,82.9
50=,50,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : keele university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3805/keele-university"">Keele University</a>",77.7%,79.6%,10.8%,133,83.2%,82.6
50=,55,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : bangor university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3758/bangor-university"">Bangor University</a>",79.2%,75.7%,17.6%,131,80.2%,82.6
52=,82,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : robert gordon university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3846/robert-gordon-university"">Robert Gordon University</a>",80.8%,80.9%,4.3%,148,76.4%,82.5
52=,98,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : abertay university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3753/abertay-university"">Abertay University</a>",82.1%,77.0%,3.4%,146,78.7%,82.5
54,65,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of huddersfield', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3802/university-of-huddersfield"">University of Huddersfield</a>",77.4%,76.9%,7.4%,145,81.8%,82.4
55,57,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of the west of england', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3870/university-of-the-west-of-england"">University of the West of England</a>",77.2%,76.6%,5.9%,138,82.2%,81.7
56,75=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : city, university of london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3778/city-university-of-london"">City, University of London</a>",78.0%,79.0%,19.2%,151,65.2%,81.6
57,53,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of portsmouth', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3842/university-of-portsmouth"">University of Portsmouth</a>",81.7%,79.2%,7.2%,126,77.6%,81.5
58,32,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of reading', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3845/university-of-reading"">University of Reading</a>",69.9%,67.3%,16.3%,138,87.9%,81.2
59,63=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : staffordshire university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3855/staffordshire-university"">Staffordshire University</a>",81.4%,79.8%,0.4%,121,80.6%,80.9
60,70=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : sheffield hallam university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3852/sheffield-hallam-university"">Sheffield Hallam University</a>",79.7%,78.9%,14.4%,117,75.2%,80.8
61,81,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of derby', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3783/university-of-derby"">University of Derby</a>",81.9%,75.5%,5.0%,120,79.1%,80.7
62=,114,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of east london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3787/university-of-east-london"">University of East London</a>",90.7%,91.3%,2.3%,117,60.0%,80.5
62=,44,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : coventry university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3779/coventry-university"">Coventry University</a>",73.3%,75.6%,3.3%,135,84.1%,80.5
64,90,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : cardiff metropolitan university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3866/cardiff-metropolitan-university"">Cardiff Metropolitan University</a>",80.3%,81.5%,n/a,113,81.5%,80.3
65,93,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of central lancashire', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3775/university-of-central-lancashire"">University of Central Lancashire</a>",81.6%,79.7%,n/a,142,69.3%,80.2
66,67=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : de montfort university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3782/de-montfort-university"">De Montfort University</a>",74.7%,73.7%,13.4%,108,85.2%,80.1
67,63=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : goldsmiths, university of london', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3818/goldsmiths-university-of-london"">Goldsmiths, University of London</a>",74.7%,75.1%,29.2%,125,65.9%,79.8
68=,88,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of salford', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3850/university-of-salford"">University of Salford</a>",77.7%,77.2%,15.3%,133,62.5%,79.0
68=,75=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of bradford', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3766/university-of-bradford"">University of Bradford</a>",77.9%,78.2%,n/a,128,73.3%,79.0
70=,70=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : liverpool john moores university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3816/liverpool-john-moores-university"">Liverpool John Moores University</a>",78.4%,77.4%,3.2%,138,66.8%,78.9
70=,79,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : bournemouth university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3765/bournemouth-university"">Bournemouth University</a>",72.1%,71.1%,8.5%,125,80.5%,78.9
72,116,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : edinburgh napier university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3790/edinburgh-napier-university"">Edinburgh Napier University</a>",71.7%,71.1%,5.2%,135,78.9%,78.8
73,104,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of wales, trinity st david', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3868/university-of-wales-trinity-st-david"">University of Wales, Trinity St David</a>",88.8%,85.0%,1.0%,104,62.4%,78.7
74,102=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of worcester', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3874/university-of-worcester"">University of Worcester</a>",82.4%,75.6%,n/a,105,75.5%,78.4
75,119=,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : university of south wales', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3882/university-of-south-wales"">University of South Wales</a>",79.5%,77.2%,3.6%,128,66.2%,78.3
76=,73,"<a class=""tableLink"" onclick=""utag.link({ event_navigation_action: 'navigation', event_navigation_name: 'league table : university : ulster university', event_navigation_browsing_method: 'click' })"" href=""/education/university_guide/active/UniversityGuide/university/id/3865/ulster-university"">Ulster University</a>",73.5%,72.8%,16.6%,123,69.3%,78.2
